permit_number,issue_year,issue_month,community,district,work_type,primary_work_scope,project_value,net_new_units,storeys,permit_status,lat,lon
BPRES-2022-11543,2022,9,HEAD OF CHEZZETCOOK,District 02,New Building,New Building,500000.0,1,1,Completed,44.74653224916645,-63.237872678413055
BPCOM-2024-11686,2025,9,HALIFAX,District 09,New Building,New Building,10000.0,0,2,Completed,44.64442176198298,-63.62378610783741
BPRES-2024-12070,2025,3,EAST PETPESWICK,District 02,New Building,New Building,350000.0,1,1,Amendment Applicant Revisions,44.700359962956696,-63.145418723442255
BPCOM-2021-10846,,,HALIFAX,District 08,Renovation,Renovation,90000.0,0,3,Withdrawn,44.666071745523354,-63.61443667427447
BPRES-2021-17583,2021,12,WELLINGTON,District 01,New Building,New Building,120000.0,1,3,Issued,44.8990631551204,-63.62374729097356
BPRES-2023-12340,2023,10,HEAD OF CHEZZETCOOK,District 02,New Building,New Building,1100000.0,4,1,Completed,44.754207535824115,-63.23315920056453
BPRES-2025-10564,2025,8,FALL RIVER,District 01,New Building,New Building,735000.0,1,2,Completed,44.836830699217614,-63.643849868234206
BP-2021-04479,2021,3,MIDDLE SACKVILLE,District 14,New Building,New Building,375000.0,1,2,Completed,44.78735393379536,-63.74275200344525
BPCOM-2023-02744,2023,3,HALIFAX,District 11,Renovation,Renovation,40000.0,0,1,Expired,44.59410970063679,-63.63911984370211
BPCOM-2026-03805,2026,5,WESTPHAL,District 04,Renovation,Renovation,150000.0,0,1,Issued,44.70509876780222,-63.4496445064686
BPRES-2022-04195,2022,5,HALIFAX,District 08,Renovation,Renovation,219100.0,0,1,Completed,44.66813163661252,-63.612967056339166
BPRES-2023-03954,2023,6,DARTMOUTH,District 05,Addition,Addition,20000.0,0,2,Expired,44.67123114172632,-63.58098350937029
BPRES-2024-03970,2024,4,EAST LAWRENCETOWN,District 02,New Building,New Building,60000.0,0,1,Expired,44.65418539313267,-63.34022328063946
BPRES-2025-02460,2025,2,BEECHVILLE,District 12,New Building,New Building,250000.0,1,3,Completed,44.639066279794605,-63.681276055362126
BPRES-2026-00092,,,TERENCE BAY,District 13,Renovation,Renovation,20000.0,0,1,Application Incomplete,44.46369295218445,-63.72099067729344
BP-2021-01856,2021,2,HALIFAX,District 07,Renovation,Renovation,150000.0,0,1,Expired (Closed),44.64384331054259,-63.58029407392168
BP-2021-07215,2021,5,MIDDLE SACKVILLE,District 14,New Building,New Building,375000.0,1,1,Completed,44.7867814029062,-63.766188591721885
BPCOM-2022-05232,,,DARTMOUTH,District 06,New Building,New Building,340000.0,0,2,Withdrawn,44.69643031933263,-63.594307756795004
BPCOM-2023-16193,2024,1,LOWER SACKVILLE,District 15,Renovation,Renovation,40000.0,0,1,Completed,44.77180517627832,-63.69509574671013
BPCOM-2025-07991,2026,4,HALIFAX,District 10,New Building,New Building,7000000.0,0,2,Issued,44.67032139188415,-63.64862172576427
BPRES-2021-13383,2021,8,MIDDLE SACKVILLE,District 14,New Building,New Building,425000.0,1,2,Completed,44.79068615553283,-63.76617406650804
BPRES-2022-01225,2022,3,TIMBERLEA,District 12,New Building,New Building,300000.0,1,3,Completed,44.64015246111085,-63.721727919076926
BPRES-2022-07916,,,,District 01,New Building,New Building,82000.0,1,1,Withdrawn,44.93497791968403,-63.49659001594762
BPRES-2022-15416,2023,1,WAVERLEY,District 01,New Building,New Building,67000.0,1,2,Expired,44.782272587961565,-63.59248524616501
BPRES-2023-08053,2024,4,RIVER LAKE,District 02,New Building,New Building,60000.0,1,1,Completed,44.92390947977502,-62.74544940993426
BPRES-2023-16373,2024,3,BEDFORD,District 16,New Building,New Building,700000.0,1,2,Completed,44.720652554286524,-63.71756149354174
BPRES-2024-07687,,,WEST DOVER,District 13,New Building,New Building,90000.0,0,2,Withdrawn,44.49307941165518,-63.87181058314614
BPRES-2024-17077,,,DARTMOUTH,District 03,Addition,Addition,250000.0,2,2,Applicant Revisions,44.6642035194943,-63.54609986012296
BPRES-2025-06384,2026,1,DARTMOUTH,District 06,New Building,New Building,50000.0,2,3,Completed,44.714085258343616,-63.539417717757935
