source_object_id,permit_number,date_of_permit_issuance,estimated_project_value,work_type,primary_work_scope,permit_status,community,district,net_new_units,number_of_storeys,type_of_structure,latitude,longitude
1,BPRES-2022-11543,2022-09-13,500000,New Building,New Building,Completed,HEAD OF CHEZZETCOOK,District 02,1,1,Dwelling - Single Detached,44.74653224916645,-63.237872678413055
2,BPCOM-2024-11686,2025-09-03,10000,New Building,New Building,Completed,HALIFAX,District 09,0,2,Accessory Structure,44.64442176198298,-63.62378610783741
3,BPRES-2024-12070,2025-03-10,350000,New Building,New Building,Amendment Applicant Revisions,EAST PETPESWICK,District 02,1,1,Dwelling - Single Detached,44.700359962956696,-63.145418723442255
4,BPCOM-2021-10846,,90000,Renovation,Renovation,Withdrawn,HALIFAX,District 08,0,3,Commercial,44.666071745523354,-63.61443667427447
5,BPRES-2021-17583,2021-12-01,120000,New Building,New Building,Issued,WELLINGTON,District 01,1,3,Dwelling - Single Detached,44.8990631551204,-63.62374729097356
6,BPRES-2023-12340,2023-10-04,1100000,New Building,New Building,Completed,HEAD OF CHEZZETCOOK,District 02,4,1,Dwelling - Townhouse,44.754207535824115,-63.23315920056453
7,BPRES-2025-10564,2025-08-12,735000,New Building,New Building,Completed,FALL RIVER,District 01,1,2,Dwelling - Single Detached,44.836830699217614,-63.643849868234206
8,BP-2021-04479,2021-03-30,375000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Single Detached,44.78735393379536,-63.74275200344525
9,BPCOM-2023-02744,2023-03-30,40000,Renovation,Renovation,Expired,HALIFAX,District 11,0,1,Commercial,44.59410970063679,-63.63911984370211
10,BPCOM-2026-03805,2026-05-01,150000,Renovation,Renovation,Issued,WESTPHAL,District 04,0,1,Commercial,44.70509876780222,-63.4496445064686
11,BPRES-2022-04195,2022-05-02,219100,Renovation,Renovation,Completed,HALIFAX,District 08,0,1,Dwelling - Single Detached,44.66813163661252,-63.612967056339166
12,BPRES-2023-03954,2023-06-22,20000,Addition,Addition,Expired,DARTMOUTH,District 05,0,2,Dwelling - Single Detached,44.67123114172632,-63.58098350937029
13,BPRES-2024-03970,2024-04-16,60000,New Building,New Building,Expired,EAST LAWRENCETOWN,District 02,0,1,Accessory Structure,44.65418539313267,-63.34022328063946
14,BPRES-2025-02460,2025-02-27,250000,New Building,New Building,Completed,BEECHVILLE,District 12,1,3,Dwelling - Single Detached,44.639066279794605,-63.681276055362126
15,BPRES-2026-00092,,20000,Renovation,Renovation,Application Incomplete,TERENCE BAY,District 13,0,1,Accessory Structure,44.46369295218445,-63.72099067729344
16,BP-2021-01856,2021-02-26,150000,Renovation,Renovation,Expired (Closed),HALIFAX,District 07,0,1,Commercial,44.64384331054259,-63.58029407392168
17,BP-2021-07215,2021-05-19,375000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,1,Dwelling - Single Detached,44.7867814029062,-63.766188591721885
18,BPCOM-2022-05232,,340000,New Building,New Building,Withdrawn,DARTMOUTH,District 06,0,2,Commercial,44.69643031933263,-63.594307756795004
19,BPCOM-2023-16193,2024-01-11,40000,Renovation,Renovation,Completed,LOWER SACKVILLE,District 15,0,1,Commercial,44.77180517627832,-63.69509574671013
20,BPCOM-2025-07991,2026-04-15,7000000,New Building,New Building,Issued,HALIFAX,District 10,0,2,Institutional and Governmental,44.67032139188415,-63.64862172576427
21,BPRES-2021-13383,2021-08-23,425000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Single Detached,44.79068615553283,-63.76617406650804
22,BPRES-2022-01225,2022-03-17,300000,New Building,New Building,Completed,TIMBERLEA,District 12,1,3,Dwelling - Single Detached,44.64015246111085,-63.721727919076926
23,BPRES-2022-07916,,82000,New Building,New Building,Withdrawn,,District 01,1,1,Dwelling - Single Detached,44.93497791968403,-63.49659001594762
24,BPRES-2022-15416,2023-01-27,67000,New Building,New Building,Expired,WAVERLEY,District 01,1,2,Dwelling - Backyard Suite,44.782272587961565,-63.59248524616501
25,BPRES-2023-08053,2024-04-05,60000,New Building,New Building,Completed,RIVER LAKE,District 02,1,1,Dwelling - Seasonal,44.92390947977502,-62.74544940993426
26,BPRES-2023-16373,2024-03-18,700000,New Building,New Building,Completed,BEDFORD,District 16,1,2,Dwelling - Single Detached,44.720652554286524,-63.71756149354174
27,BPRES-2024-07687,,90000,New Building,New Building,Withdrawn,WEST DOVER,District 13,0,2,Accessory Structure,44.49307941165518,-63.87181058314614
28,BPRES-2024-17077,,250000,Addition,Addition,Applicant Revisions,DARTMOUTH,District 03,2,2,Dwelling - Multiple Units,44.6642035194943,-63.54609986012296
29,BPRES-2025-06384,2026-01-26,50000,New Building,New Building,Completed,DARTMOUTH,District 06,2,3,Dwelling - Semi-Detached,44.714085258343616,-63.539417717757935
30,BPRES-2025-14976,2026-05-26,9000,Renovation,Renovation,Issued,HALIFAX,District 09,1,2,Dwelling - Multiple Units,44.64837459685214,-63.59588690443603
31,BPRES-2026-04144,2026-06-12,400000,New Building,New Building,Issued,UPPER TANTALLON,District 13,1,3,Dwelling - Single Detached,44.69442995060911,-63.88190225368967
32,BP-2021-00603,2021-01-22,180000,New Building,New Building,Completed,MIDDLE SACKVILLE,District 14,1,2,Dwelling - Single Detached,44.781785579591926,-63.748903855617954
33,BP-2021-05982,2021-04-20,2000,Renovation,Renovation,Expired,DARTMOUTH,District 03,0,1,Dwelling - Single Detached,44.6656032835218,-63.54129870338368
34,BP-2021-08749,2021-06-17,30000,New Building,New Building,Completed,HEAD OF ST MARGARETS BAY,District 13,0,1,Accessory Structure,44.67094237469761,-63.918977023101164
35,BPCOM-2021-19241,,900000,Renovation,Renovation,Applicant Revisions,HALIFAX,District 09,0,2,Commercial,44.64456804856731,-63.61829827347219
36,BPCOM-2022-12674,2022-10-24,300000,Renovation,Renovation,Completed,DARTMOUTH,District 06,0,1,Commercial,44.702325673140116,-63.56429052094754
