issue_year,work_type,permit_count,total_project_value,total_net_new_units
2020,New Building,2,765000.0,2
2021,Addition,252,83092904.17,-45
2021,New Building,1922,2107908262.11,8508
2021,Renovation,761,143780455.56,82
2022,Addition,303,140074734.03,295
2022,New Building,1857,2727654970.53,12669
2022,Renovation,828,192587334.52,223
2023,Addition,265,305145271.67,681
2023,New Building,1543,2727833140.19,14301
2023,Renovation,794,321205121.76,1297
2024,Addition,283,291627538.43,516
2024,New Building,1784,3588673623.63,13830
2024,Renovation,880,309756664.94,408
2025,Addition,325,148071169.7,278
2025,New Building,1854,3403082233.8,10983
2025,Renovation,921,305263199.0,532
2026,Addition,139,244841995.19,632
2026,New Building,734,1449720090.42,5588
2026,Renovation,399,192596175.47,477
