hour,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12
0,43,51,46,30,26,40,45,51,39,35,44,41
1,29,32,44,24,26,41,42,29,29,39,38,39
2,28,32,20,27,19,31,19,26,26,36,27,35
3,25,31,28,17,16,21,19,20,12,15,20,38
4,21,28,20,21,16,18,28,18,17,19,25,31
5,32,43,25,29,26,32,38,28,28,35,35,25
6,149,97,85,86,80,59,62,71,96,134,95,92
7,243,219,198,152,133,135,125,108,178,208,203,202
8,321,330,275,192,185,187,165,182,247,275,287,260
9,267,223,204,150,162,142,149,150,192,200,215,221
10,211,233,207,166,180,175,161,155,158,164,189,224
11,276,231,242,164,185,221,212,190,206,212,221,245
12,324,254,275,198,215,249,245,254,254,272,269,307
13,278,234,246,211,215,235,245,261,227,246,247,304
14,339,286,246,218,257,265,252,233,237,267,266,292
15,402,328,326,278,319,323,291,311,316,357,324,353
16,406,342,346,311,368,337,351,320,320,404,357,370
17,409,271,274,238,317,291,299,303,275,318,465,442
18,280,225,221,183,198,209,201,160,181,241,329,285
19,199,206,162,123,132,144,161,139,139,239,200,223
20,182,138,126,119,104,105,116,121,161,137,140,155
21,124,126,109,118,97,112,111,123,116,107,107,162
22,91,92,89,72,83,97,91,81,85,99,78,116
23,66,56,61,45,67,66,69,63,50,61,76,65
