species_rank,species_common,species_scientific,tree_count,share_of_all_pct
1,Norway Maple,Acer platanoides,10276,13.02
2,Red Maple,Acer rubrum,7563,9.59
3,American Elm,Ulmus americana,4094,5.19
4,Northern Red Oak,Quercus rubra,3282,4.16
5,Japanese Tree Lilac,Syringa reticulata,3276,4.15
6,Sugar Maple,Acer saccharum,2432,3.08
7,Linden,Tilia (genus),2096,2.66
8,Littleleaf Linden,Tilia cordata,1994,2.53
9,Green Ash,Fraxinus pennsylvanica,1921,2.43
10,Freeman Maple,Acer freemanii,1810,2.29
11,American Basswood,Tilia americana,1751,2.22
12,Northern Hackberry,Celtis occidentalis,1586,2.01
13,Callery Pear,Pyrus calleryana,1573,1.99
14,Maple,Acer (genus),1565,1.98
15,White Spruce,Picea glauca,1519,1.93
16,Ginkgo,Ginkgo biloba,1153,1.46
17,Paper Birch,Betula papyrifera,959,1.22
18,Apple,Malus (genus),899,1.14
19,Red Pine,Pinus resinosa,835,1.06
20,Honeylocust,Gleditisia triacanthos,794,1.01
21,Accolade Elm,Ulmus accolade,769,0.97
22,Pin Oak,Quercus palustris,757,0.96
23,Eastern White Pine,Pinus strobus,754,0.96
24,Silver Maple,Acer saccharinum,734,0.93
25,Northern White Cedar,Thuja occidentalis,725,0.92
26,Serviceberry,Amelanchier (genus),691,0.88
27,Bur Oak,Quercus macrocarpa,649,0.82
28,London Planetree,Platanus hybrida,580,0.74
29,White Ash,Fraxinus americana,553,0.70
30,European Beech,Fagus sylvatica,523,0.66
31,Blue Spruce,Picea pungens,500,0.63
32,Elm,Elm (genus),476,0.60
33,Common Lilac,Syringa vulgaris,473,0.60
34,Tulip Tree,Liriodendron tulipifera,457,0.58
35,English Oak,Quercus robur,454,0.58
36,Oak,Quercus (genus),404,0.51
37,Spruce,Picea (genus),398,0.50
38,European Mountain Ash,Sorbus aucuparia,390,0.49
39,Red Spruce,Picea rubens,389,0.49
40,Sweetgum,Liguidambar styraciflua,376,0.48
41,Scotch Pine,Pinus sylvestris,359,0.46
42,Black Walnut,Juglans nigra,350,0.44
43,Burning Bush,Euonymus alatus,313,0.40
44,Quaking Aspen,Populus tremuloides,309,0.39
45,Amur Maple,Acer ginnala,291,0.37
