month_start,year,month,offered,handled,abandoned,processed_in_ivr,total_talk_time,abandonment_rate,answer_rate,avg_talk_time,year_offered,year_handled,year_abandoned,year_processed_in_ivr,year_total_talk_time,year_abandonment_rate,year_answer_rate
2017-01-01,2017,1,35539,24519,905,8719,4252647,0.0255,0.6899,173.4,473299,302936,19910,130396,55079288,0.0421,0.6401
2017-02-01,2017,2,54542,28390,2012,22462,4931827,0.0369,0.5205,173.7,473299,302936,19910,130396,55079288,0.0421,0.6401
2017-03-01,2017,3,38600,26518,899,9919,4843906,0.0233,0.687,182.7,473299,302936,19910,130396,55079288,0.0421,0.6401
2017-04-01,2017,4,35898,25676,1156,7820,4488387,0.0322,0.7152,174.8,473299,302936,19910,130396,55079288,0.0421,0.6401
2017-05-01,2017,5,39021,27642,1623,8250,4860110,0.0416,0.7084,175.8,473299,302936,19910,130396,55079288,0.0421,0.6401
2017-06-01,2017,6,39981,27240,2068,8859,4676746,0.0517,0.6813,171.7,473299,302936,19910,130396,55079288,0.0421,0.6401
2017-07-01,2017,7,48848,28153,2802,15918,4907229,0.0574,0.5763,174.3,473299,302936,19910,130396,55079288,0.0421,0.6401
2017-08-01,2017,8,41885,26065,2616,11061,5211358,0.0625,0.6223,199.9,473299,302936,19910,130396,55079288,0.0421,0.6401
2017-09-01,2017,9,40903,26121,2653,10140,5098574,0.0649,0.6386,195.2,473299,302936,19910,130396,55079288,0.0421,0.6401
2017-10-01,2017,10,36768,24321,1613,8977,4667290,0.0439,0.6615,191.9,473299,302936,19910,130396,55079288,0.0421,0.6401
2017-11-01,2017,11,32527,21371,800,8707,4014489,0.0246,0.657,187.8,473299,302936,19910,130396,55079288,0.0421,0.6401
2017-12-01,2017,12,28787,16920,763,9564,3126725,0.0265,0.5878,184.8,473299,302936,19910,130396,55079288,0.0421,0.6401
2018-01-01,2018,1,44679,22980,1110,18942,4293365,0.0248,0.5143,186.8,413048,254469,13732,125808,52996158,0.0332,0.6161
2018-02-01,2018,2,26012,16221,385,7951,3341940,0.0148,0.6236,206.0,413048,254469,13732,125808,52996158,0.0332,0.6161
2018-03-01,2018,3,34480,20775,653,11631,4260350,0.0189,0.6025,205.1,413048,254469,13732,125808,52996158,0.0332,0.6161
2018-04-01,2018,4,31171,20826,898,8022,4289942,0.0288,0.6681,206.0,413048,254469,13732,125808,52996158,0.0332,0.6161
2018-05-01,2018,5,33840,22537,988,8655,4833689,0.0292,0.666,214.5,413048,254469,13732,125808,52996158,0.0332,0.6161
2018-06-01,2018,6,33770,21321,1296,9178,4697349,0.0384,0.6314,220.3,413048,254469,13732,125808,52996158,0.0332,0.6161
2018-07-01,2018,7,39501,24070,1693,11753,5167918,0.0429,0.6094,214.7,413048,254469,13732,125808,52996158,0.0332,0.6161
2018-08-01,2018,8,38587,24345,1458,10824,5347670,0.0378,0.6309,219.7,413048,254469,13732,125808,52996158,0.0332,0.6161
2018-09-01,2018,9,36675,21943,2512,10604,4618659,0.0685,0.5983,210.5,413048,254469,13732,125808,52996158,0.0332,0.6161
2018-10-01,2018,10,33776,22266,1333,8728,4717665,0.0395,0.6592,211.9,413048,254469,13732,125808,52996158,0.0332,0.6161
2018-11-01,2018,11,32759,20804,777,9885,4129815,0.0237,0.6351,198.5,413048,254469,13732,125808,52996158,0.0332,0.6161
2018-12-01,2018,12,27798,16381,629,9635,3297796,0.0226,0.5893,201.3,413048,254469,13732,125808,52996158,0.0332,0.6161
2019-01-01,2019,1,34175,20997,1230,10880,4739539,0.036,0.6144,225.7,432853,263989,20771,131556,59523729,0.048,0.6099
2019-02-01,2019,2,30074,17338,453,11235,3840524,0.0151,0.5765,221.5,432853,263989,20771,131556,59523729,0.048,0.6099
2019-03-01,2019,3,37838,23113,1507,12250,5517279,0.0398,0.6108,238.7,432853,263989,20771,131556,59523729,0.048,0.6099
2019-04-01,2019,4,31984,21531,938,8442,4647038,0.0293,0.6732,215.8,432853,263989,20771,131556,59523729,0.048,0.6099
2019-05-01,2019,5,33083,22083,1164,8397,5034896,0.0352,0.6675,228.0,432853,263989,20771,131556,59523729,0.048,0.6099
2019-06-01,2019,6,34212,21538,1663,9302,4828403,0.0486,0.6295,224.2,432853,263989,20771,131556,59523729,0.048,0.6099
2019-07-01,2019,7,43406,24240,3566,13677,5569093,0.0822,0.5584,229.7,432853,263989,20771,131556,59523729,0.048,0.6099
2019-08-01,2019,8,36504,23106,1269,10459,5296574,0.0348,0.633,229.2,432853,263989,20771,131556,59523729,0.048,0.6099
2019-09-01,2019,9,52474,28161,4481,18015,6048623,0.0854,0.5367,214.8,432853,263989,20771,131556,59523729,0.048,0.6099
2019-10-01,2019,10,36436,23728,2007,9291,5420022,0.0551,0.6512,228.4,432853,263989,20771,131556,59523729,0.048,0.6099
2019-11-01,2019,11,33156,20282,1893,9687,4735417,0.0571,0.6117,233.5,432853,263989,20771,131556,59523729,0.048,0.6099
2019-12-01,2019,12,29511,17872,600,9921,3846321,0.0203,0.6056,215.2,432853,263989,20771,131556,59523729,0.048,0.6099
2020-01-01,2020,1,35625,21503,1356,11513,4642594,0.0381,0.6036,215.9,375764,238363,21590,106016,53803256,0.0575,0.6343
2020-02-01,2020,2,28258,16990,780,9450,3683965,0.0276,0.6012,216.8,375764,238363,21590,106016,53803256,0.0575,0.6343
2020-03-01,2020,3,30838,19817,867,9057,4079444,0.0281,0.6426,205.9,375764,238363,21590,106016,53803256,0.0575,0.6343
2020-04-01,2020,4,26360,17899,252,7770,3768360,0.0096,0.679,210.5,375764,238363,21590,106016,53803256,0.0575,0.6343
2020-05-01,2020,5,26386,18441,348,7166,4055491,0.0132,0.6989,219.9,375764,238363,21590,106016,53803256,0.0575,0.6343
2020-06-01,2020,6,32159,21818,991,8681,4796724,0.0308,0.6784,219.9,375764,238363,21590,106016,53803256,0.0575,0.6343
2020-07-01,2020,7,34570,22177,2137,9547,4886251,0.0618,0.6415,220.3,375764,238363,21590,106016,53803256,0.0575,0.6343
2020-08-01,2020,8,31414,20742,1676,8317,4703168,0.0534,0.6603,226.7,375764,238363,21590,106016,53803256,0.0575,0.6343
2020-09-01,2020,9,37000,22310,3193,10734,5326177,0.0863,0.603,238.7,375764,238363,21590,106016,53803256,0.0575,0.6343
2020-10-01,2020,10,43339,24903,7845,9722,6176872,0.181,0.5746,248.0,375764,238363,21590,106016,53803256,0.0575,0.6343
2020-11-01,2020,11,26887,17084,1580,7231,4181210,0.0588,0.6354,244.7,375764,238363,21590,106016,53803256,0.0575,0.6343
2020-12-01,2020,12,22928,14679,565,6828,3503000,0.0246,0.6402,238.6,375764,238363,21590,106016,53803256,0.0575,0.6343
2021-01-01,2021,1,22228,14413,407,6439,3735556,0.0183,0.6484,259.2,347272,212766,20683,100124,54887875,0.0596,0.6127
2021-02-01,2021,2,30191,16888,1464,10764,4047437,0.0485,0.5594,239.7,347272,212766,20683,100124,54887875,0.0596,0.6127
2021-03-01,2021,3,27541,18574,655,7294,4681527,0.0238,0.6744,252.0,347272,212766,20683,100124,54887875,0.0596,0.6127
2021-04-01,2021,4,28959,19615,806,7584,4904764,0.0278,0.6773,250.1,347272,212766,20683,100124,54887875,0.0596,0.6127
2021-05-01,2021,5,25649,17070,755,7048,4481785,0.0294,0.6655,262.6,347272,212766,20683,100124,54887875,0.0596,0.6127
2021-06-01,2021,6,29391,18399,1602,8277,4943929,0.0545,0.626,268.7,347272,212766,20683,100124,54887875,0.0596,0.6127
2021-07-01,2021,7,33913,19145,3273,10085,5070283,0.0965,0.5645,264.8,347272,212766,20683,100124,54887875,0.0596,0.6127
2021-08-01,2021,8,30239,18239,2147,8663,4848929,0.071,0.6032,265.9,347272,212766,20683,100124,54887875,0.0596,0.6127
2021-09-01,2021,9,31676,18967,2889,8629,4890405,0.0912,0.5988,257.8,347272,212766,20683,100124,54887875,0.0596,0.6127
2021-10-01,2021,10,29941,19043,2448,7310,4927272,0.0818,0.636,258.7,347272,212766,20683,100124,54887875,0.0596,0.6127
2021-11-01,2021,11,27471,17408,1460,7307,4573323,0.0531,0.6337,262.7,347272,212766,20683,100124,54887875,0.0596,0.6127
2021-12-01,2021,12,30073,15005,2777,10724,3782665,0.0923,0.499,252.1,347272,212766,20683,100124,54887875,0.0596,0.6127
2022-01-01,2022,1,31386,17569,1285,11002,4735531,0.0409,0.5598,269.5,365477,224204,20785,105382,61701257,0.0569,0.6135
2022-02-01,2022,2,30400,17328,1218,10630,4986812,0.0401,0.57,287.8,365477,224204,20785,105382,61701257,0.0569,0.6135
2022-03-01,2022,3,29320,20137,769,7427,5831635,0.0262,0.6868,289.6,365477,224204,20785,105382,61701257,0.0569,0.6135
2022-04-01,2022,4,26990,18719,685,6622,5021148,0.0254,0.6936,268.2,365477,224204,20785,105382,61701257,0.0569,0.6135
2022-05-01,2022,5,28656,19959,595,7041,5373329,0.0208,0.6965,269.2,365477,224204,20785,105382,61701257,0.0569,0.6135
2022-06-01,2022,6,29754,19497,792,8000,5269447,0.0266,0.6553,270.3,365477,224204,20785,105382,61701257,0.0569,0.6135
2022-07-01,2022,7,31924,19991,1659,8828,5437509,0.052,0.6262,272.0,365477,224204,20785,105382,61701257,0.0569,0.6135
2022-08-01,2022,8,31447,19025,2286,8630,5471335,0.0727,0.605,287.6,365477,224204,20785,105382,61701257,0.0569,0.6135
2022-09-01,2022,9,40140,21705,3373,13729,5441582,0.084,0.5407,250.7,365477,224204,20785,105382,61701257,0.0569,0.6135
2022-10-01,2022,10,37757,19724,6438,10210,5655563,0.1705,0.5224,286.7,365477,224204,20785,105382,61701257,0.0569,0.6135
2022-11-01,2022,11,25806,16880,1250,6584,4682969,0.0484,0.6541,277.4,365477,224204,20785,105382,61701257,0.0569,0.6135
2022-12-01,2022,12,21897,13670,435,6679,3794397,0.0199,0.6243,277.6,365477,224204,20785,105382,61701257,0.0569,0.6135
2023-01-01,2023,1,26098,16944,432,7625,4811335,0.0166,0.6492,284.0,527241,360726,36978,112756,103748598,0.0701,0.6842
2023-02-01,2023,2,22829,14514,274,6917,3991669,0.012,0.6358,275.0,527241,360726,36978,112756,103748598,0.0701,0.6842
2023-03-01,2023,3,29263,19460,494,8050,5421972,0.0169,0.665,278.6,527241,360726,36978,112756,103748598,0.0701,0.6842
2023-04-01,2023,4,27844,17725,1892,7114,5017470,0.068,0.6366,283.1,527241,360726,36978,112756,103748598,0.0701,0.6842
2023-05-01,2023,5,46466,25961,6135,12698,7040019,0.132,0.5587,271.2,527241,360726,36978,112756,103748598,0.0701,0.6842
2023-06-01,2023,6,58472,40480,6056,10377,10983095,0.1036,0.6923,271.3,527241,360726,36978,112756,103748598,0.0701,0.6842
2023-07-01,2023,7,64130,39834,8090,14174,12100730,0.1262,0.6211,303.8,527241,360726,36978,112756,103748598,0.0701,0.6842
2023-08-01,2023,8,57239,42106,3098,10318,13454772,0.0541,0.7356,319.5,527241,360726,36978,112756,103748598,0.0701,0.6842
2023-09-01,2023,9,52996,38980,2781,9854,11542475,0.0525,0.7355,296.1,527241,360726,36978,112756,103748598,0.0701,0.6842
2023-10-01,2023,10,50512,38451,2907,7990,11314783,0.0576,0.7612,294.3,527241,360726,36978,112756,103748598,0.0701,0.6842
2023-11-01,2023,11,45919,34974,2022,7618,10138098,0.044,0.7616,289.9,527241,360726,36978,112756,103748598,0.0701,0.6842
2023-12-01,2023,12,45473,31297,2797,10021,7932180,0.0615,0.6883,253.4,527241,360726,36978,112756,103748598,0.0701,0.6842
2024-01-01,2024,1,45190,33794,1563,8683,9107563,0.0346,0.7478,269.5,506892,353002,22387,114940,92224412,0.0442,0.6964
2024-02-01,2024,2,61784,38136,5006,16693,10058707,0.081,0.6172,263.8,506892,353002,22387,114940,92224412,0.0442,0.6964
2024-03-01,2024,3,45098,34202,1793,7877,9671333,0.0398,0.7584,282.8,506892,353002,22387,114940,92224412,0.0442,0.6964
2024-04-01,2024,4,50252,39655,1647,7684,10623320,0.0328,0.7891,267.9,506892,353002,22387,114940,92224412,0.0442,0.6964
2024-05-01,2024,5,49356,38175,936,8660,10469704,0.019,0.7735,274.3,506892,353002,22387,114940,92224412,0.0442,0.6964
2024-06-01,2024,6,49861,38288,1735,8446,10179894,0.0348,0.7679,265.9,506892,353002,22387,114940,92224412,0.0442,0.6964
2024-07-01,2024,7,46674,32362,2819,10085,8396152,0.0604,0.6934,259.4,506892,353002,22387,114940,92224412,0.0442,0.6964
2024-08-01,2024,8,34117,20133,2069,10521,4994383,0.0606,0.5901,248.1,506892,353002,22387,114940,92224412,0.0442,0.6964
2024-09-01,2024,9,33196,19651,2033,9996,4938204,0.0612,0.592,251.3,506892,353002,22387,114940,92224412,0.0442,0.6964
2024-10-01,2024,10,40252,26948,2143,9679,6721758,0.0532,0.6695,249.4,506892,353002,22387,114940,92224412,0.0442,0.6964
2024-11-01,2024,11,25062,16596,392,7076,3760850,0.0156,0.6622,226.6,506892,353002,22387,114940,92224412,0.0442,0.6964
2024-12-01,2024,12,26050,15062,251,9540,3302544,0.0096,0.5782,219.3,506892,353002,22387,114940,92224412,0.0442,0.6964
2025-01-01,2025,1,26870,18022,231,7748,4381409,0.0086,0.6707,243.1,365053,237671,10037,104255,55961388,0.0275,0.6511
