tax_group,tax_summary_group,rate_code,rate_description,bill_rate_percentage,account_count,residential_taxable,commercial_taxable,resource_taxable,bill_value,bill_amount
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,0,5,0,844400,0,844400,0
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,30.82,1,0,1100,0,1100,30.82
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,1477.18,1,0,52700,0,52700,1477.18
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,1494,1,0,53300,0,53300,1494
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,1569.68,1,0,56000,0,56000,1569.68
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,1690.2,1,0,60300,0,60300,1690.2
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,1707.02,1,0,60900,0,60900,1707.02
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,1768.68,1,0,63100,0,63100,1768.68
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,1894.82,1,0,67600,0,67600,1894.82
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,2096.64,1,0,74800,0,74800,2096.64
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,2147.1,1,0,76600,0,76600,2147.1
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,2354.52,1,0,84000,0,84000,2354.52
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,2749.74,1,0,98100,0,98100,2749.74
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,2808.6,1,0,100200,0,100200,2808.6
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,3363.6,2,0,240000,0,240000,6727.2
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,3520.56,1,0,125600,0,125600,3520.56
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,4083.72,1,0,291800,0,291800,4083.72
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,4095.42,1,0,291800,0,291800,4095.42
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,5362.14,1,0,191300,0,191300,5362.14
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,5364.94,1,0,191400,0,191400,5364.94
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,5653.64,1,0,201700,0,201700,5653.64
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,6015.24,1,0,214600,0,214600,6015.24
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,6533.78,1,0,233100,0,233100,6533.78
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,6617.88,1,0,236100,0,236100,6617.88
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,6635.02,1,0,474100,0,474100,6635.02
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,6654,1,0,474100,0,474100,6654
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,6895.38,1,0,246000,0,246000,6895.38
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,7189.7,1,0,256500,0,256500,7189.7
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,7674.6,1,0,273800,0,273800,7674.6
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,8531.34,1,0,609600,0,609600,8531.34
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,8555.74,1,0,609600,0,609600,8555.74
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,8741.28,1,0,624600,0,624600,8741.28
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,8766.26,1,0,624600,0,624600,8766.26
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,9112.54,1,0,325100,0,325100,9112.54
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,9499.36,1,0,338900,0,338900,9499.36
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,9603.08,1,0,342600,0,342600,9603.08
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,10331.1,1,0,738200,0,738200,10331.1
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,10360.64,1,0,738200,0,738200,10360.64
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,10603.74,1,0,378300,0,378300,10603.74
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,10757.9,1,0,383800,0,383800,10757.9
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,11469.88,1,0,409200,0,409200,11469.88
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,11884.72,1,0,424000,0,424000,11884.72
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,12551.82,1,0,447800,0,447800,12551.82
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,12893.8,1,0,460000,0,460000,12893.8
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,13389.92,1,0,477700,0,477700,13389.92
1. Municipal Commercial,Business Park Area-COMMERCIAL,M100,Business Park Area,13804.78,1,0,492500,0,492500,13804.78
