tax_group,account_count,residential_taxable,commercial_taxable,resource_taxable,total_taxable,bill_value,bill_amount,effective_rate,bill_share,bill_rank
1. Municipal Residential,802047,320964015100,0,0,320964015100,320964015100.00,444205367.36,0.001384,0.443439,1
1. Municipal Commercial,27655,0,50066913575,0,50066913575,50066913575.00,296853626.45,0.005929,0.296342,2
2 .Provincial Residential,313886,117937426000,0,0,117937426000,117937426000.00,171389947.99,0.001453,0.171094,3
1. Municipal Commercial Exempt,1813,0,0,0,0,9979825410.00,42224639.42,,0.042152,4
2 .Provincial Commercial,11892,0,20446445600,0,20446445600,20446445600.00,28755562.39,0.001406,0.028706,5
2 .Provincial Commercial Exempt,578,0,0,0,0,2870293444.00,3925246.06,,0.003918,6
1. Municipal Residential Exempt,1789,0,0,0,0,2658377500.00,3579415.24,,0.003573,7
5. Business Improvement Districts Commercial,1228,0,2251595700,0,2251595700,2251595700.00,3575573.08,0.001588,0.003569,8
1. Municipal Resource,31216,0,0,1424458800,1424458800,1424458800.00,2069761.55,0.001453,0.002066,9
2 .Provincial Residential Exempt,832,0,0,0,0,890442800.00,1334161.98,,0.001332,10
3. Area Rates Residential,32066,8679165500,0,0,8679165500,8679165500.00,1126288.99,0.000130,0.001124,11
2 .Provincial Resource,18688,0,0,711744400,711744400,711744400.00,893878.40,0.001256,0.000892,12
1. Municipal Resource Exempt,2335,0,0,0,0,311394100.00,555301.40,,0.000554,13
4. Private Roads Residential,969,370539600,0,0,370539600,370539600.00,543754.48,0.001467,0.000543,14
2 .Provincial Resource Exempt,1358,0,0,0,0,158644400.00,237960.98,,0.000238,15
5. Business Improvement Districts Commercial Exempt,28,0,0,0,0,162896201.00,234025.48,,0.000234,16
1. Municipal Commercial Forest Acre,589,0,0,0,0,0.00,72067.10,,0.000072,17
3. Area Rates Commercial,498,0,417099000,0,417099000,417099000.00,40222.26,0.000096,0.000040,18
1. Municipal Resource Forest Acre,1854,0,0,0,0,0.00,39373.84,,0.000039,19
1. Municipal Non-Profit Acre,14,0,0,0,0,0.00,26567.92,,0.000027,20
1. Municipal Commercial Forest Exempt,2,0,0,0,0,103800.00,21279.00,,0.000021,21
3. Area Rates Resource,1298,0,0,46263800,46263800,46263800.00,8294.78,0.000179,0.000008,22
4. Private Roads Resource,17,0,0,877500,877500,877500.00,7990.32,0.009106,0.000008,23
4. Private Roads Commercial,4,0,2387800,0,2387800,2387800.00,2100.00,0.000879,0.000002,24
3. Area Rates Resource Exempt,143,0,0,0,0,19742000.00,2059.98,,0.000002,25
3. Area Rates Residential Exempt,112,0,0,0,0,5666700.00,1344.22,,0.000001,26
4. Private Roads Resource Exempt,1,0,0,0,0,199700.00,900.00,,0.000001,27
3. Area Rates Commercial Exempt,30,0,0,0,0,4811400.00,600.36,,0.000001,28
