proj_no,proj_name,loc_desc,work_desc,category,category_norm,asset_type,year,lat,lon
CP190001,Cultural Assets - The Wave,"",Rehab/Renewal,Art & Cultural Assets,Art & Cultural Assets,Amenity,2021,44.647179,-63.570024
CP190001,Cultural Assets - Silver's Hill Park mural,"38 Sinclair Street, Dartmouth",New,Art & Cultural Assets,Art & Cultural Assets,Amenity,2021,44.675001,-63.558153
CR200003,Bridges - Walker Bridge Replacement Detailed Design,"100 Salmon River Dr, Westphal",Rehab/Renewal,Bridges,Bridges,Bridge,2021,44.702296,-63.46078
CR200003,Bridges - Buckingham Dr Culvert Replacement,"215 Buckingham Dr, Stillwater Lake",Rehab/Renewal,Bridges,Bridges,Bridge,2021,44.695112,-63.838045
CR200003,Bridges - Lucasville River Bridge Repair Design,"230 Lucasville Rd, Lower Sackville",Rehab/Renewal,Bridges,Bridges,Bridge,2021,44.774579,-63.71416
CR200003,Bridges - Barry's Run Repair Design,"426 Waverley Rd, Dartmouth",Rehab/Renewal,Bridges,Bridges,Bridge,2021,44.716455,-63.545024
CR200003,Bridges - Lady Hammond Rd,"6239 Lady Hammond Rd, Halifax",Rehab/Renewal,Bridges,Bridges,Bridge,2021,44.664911,-63.616627
CR200003,Bridges - CN South St Bridge Repair,"6411 South St, Halifax",Rehab/Renewal,Bridges,Bridges,Bridge,2021,44.633981,-63.595911
CR200003,Bridges - Barrington St Repair,"Barrington St, Halifax",Rehab/Renewal,Bridges,Bridges,Bridge,2021,44.67463,-63.61487
CB000002,Multi District Facilities-Upgrades (Bundle),Canada Games Centre,Air Conditioning of the field house,Buildings,Buildings,(unspecified),2013,44.659494,-63.664511
CB000002,Multi District Facilities-Upgrades (Bundle),Centennial Arena,Ice plant control system,Buildings,Buildings,(unspecified),2013,44.662005,-63.635132
CB000002,Multi District Facilities-Upgrades (Bundle),Centennial Pool,Renovations,Buildings,Buildings,(unspecified),2013,44.64991,-63.581728
CB000002,Multi District Facilities-Upgrades (Bundle),Cole Harbour Place,Dashboard boards and paving upgrades,Buildings,Buildings,(unspecified),2013,44.684034,-63.490048
CB000002,Multi District Facilities-Upgrades (Bundle),Dartmouth Sportsplex,"Circulation Pumps, paving upgrades",Buildings,Buildings,(unspecified),2013,44.669354,-63.575173
CB000002,Multi District Facilities-Upgrades (Bundle),Eastern Shore Community Centre,"Fire panel, emergency lighting upgrades",Buildings,Buildings,(unspecified),2013,44.78941,-63.148556
CB000002,Multi District Facilities-Upgrades (Bundle),Halifax Forum,Waterproofing,Buildings,Buildings,(unspecified),2013,44.655369,-63.604257
CB000002,Multi District Facilities-Upgrades (Bundle),Sackville Sports Stadium,Flooring and lighting upgrades,Buildings,Buildings,(unspecified),2013,44.772997,-63.673618
CB000002,Multi District Facilities-Upgrades (Bundle),Spryfield Lions Arena,Refrigeration plant,Buildings,Buildings,(unspecified),2013,44.607906,-63.608264
CB000002,Multi District Facilities-Upgrades (Bundle),St. Margaret's Centre,Generator upgrade,Buildings,Buildings,(unspecified),2013,44.706899,-63.857788
CB000010,Regional Park Washrooms,Albro Lake Park Washroom,Replacement of washroom facility and lighting. Security Improvements and landscaping,Buildings,Buildings,(unspecified),2013,44.68598,-63.576477
CB000010,Regional Park Washrooms,Chocolate Lake Park Washroom,"New washroom facility. Lighting installation, security improvements and landscaping",Buildings,Buildings,(unspecified),2013,44.638354,-63.620095
