OBJECTID,EVT_RT,EVT_RIN,EVT_DATE,LOCATION,RUCR,RUCR_EXT_D,x,y
1,GO,1530119,7/5/2026 12:00:00 AM,STONEYBROOK CRT,2135,THEFT OF VEHICLE,-7084197.60889086,5568448.78667853
2,GO,1530153,7/5/2026 12:00:00 AM,VIMY AVE,2132,THEFT FROM VEHICLE,-7083816.33961378,5568410.02050922
3,GO,1530145,7/5/2026 12:00:00 AM,SHAUGHNESSY PL,2132,THEFT FROM VEHICLE,-7087895.17304962,5575657.0444852
4,GO,1530092,7/5/2026 12:00:00 AM,ALBEMARLE ST,2142,THEFT FROM VEHICLE,-7077431.04731741,5566580.99942267
5,GO,1530236,7/5/2026 12:00:00 AM,LOWER WATER ST,1430,ASSAULT,-7076721.36266498,5566180.54947688
6,GO,1530160,7/5/2026 12:00:00 AM,HALEF CRT,1430,ASSAULT,-7083004.06518167,5564034.37751669
7,GO,1530214,7/5/2026 12:00:00 AM,HIGHWAY 111 WB EXIT 5 ON RAMP / LAKESHORE PARK TERR,1460,ASSAULT,-7074856.99372159,5572283.4780603
8,GO,1530192,7/5/2026 12:00:00 AM,GREENWOOD AVE,1430,ASSAULT,-7095563.62920468,5566665.40325918
9,GO,1530152,7/5/2026 12:00:00 AM,ARMENIA DR,1430,ASSAULT,-7089957.86674447,5574769.51138817
10,GO,1530242,7/5/2026 12:00:00 AM,BEDFORD HWY,1420,ASSAULT,-7085151.99225394,5570447.75998879
11,GO,1530116,7/5/2026 12:00:00 AM,BRUNSWICK ST,2120,BREAK AND ENTER,-7077501.8539311,5566537.34404003
12,GO,1530401,7/6/2026 12:00:00 AM,FLAMINGO DR,2142,THEFT FROM VEHICLE,-7085584.59168316,5570258.03090353
13,GO,1530536,7/6/2026 12:00:00 AM,ARMOURY PL,2142,THEFT FROM VEHICLE,-7078450.80294915,5566822.14282117
14,GO,1530248,7/6/2026 12:00:00 AM,ROMANS AVE,1420,ASSAULT,-7082337.25107019,5567383.74533156
