dataset,month_start,usage
2031 Commuting Mode Share Targets,2022-02-01,6992
2031 Commuting Mode Share Targets,2022-03-01,10731
2031 Commuting Mode Share Targets,2022-04-01,9095
2031 Commuting Mode Share Targets,2022-05-01,10457
2031 Commuting Mode Share Targets,2022-06-01,10465
2031 Commuting Mode Share Targets,2022-07-01,9942
2031 Commuting Mode Share Targets,2022-08-01,9771
2031 Commuting Mode Share Targets,2022-09-01,3469
2031 Commuting Mode Share Targets,2022-10-01,260
2031 Commuting Mode Share Targets,2022-11-01,126
2031 Commuting Mode Share Targets,2022-12-01,87
2031 Commuting Mode Share Targets,2023-01-01,75
2031 Commuting Mode Share Targets,2023-02-01,81
2031 Commuting Mode Share Targets,2023-03-01,308
2031 Commuting Mode Share Targets,2023-04-01,180
2031 Commuting Mode Share Targets,2023-05-01,373
2031 Commuting Mode Share Targets,2023-06-01,682
2031 Commuting Mode Share Targets,2023-07-01,858
2031 Commuting Mode Share Targets,2023-08-01,1107
2031 Commuting Mode Share Targets,2023-09-01,974
2031 Commuting Mode Share Targets,2023-10-01,714
2031 Commuting Mode Share Targets,2023-11-01,429
2031 Commuting Mode Share Targets,2023-12-01,585
2031 Commuting Mode Share Targets,2024-01-01,499
2031 Commuting Mode Share Targets,2024-02-01,447
2031 Commuting Mode Share Targets,2024-03-01,589
2031 Commuting Mode Share Targets,2024-04-01,434
2031 Commuting Mode Share Targets,2024-05-01,566
2031 Commuting Mode Share Targets,2024-06-01,578
2031 Commuting Mode Share Targets,2024-07-01,484
2031 Commuting Mode Share Targets,2024-08-01,536
2031 Commuting Mode Share Targets,2024-09-01,534
2031 Commuting Mode Share Targets,2024-10-01,5089
2031 Commuting Mode Share Targets,2024-11-01,3448
2031 Commuting Mode Share Targets,2024-12-01,3260
2031 Commuting Mode Share Targets,2025-01-01,4964
2031 Commuting Mode Share Targets,2025-02-01,16304
2031 Commuting Mode Share Targets,2025-03-01,4888
2031 Commuting Mode Share Targets,2025-04-01,3404
2031 Commuting Mode Share Targets,2025-05-01,3288
2031 Commuting Mode Share Targets,2025-06-01,1864
2031 Commuting Mode Share Targets,2025-07-01,633
2031 Commuting Mode Share Targets,2025-08-01,520
2031 Commuting Mode Share Targets,2025-09-01,506
2031 Commuting Mode Share Targets,2025-10-01,376
311 Call Details,2023-11-01,7431
311 Call Details,2023-12-01,14470
311 Call Details,2024-01-01,488
311 Call Details,2024-02-01,394
311 Call Details,2024-03-01,2681
311 Call Details,2024-04-01,563
311 Call Details,2024-05-01,1207
311 Call Details,2024-06-01,1548
311 Call Details,2024-07-01,349
311 Call Details,2024-08-01,621
311 Call Details,2024-09-01,821
311 Call Details,2024-10-01,161259
311 Call Details,2024-11-01,215632
311 Call Details,2024-12-01,216804
311 Call Details,2025-01-01,173068
311 Call Details,2025-02-01,188104
311 Call Details,2025-03-01,424060
311 Call Details,2025-04-01,87320
311 Call Details,2025-05-01,228208
311 Call Details,2025-06-01,111648
311 Call Details,2025-07-01,19109
311 Call Details,2025-08-01,24784
311 Call Details,2025-09-01,49043
311 Call Details,2025-10-01,21610
311 Call Volumes,2018-10-01,395
311 Call Volumes,2018-11-01,11461
311 Call Volumes,2018-12-01,12265
311 Call Volumes,2019-01-01,12744
311 Call Volumes,2019-02-01,7565
311 Call Volumes,2019-03-01,8460
311 Call Volumes,2019-04-01,11839
311 Call Volumes,2019-05-01,12104
311 Call Volumes,2019-06-01,11601
311 Call Volumes,2019-07-01,14269
311 Call Volumes,2019-08-01,13935
311 Call Volumes,2019-09-01,14127
311 Call Volumes,2019-10-01,13726
311 Call Volumes,2019-11-01,12946
311 Call Volumes,2019-12-01,10964
311 Call Volumes,2020-01-01,10624
311 Call Volumes,2020-02-01,11597
311 Call Volumes,2020-03-01,9017
311 Call Volumes,2020-04-01,6328
311 Call Volumes,2020-06-01,2969
311 Call Volumes,2020-07-01,11613
311 Call Volumes,2020-08-01,12875
311 Call Volumes,2020-09-01,12585
311 Call Volumes,2020-10-01,11775
311 Call Volumes,2020-11-01,17405
311 Call Volumes,2020-12-01,11308
311 Call Volumes,2021-01-01,507
311 Call Volumes,2021-02-01,292
311 Call Volumes,2021-03-01,768
311 Call Volumes,2021-04-01,301
311 Call Volumes,2021-05-01,260
311 Call Volumes,2021-06-01,283
311 Call Volumes,2021-07-01,517
311 Call Volumes,2021-08-01,308
311 Call Volumes,2021-09-01,5078
311 Call Volumes,2021-10-01,14628
311 Call Volumes,2021-11-01,11594
311 Call Volumes,2021-12-01,12011
311 Call Volumes,2022-01-01,9839
311 Call Volumes,2022-02-01,9417
311 Call Volumes,2022-03-01,10948
311 Call Volumes,2022-04-01,9155
311 Call Volumes,2022-05-01,10557
311 Call Volumes,2022-06-01,10489
311 Call Volumes,2022-07-01,9949
311 Call Volumes,2022-08-01,9781
311 Call Volumes,2022-09-01,3554
311 Call Volumes,2022-10-01,413
311 Call Volumes,2022-11-01,260
311 Call Volumes,2022-12-01,93
311 Call Volumes,2023-01-01,70
311 Call Volumes,2023-02-01,68
311 Call Volumes,2023-03-01,292
311 Call Volumes,2023-04-01,253
311 Call Volumes,2023-05-01,553
311 Call Volumes,2023-06-01,744
311 Call Volumes,2023-07-01,1005
311 Call Volumes,2023-08-01,1287
311 Call Volumes,2023-09-01,1360
311 Call Volumes,2023-10-01,1602
311 Call Volumes,2023-11-01,678
311 Call Volumes,2023-12-01,720
311 Call Volumes,2024-01-01,553
311 Call Volumes,2024-02-01,574
311 Call Volumes,2024-03-01,667
311 Call Volumes,2024-04-01,478
311 Call Volumes,2024-05-01,599
311 Call Volumes,2024-06-01,515
311 Call Volumes,2024-07-01,380
311 Call Volumes,2024-08-01,545
311 Call Volumes,2024-09-01,711
311 Call Volumes,2024-10-01,5243
311 Call Volumes,2024-11-01,3972
311 Call Volumes,2024-12-01,6668
311 Call Volumes,2025-01-01,4340
311 Call Volumes,2025-02-01,13944
311 Call Volumes,2025-03-01,6196
311 Call Volumes,2025-04-01,7160
311 Call Volumes,2025-05-01,9876
311 Call Volumes,2025-06-01,4876
311 Call Volumes,2025-07-01,597
311 Call Volumes,2025-08-01,1183
311 Call Volumes,2025-09-01,883
311 Call Volumes,2025-10-01,475
Accessible Parking Spots,2019-11-01,2120
Accessible Parking Spots,2019-12-01,13212
Accessible Parking Spots,2020-01-01,22841
Accessible Parking Spots,2020-02-01,30595
Accessible Parking Spots,2020-03-01,23689
Accessible Parking Spots,2020-04-01,15883
Accessible Parking Spots,2020-06-01,7572
Accessible Parking Spots,2020-07-01,32203
Accessible Parking Spots,2020-08-01,34074
Accessible Parking Spots,2020-09-01,34588
Accessible Parking Spots,2020-10-01,35135
Accessible Parking Spots,2020-11-01,38517
Accessible Parking Spots,2020-12-01,37877
Accessible Parking Spots,2021-01-01,25256
Accessible Parking Spots,2021-02-01,26972
Accessible Parking Spots,2021-03-01,31230
Accessible Parking Spots,2021-04-01,30233
Accessible Parking Spots,2021-05-01,31392
Accessible Parking Spots,2021-06-01,26586
Accessible Parking Spots,2021-07-01,38075
Accessible Parking Spots,2021-08-01,26356
Accessible Parking Spots,2021-09-01,34721
Accessible Parking Spots,2021-10-01,41978
Accessible Parking Spots,2021-11-01,38669
Accessible Parking Spots,2021-12-01,33720
Accessible Parking Spots,2022-01-01,34912
Accessible Parking Spots,2022-02-01,35279
Accessible Parking Spots,2022-03-01,43590
Accessible Parking Spots,2022-04-01,36596
Accessible Parking Spots,2022-05-01,40485
Accessible Parking Spots,2022-06-01,37002
Accessible Parking Spots,2022-07-01,32874
Accessible Parking Spots,2022-08-01,34349
Accessible Parking Spots,2022-09-01,25632
Accessible Parking Spots,2022-10-01,27356
Accessible Parking Spots,2022-11-01,7646
Accessible Parking Spots,2022-12-01,1130
Accessible Parking Spots,2023-01-01,1397
Accessible Parking Spots,2023-02-01,1614
Accessible Parking Spots,2023-03-01,26543
Accessible Parking Spots,2023-04-01,18817
Accessible Parking Spots,2023-05-01,31584
Accessible Parking Spots,2023-06-01,44436
Accessible Parking Spots,2023-07-01,52475
Accessible Parking Spots,2023-08-01,55371
Accessible Parking Spots,2023-09-01,57333
Accessible Parking Spots,2023-10-01,50075
Accessible Parking Spots,2023-11-01,29378
Accessible Parking Spots,2023-12-01,22718
Accessible Parking Spots,2024-01-01,33257
Accessible Parking Spots,2024-02-01,30513
Accessible Parking Spots,2024-03-01,29535
Accessible Parking Spots,2024-04-01,34368
Accessible Parking Spots,2024-05-01,33930
Accessible Parking Spots,2024-06-01,33530
Accessible Parking Spots,2024-07-01,26876
Accessible Parking Spots,2024-08-01,32878
Accessible Parking Spots,2024-09-01,34954
Accessible Parking Spots,2024-10-01,347746
Accessible Parking Spots,2024-11-01,117976
Accessible Parking Spots,2024-12-01,106652
Accessible Parking Spots,2025-01-01,143732
Accessible Parking Spots,2025-02-01,138724
Accessible Parking Spots,2025-03-01,140112
Accessible Parking Spots,2025-04-01,137132
Accessible Parking Spots,2025-05-01,156328
Accessible Parking Spots,2025-06-01,102428
Accessible Parking Spots,2025-07-01,29599
Accessible Parking Spots,2025-08-01,31059
Accessible Parking Spots,2025-09-01,36659
Accessible Parking Spots,2025-10-01,18950
Active Travelways,2018-10-01,425
Active Travelways,2018-11-01,23440
Active Travelways,2018-12-01,19673
Active Travelways,2019-01-01,27745
Active Travelways,2019-02-01,22483
Active Travelways,2019-03-01,25941
Active Travelways,2019-04-01,32609
Active Travelways,2019-05-01,35824
Active Travelways,2019-06-01,30663
Active Travelways,2019-07-01,32241
Active Travelways,2019-08-01,31627
Active Travelways,2019-09-01,50163
Active Travelways,2019-10-01,46370
Active Travelways,2019-11-01,31542
Active Travelways,2019-12-01,26704
Active Travelways,2020-01-01,41661
Active Travelways,2020-02-01,35287
Active Travelways,2020-03-01,42051
Active Travelways,2020-04-01,20563
Active Travelways,2020-06-01,8757
Active Travelways,2020-07-01,32427
Active Travelways,2020-08-01,33113
Active Travelways,2020-09-01,38420
Active Travelways,2020-10-01,37842
Active Travelways,2020-11-01,46239
Active Travelways,2020-12-01,62785
Active Travelways,2021-01-01,33623
Active Travelways,2021-02-01,42562
Active Travelways,2021-03-01,38836
Active Travelways,2021-04-01,31751
Active Travelways,2021-05-01,36413
Active Travelways,2021-06-01,30164
Active Travelways,2021-07-01,29240
Active Travelways,2021-08-01,30476
Active Travelways,2021-09-01,37372
Active Travelways,2021-10-01,47345
Active Travelways,2021-11-01,45954
Active Travelways,2021-12-01,72432
Active Travelways,2022-01-01,47668
Active Travelways,2022-02-01,65523
Active Travelways,2022-03-01,62548
Active Travelways,2022-04-01,45354
Active Travelways,2022-05-01,59739
Active Travelways,2022-06-01,49994
Active Travelways,2022-07-01,60597
Active Travelways,2022-08-01,68051
Active Travelways,2022-09-01,51093
Active Travelways,2022-10-01,44406
Active Travelways,2022-11-01,11380
Active Travelways,2022-12-01,1386
Active Travelways,2023-01-01,4121
Active Travelways,2023-02-01,1678
Active Travelways,2023-03-01,36685
Active Travelways,2023-04-01,20506
Active Travelways,2023-05-01,55795
Active Travelways,2023-06-01,90770
Active Travelways,2023-07-01,114227
Active Travelways,2023-08-01,99643
Active Travelways,2023-09-01,163636
Active Travelways,2023-10-01,129628
Active Travelways,2023-11-01,47216
Active Travelways,2023-12-01,41657
Active Travelways,2024-01-01,64823
Active Travelways,2024-02-01,79336
Active Travelways,2024-03-01,40271
Active Travelways,2024-04-01,79432
Active Travelways,2024-05-01,65665
Active Travelways,2024-06-01,55320
Active Travelways,2024-07-01,48768
Active Travelways,2024-08-01,54441
Active Travelways,2024-09-01,57858
Active Travelways,2024-10-01,590492
Active Travelways,2024-11-01,345024
Active Travelways,2024-12-01,277508
Active Travelways,2025-01-01,311908
Active Travelways,2025-02-01,285404
Active Travelways,2025-03-01,264992
Active Travelways,2025-04-01,235312
Active Travelways,2025-05-01,283984
Active Travelways,2025-06-01,181256
Active Travelways,2025-07-01,45858
Active Travelways,2025-08-01,98183
Active Travelways,2025-09-01,63460
Active Travelways,2025-10-01,27774
Active and Proposed Heritage Conservation Districts,2019-11-01,2183
Active and Proposed Heritage Conservation Districts,2019-12-01,11872
Active and Proposed Heritage Conservation Districts,2020-01-01,11634
Active and Proposed Heritage Conservation Districts,2020-02-01,12115
Active and Proposed Heritage Conservation Districts,2020-03-01,9289
Active and Proposed Heritage Conservation Districts,2020-04-01,6439
Active and Proposed Heritage Conservation Districts,2020-06-01,2941
Active and Proposed Heritage Conservation Districts,2020-07-01,11710
Active and Proposed Heritage Conservation Districts,2020-08-01,12750
Active and Proposed Heritage Conservation Districts,2020-09-01,12522
Active and Proposed Heritage Conservation Districts,2020-10-01,11940
Active and Proposed Heritage Conservation Districts,2020-11-01,19552
Active and Proposed Heritage Conservation Districts,2020-12-01,16258
Active and Proposed Heritage Conservation Districts,2021-01-01,10443
Active and Proposed Heritage Conservation Districts,2021-02-01,8913
Active and Proposed Heritage Conservation Districts,2021-03-01,13094
Active and Proposed Heritage Conservation Districts,2021-04-01,13971
Active and Proposed Heritage Conservation Districts,2021-05-01,15202
Active and Proposed Heritage Conservation Districts,2021-06-01,13402
Active and Proposed Heritage Conservation Districts,2021-07-01,13854
Active and Proposed Heritage Conservation Districts,2021-08-01,12494
Active and Proposed Heritage Conservation Districts,2021-09-01,22365
Active and Proposed Heritage Conservation Districts,2021-10-01,28430
Active and Proposed Heritage Conservation Districts,2021-11-01,28370
Active and Proposed Heritage Conservation Districts,2021-12-01,90087
Active and Proposed Heritage Conservation Districts,2022-01-01,105136
Active and Proposed Heritage Conservation Districts,2022-02-01,100742
Active and Proposed Heritage Conservation Districts,2022-03-01,155026
Active and Proposed Heritage Conservation Districts,2022-04-01,133465
Active and Proposed Heritage Conservation Districts,2022-05-01,124131
Active and Proposed Heritage Conservation Districts,2022-06-01,107736
