dataset,total_usage,first_month,last_month,usage_rank
Zoning Boundaries,91508850,2014-09-01,2025-10-01,1
Street Centrelines,74719864,2014-09-01,2025-10-01,2
Civic Addresses,44444508,2014-09-01,2025-10-01,3
Polling Districts,24918350,2014-09-01,2025-10-01,4
Community Boundaries,19374225,2014-07-01,2025-10-01,5
PPL&C Building Permits Geolocated,14538697,2023-06-01,2025-10-01,6
Bus Routes,11010867,2014-09-01,2020-06-01,7
Ice Routes,9689200,2017-06-01,2025-10-01,8
Street Name Routes,9432220,2018-07-01,2025-10-01,9
HRM Parks,7334536,2017-02-01,2025-10-01,10
Active Travelways,6243133,2018-10-01,2025-10-01,11
Crime,6220883,2014-07-01,2025-10-01,12
Active and Proposed Heritage Conservation Districts,5958706,2019-11-01,2025-10-01,13
Heritage Properties,5763143,2020-10-01,2025-10-01,14
NSPW HRM Service Exchange Boundary 2022,5539584,2022-06-01,2025-10-01,15
Bus Stops,4837932,2017-02-01,2025-10-01,16
Transit Bus Routes,4604354,2020-06-01,2025-10-01,17
RC Special Area Boundary,4217187,2019-11-01,2025-10-01,18
Private Road Area Rates,4054809,2017-11-01,2025-10-01,19
RC Shadow Impact Assessment Areas,3984205,2019-11-01,2025-10-01,20
Transit Area Rates,3915587,2014-10-01,2025-10-01,21
BID Area Rates,3902976,2014-09-01,2025-10-01,22
Community Plan Generalized Future Land Use,3890640,2019-03-01,2025-10-01,23
Fire Protection Area Rates,3806793,2014-09-01,2025-10-01,24
Community Facilities and Services Area Rates,3758176,2017-11-01,2025-10-01,25
Transportation Area Rates,3751976,2014-10-01,2025-10-01,26
By-Law Areas,3570710,2014-09-01,2025-10-01,27
RC Minimum Front and Flanking Yards,3486182,2019-11-01,2025-10-01,28
Permit Parking Zones,3485397,2020-11-01,2025-10-01,29
HRM Public Washrooms,3410993,2020-08-01,2025-10-01,30
Accessible Parking Spots,3259024,2019-11-01,2025-10-01,31
Parking Pay Zones,3180668,2020-11-01,2025-10-01,32
Building Polygons,2957555,2022-09-01,2025-10-01,33
Bike Infrastructure and Suggested Routes,2948198,2019-05-01,2025-10-01,34
