month_start,year,total_usage,distinct_datasets
2014-07-01,2014,2554,4
2014-08-01,2014,156,3
2014-09-01,2014,14146,15
2014-10-01,2014,32231,19
2014-11-01,2014,32078,19
2014-12-01,2014,28456,19
2015-01-01,2015,70215,19
2015-02-01,2015,55149,19
2015-03-01,2015,53157,19
2015-04-01,2015,50295,19
2015-05-01,2015,39900,19
2015-06-01,2015,28066,19
2015-07-01,2015,29234,20
2015-08-01,2015,26723,20
2015-09-01,2015,37075,20
2015-10-01,2015,34816,20
2015-11-01,2015,46670,20
2015-12-01,2015,16416,20
2016-01-01,2016,28604,21
2016-02-01,2016,41768,21
2016-03-01,2016,34686,21
2016-04-01,2016,23807,21
2016-05-01,2016,38567,21
2016-06-01,2016,25350,21
2016-07-01,2016,30478,21
2016-08-01,2016,28786,21
2016-09-01,2016,32601,21
2016-10-01,2016,27756,25
2016-11-01,2016,48650,23
2016-12-01,2016,24701,23
2017-01-01,2017,82388,24
2017-02-01,2017,60307,30
2017-03-01,2017,109087,30
2017-04-01,2017,90517,30
2017-05-01,2017,119659,30
2017-06-01,2017,124851,33
2017-07-01,2017,85040,33
2017-08-01,2017,112281,33
2017-09-01,2017,117345,33
2017-10-01,2017,202490,33
2017-11-01,2017,1248851,43
2017-12-01,2017,1913694,43
2018-01-01,2018,2322738,43
2018-02-01,2018,1721025,48
2018-03-01,2018,2051928,49
2018-04-01,2018,1945100,49
2018-05-01,2018,2711441,49
2018-06-01,2018,2799639,49
2018-07-01,2018,2682067,52
2018-08-01,2018,2894055,52
2018-09-01,2018,1983368,52
2018-10-01,2018,2634044,58
2018-11-01,2018,1760803,58
2018-12-01,2018,1687789,58
2019-01-01,2019,2434692,61
2019-02-01,2019,1454982,61
2019-03-01,2019,1695865,70
2019-04-01,2019,2130986,70
2019-05-01,2019,2203284,74
2019-06-01,2019,2176476,74
2019-07-01,2019,2473218,74
2019-08-01,2019,2294942,74
2019-09-01,2019,2577816,74
2019-10-01,2019,2462241,74
2019-11-01,2019,2390984,90
2019-12-01,2019,2287614,90
2020-01-01,2020,2822440,90
2020-02-01,2020,2698321,90
2020-03-01,2020,1995261,90
2020-04-01,2020,1814908,90
2020-05-01,2020,1255670,36
2020-06-01,2020,1232740,93
2020-07-01,2020,2439417,92
2020-08-01,2020,2580213,94
2020-09-01,2020,2908111,93
2020-10-01,2020,2784276,104
2020-11-01,2020,3320835,109
2020-12-01,2020,3128349,109
2021-01-01,2021,1819084,109
2021-02-01,2021,2147996,109
2021-03-01,2021,2224282,114
2021-04-01,2021,2302885,115
2021-05-01,2021,2595971,115
2021-06-01,2021,2217360,115
2021-07-01,2021,2113562,122
2021-08-01,2021,2065125,126
2021-09-01,2021,3003750,129
2021-10-01,2021,4344362,129
2021-11-01,2021,4114923,142
2021-12-01,2021,5267022,142
2022-01-01,2022,5387990,149
2022-02-01,2022,5572370,152
2022-03-01,2022,6713742,156
2022-04-01,2022,5720757,156
2022-05-01,2022,6293723,156
2022-06-01,2022,5661960,165
2022-07-01,2022,5066082,165
2022-08-01,2022,5218526,165
2022-09-01,2022,3371095,171
2022-10-01,2022,3340619,171
2022-11-01,2022,888069,171
2022-12-01,2022,132420,176
2023-01-01,2023,201906,176
2023-02-01,2023,157970,177
2023-03-01,2023,2868305,177
2023-04-01,2023,2101308,177
2023-05-01,2023,4678765,177
2023-06-01,2023,6413134,188
2023-07-01,2023,7889210,188
2023-08-01,2023,7561326,188
2023-09-01,2023,8422708,195
2023-10-01,2023,7734869,195
2023-11-01,2023,4598620,200
2023-12-01,2023,3625416,200
2024-01-01,2024,7077159,200
2024-02-01,2024,6504396,208
2024-03-01,2024,4906134,208
2024-04-01,2024,6269764,211
2024-05-01,2024,6335172,212
2024-06-01,2024,5121996,212
2024-07-01,2024,4041571,219
2024-08-01,2024,5166782,219
2024-09-01,2024,5699306,220
2024-10-01,2024,61799804,223
2024-11-01,2024,21783844,222
2024-12-01,2024,18842596,221
2025-01-01,2025,25774116,221
2025-02-01,2025,27700096,221
2025-03-01,2025,27372180,221
2025-04-01,2025,25728644,221
2025-05-01,2025,26782348,222
2025-06-01,2025,18341356,222
2025-07-01,2025,4583157,232
2025-08-01,2025,5008636,232
2025-09-01,2025,5607965,232
2025-10-01,2025,2758781,232
