evcsid,owner,chartype,connectype,power_kw,location,access,install_year,quantity,lat,lon
EVCS89,HRM,DCFC,CCSCHADEMO,175.0,"Canada Games Centre 26 Thomas Raddall Dr, Halifax, NS B3S 0E2",PUBLIC,2024,2,44.658359,-63.663781
EVCS95,HRM,DCFC,CCSNACS,175.0,"JD Shatford Memorial Public Library 10353 St Margarets Bay Rd, Hubbards, NS B0J 1T0",PUBLIC,2024,2,44.639184,-64.061737
EVCS77,HRM,L2,J1772,6.6,"Kiwanis Grahams Grove Park, 45 Grahams Grove, Dartmouth, NS B2Y 1X6",PUBLIC,2024,1,44.680961,-63.550469
EVCS78,HRM,L2,J1772,6.6,"Kiwanis Grahams Grove Park, 45 Grahams Grove, Dartmouth, NS B2Y 1X6",PUBLIC,2024,1,44.68102,-63.550728
EVCS90,HRM,L2,J1772,6.6,"Canada Games Centre 26 Thomas Raddall Dr, Halifax, NS B3S 0E2",PUBLIC,2024,1,44.658379,-63.663804
EVCS91,HRM,L2,J1772,6.6,"Canada Games Centre 26 Thomas Raddall Dr, Halifax, NS B3S 0E2",PUBLIC,2024,1,44.658394,-63.663829
EVCS92,HRM,L2,J1772,6.6,"Canada Games Centre 26 Thomas Raddall Dr, Halifax, NS B3S 0E2",PUBLIC,2024,1,44.658409,-63.663854
EVCS93,HRM,L2,J1772,6.6,"Canada Games Centre 26 Thomas Raddall Dr, Halifax, NS B3S 0E2",PUBLIC,2024,1,44.658428,-63.663878
EVCS96,HRM,L2,J1772,6.6,"Bedford Park and Ride 120 Innovation Dr, Bedford, NS B4B 0V1",PUBLIC,2024,1,44.722669,-63.69755
EVCS97,HRM,L2,J1772,6.6,"Bedford Park and Ride 120 Innovation Dr, Bedford, NS B4B 0V1",PUBLIC,2024,1,44.722655,-63.697554
EVCS106,HRM,DCFC,CCSCHADEMO,175.0,"Cole Harbour Place 51 Forest Hills Pkwy, Dartmouth, NS B2W 6C6",PUBLIC,2025,2,44.683217,-63.49075
EVCS111,HRM,DCFC,CCSCHADEMO,175.0,"RBC Centre 259 Commodore Dr Room 102, Dartmouth, NS B3B 0M1",PUBLIC,2025,2,44.702288,-63.576709
EVCS116,HRM,DCFC,CCSCHADEMO,175.0,"Armdale Rotary, 44.64216255335269, -63.62175096005712",PUBLIC,2025,2,44.64213,-63.621757
EVCS131,HRM,DCFC,CCSCHADEMO,175.0,"St. Margaret’s Centre 12 Westwood Blvd, Upper Tantallon, NS B4Z 1H3",PUBLIC,2025,1,44.705961,-63.857715
EVCS98,HRM,DCFC,CCSCHADEMO,175.0,"Musquodoboit Harbour Public Library 7900 Nova Scotia Trunk 7, Musquodoboit Harbour, NS B0J 2L0",PUBLIC,2025,2,44.786265,-63.148289
EVCS104,HRM,L2,J1772,6.6,"150 Dingle Rd, Halifax, NS B3P 1B2",PUBLIC,2025,1,44.62941,-63.597374
EVCS105,HRM,L2,J1772,6.6,"150 Dingle Rd, Halifax, NS B3P 1B2",PUBLIC,2025,1,44.6294,-63.59736
EVCS107,HRM,L2,J1772,6.6,"Cole Harbour Place 51 Forest Hills Pkwy, Dartmouth, NS B2W 6C6",PUBLIC,2025,1,44.68324,-63.490746
EVCS108,HRM,L2,J1772,6.6,"Cole Harbour Place 51 Forest Hills Pkwy, Dartmouth, NS B2W 6C6",PUBLIC,2025,1,44.683264,-63.490745
EVCS109,HRM,L2,J1772,6.6,"Cole Harbour Place 51 Forest Hills Pkwy, Dartmouth, NS B2W 6C6",PUBLIC,2025,1,44.683287,-63.490742
EVCS110,HRM,L2,J1772,6.6,"Cole Harbour Place 51 Forest Hills Pkwy, Dartmouth, NS B2W 6C6",PUBLIC,2025,1,44.683312,-63.490739
EVCS112,HRM,L2,J1772,6.6,"Armdale Rotary, 44.64216255335269, -63.62175096005712",PUBLIC,2025,1,44.642209,-63.621677
EVCS113,HRM,L2,J1772,6.6,"Armdale Rotary, 44.64216255335269, -63.62175096005712",PUBLIC,2025,1,44.642191,-63.621695
EVCS114,HRM,L2,J1772,6.6,"Armdale Rotary, 44.64216255335269, -63.62175096005712",PUBLIC,2025,1,44.642172,-63.621711
EVCS115,HRM,L2,J1772,6.6,"Armdale Rotary, 44.64216255335269, -63.62175096005712",PUBLIC,2025,1,44.642151,-63.621737
EVCS127,HRM,L2,J1772,6.6,"St. Margaret’s Centre 12 Westwood Blvd, Upper Tantallon, NS B4Z 1H3",PUBLIC,2025,1,44.705996,-63.857589
EVCS128,HRM,L2,J1772,6.6,"St. Margaret’s Centre 12 Westwood Blvd, Upper Tantallon, NS B4Z 1H3",PUBLIC,2025,1,44.705988,-63.857618
EVCS129,HRM,L2,J1772,6.6,"St. Margaret’s Centre 12 Westwood Blvd, Upper Tantallon, NS B4Z 1H3",PUBLIC,2025,1,44.705979,-63.85765
EVCS130,HRM,L2,J1772,6.6,"St. Margaret’s Centre 12 Westwood Blvd, Upper Tantallon, NS B4Z 1H3",PUBLIC,2025,1,44.70597,-63.857682
EVCS152,HRM,L2,J1772,7.0,"Point Pleasant Park, 5530 Point Pleasant Dr, Halifax, NS B3H 1B4",PUBLIC,2026,1,44.627695,-63.566425
EVCS153,HRM,L2,J1772,7.0,"Point Pleasant Park, 5530 Point Pleasant Dr, Halifax, NS B3H 1B4",PUBLIC,2026,1,44.627711,-63.566453
EVCS154,HRM,L2,J1772,7.0,"Point Pleasant Park, 5530 Point Pleasant Dr, Halifax, NS B3H 1B4",PUBLIC,2026,1,44.627725,-63.566482
EVCS155,HRM,L2,J1772,7.0,"Point Pleasant Park, 5530 Point Pleasant Dr, Halifax, NS B3H 1B4",PUBLIC,2026,1,44.62774,-63.566511
