name,capacity,routes,lat,lon
Alderney Ferry Terminal,20,"5, 6A/B/C, 53, 54, 55, 62, 158, 159, 161, 165, 168A/B",44.664549,-63.571094
Bridge Terminal,100,"1, 3, 5, 6A/B/C, 10, 39, 51A/B, 53, 54, 55, 56, 62, 87, 158, 159, 161, 165, 168A/B, 320, 370",44.669999,-63.576311
Canada Games Centre (Lacewood Terminal),175,"2, 3, 4, 21, 28, 30A/B, 39, 135, 136, 137, 138, 433",44.658558,-63.662719
Cobequid Terminal,144,"8, 82, 84, 87, 88, 93, 182",44.754801,-63.663579
Downsview Terminal,40,"8, 82, 84, 85, 86, 87, 182, 185, 186",44.771538,-63.693247
Fall River,90,320,44.803088,-63.59782
Hubley Centre,185,"330, 433",44.702394,-63.859044
Maybank Field,50,"10, 56, 72",44.685508,-63.567925
Mumford Terminal,30,"1, 2, 3, 9A/B, 22, 24, 25, 26, 28, 29, 91, 415",44.646963,-63.622094
Porters Lake,132,"370, 401",44.734783,-63.286034
Portland Hills Terminal,230,"5, 58, 59, 61, 63, 65, 68, 72, 158, 159, 161, 165, 168A/B, 401",44.6699,-63.50618
Sackville Terminal and Wheaton's Lot,385,"8, 82, 83, 84, 85, 86, 87, 88, 182, 183, 185, 186",44.768106,-63.698573
Sheldrake Lake Park and Ride,48,330,44.672815,-63.783101
West Bedford,300,"90, 91, 194, 433",44.722823,-63.697249
Woodside Ferry Terminal,515,"6A/B/C, 67",44.649712,-63.547436
