busstopid,stopnumber,location,accessible,status,has_shelter,lat,lon
BS100,7287,Nappan Dr After Nictaux Dr (7287),1,INS,0,44.784816,-63.677057
BS1000,7117,North Preston Rd Before Johnson Rd (7117),0,INS,0,44.738167,-63.464047
BS1001,7118,North Preston Rd After Ernie Ln (7118),0,INS,0,44.738319,-63.464199
BS1002,6012,Akerley Blvd Before Morris Dr (6012),1,INS,1,44.705784,-63.609736
BS1003,6013,Akerley Blvd After Mosher Dr (6013),1,INS,0,44.707273,-63.608138
BS1005,6015,Akerley Blvd Before Civic 30 (6015),1,INS,0,44.708989,-63.606204
BS1006,6016,Akerley Blvd Before Burnside Dr (6016),1,INS,0,44.713261,-63.594736
BS1007,7124,Larry Uteck Blvd At Civic 54 (7124),1,INS,0,44.6986,-63.664213
BS1008,7125,Larry Uteck Blvd Before Bedros Ln (7125),1,INS,0,44.698458,-63.665299
BS1009,7126,Leaman Dr After Ambercrest Pl (7126),1,INS,1,44.686429,-63.580092
BS101,7288,Nappan Dr Before Newcombe Dr (7288),1,INS,0,44.782282,-63.674997
BS1010,7127,Leaman Dr Before Albro Lake Rd (7127),1,INS,0,44.685218,-63.578237
BS1011,7130,Leeds St Before Novalea Dr (7130),1,INS,0,44.670376,-63.61068
BS1012,7131,Leeds St Before Rosemeade Ave (7131),1,INS,0,44.668251,-63.613755
BS1013,7133,Leeds St Before Rosemeade Ave (7133),1,INS,1,44.668549,-63.613441
BS1014,7134,Leiblin Dr At 2nd Carnation Cr (7134),1,INS,0,44.604165,-63.626102
BS1015,7135,Leiblin Dr At 2nd Elmdale Cr (7135),1,INS,0,44.601988,-63.628789
BS1016,7136,Leiblin Dr Before Guildwood Cr (7136),1,INS,0,44.598089,-63.633424
BS1017,7137,Leiblin Dr After Avon Cr (7137),1,INS,0,44.606317,-63.62363
BS1018,7138,Leiblin Dr Before Ivylea Cr (7138),1,INS,1,44.595814,-63.636043
BS1019,7139,Leiblin Dr Opposite Avon Cr (7139),0,INS,0,44.606107,-63.623955
BS102,7289,Nappan Dr Before Nictaux Dr (7289),0,INS,0,44.784761,-63.676933
BS1020,7140,Leiblin Dr After Carnation Cr (7140),0,INS,0,44.60354,-63.627104
BS1021,7141,Leiblin Dr After Elmdale Cr (7141),0,INS,0,44.601864,-63.629009
BS1022,7142,Leiblin Dr Opposite Guildwood Cr (7142),0,INS,0,44.598712,-63.632767
BS1023,7143,Leiblin Dr Before Juniper Cr (7143),0,INS,0,44.595375,-63.636624
BS1024,7144,Lemarchant St Before University Ave (7144),1,INS,1,44.636745,-63.58978
BS1025,7146,Lexington Ave At Walnut Hall (7146),1,INS,0,44.701585,-63.537479
BS1026,6007,Akerley Blvd After Isnor Dr (6007),1,INS,0,44.709997,-63.604871
BS1028,8588,Woodlawn Rd After Guysborough Ave (8588),1,INS,0,44.677014,-63.528085
BS1029,8589,Woodlawn Rd After Portland St (8589),1,INS,1,44.671722,-63.531819
BS1032,8440,Waverley Rd After Lethbridge Ave (8440),1,INS,0,44.70509,-63.549297
BS1033,8441,Waverley Rd Before Montebello Dr (8441),1,INS,1,44.698697,-63.547677
BS1034,8442,Waverley Rd After Micmac Dr (8442),1,INS,0,44.693965,-63.54681
BS1035,6067,Bluewater Rd After Larry Uteck Blvd (6067),0,INS,0,44.715862,-63.715962
BS1036,6168,Bluewater Rd Opposite Civic 223 (6168),0,INS,0,44.719701,-63.71436
BS1037,6218,Bluewater Rd After Command Ct (6218),0,INS,0,44.721839,-63.711423
BS1038,6533,Bluewater Rd After Topsail Ct (6533),0,INS,0,44.724714,-63.708292
BS1039,6622,Bluewater Rd Before Hammonds Plains Rd (6622),0,INS,0,44.726563,-63.707451
BS1040,9056,Hammonds Plains Rd After Innovation Dr (9056),0,INS,0,44.725672,-63.693103
BS1041,6840,Bluewater Rd After Hammonds Plains Rd (6840),0,INS,0,44.725969,-63.707576
BS1042,7212,Bluewater Rd After Topsail Ct (7212),0,INS,0,44.723117,-63.709656
BS1043,7216,Bluewater Rd After Command Ct (7216),0,INS,0,44.721659,-63.712023
BS1044,8056,Bluewater Rd Before Larry Uteck Blvd (8056),0,INS,0,44.716347,-63.71612
BS1045,9057,Hammonds Plains Rd Before Killarney Dr (9057),1,INS,0,44.725601,-63.692495
BS1048,9053,Windmill Rd Before Fernhill Dr (9053),1,INS,0,44.681944,-63.596602
BS1049,7026,Larry Uteck Blvd After Bluewater Rd (7026),1,INS,0,44.714127,-63.716026
BS105,7292,Sackville Dr After Beaconsfield Way (7292),1,INS,0,44.78958,-63.714895
BS1050,7014,Larry Uteck Blvd Before Bluewater Rd (7014),1,INS,0,44.71408,-63.715764
BS107,7294,Sackville Dr At Civic 745 (7294),1,INS,0,44.773019,-63.692096
BS1070,8856,Wright Ave After Wilkinson Ave (8856),1,INS,0,44.710328,-63.570685
BS1071,8857,Wright Ave After Burbridge Ave (8857),1,INS,0,44.710211,-63.574582
BS1072,8858,Wright Ave After John Savage Ave (8858),1,INS,0,44.708997,-63.578839
BS1073,8859,Wright Ave After Williams Ave (8859),1,INS,1,44.708278,-63.584174
BS1074,8867,Wright Ave After Joseph Zatzman Dr (8867),0,INS,0,44.705882,-63.593288
BS1075,8860,Wright Ave Before Raddall Ave (8860),1,INS,0,44.705736,-63.593397
BS1076,8861,Wright Ave After Venture Run (8861),1,INS,0,44.707013,-63.589685
BS1077,8862,Wright Ave At Civic 340 (8862),1,INS,0,44.707969,-63.585042
BS1078,8863,Wright Ave After Mellor Ave (8863),1,INS,0,44.708791,-63.579403
BS1079,8864,Wright Ave Before Burbridge Ave (8864),1,INS,0,44.710011,-63.574477
BS108,7295,Sackville Dr After Beaver Bank Rd (7295),1,INS,0,44.776997,-63.696543
BS1080,8865,Wright Ave Before Wilkinson Ave (8865),1,INS,0,44.710072,-63.570077
BS1081,8894,Shubie Dr Before Kiltearn Row (8894),1,INS,0,44.70704,-63.564858
BS1084,6008,Akerley Blvd Before Burnside Dr (6008),0,INS,0,44.714927,-63.590352
BS1085,6009,Akerley Blvd Before Fielding Ave (6009),1,INS,0,44.707728,-63.607483
BS1086,6010,Akerley Blvd Before Isnor Dr (6010),1,INS,0,44.710176,-63.603843
BS1087,6011,Akerley Blvd Before Joseph Zatzman Dr (6011),1,INS,0,44.711194,-63.600933
BS1088,8273,Shore Rd Before Romkey Dr (8273),1,INS,1,44.602631,-63.471546
BS1089,7383,Oathill Cr Before Peddars Way (7383),0,INS,0,44.673386,-63.546059
BS109,7296,Sackville Dr After Hillcrest Ave (7296),1,INS,0,44.757535,-63.66793
BS1090,8274,Shore Rd Before Himmelman Dr (8274),1,INS,0,44.601268,-63.469156
BS1091,8354,Stokil Dr After Grennan Dr (8354),1,INS,0,44.787713,-63.68783
BS1092,7384,Oathill Cr Before Colburn Walk (7384),0,INS,0,44.673533,-63.545808
BS1093,8355,Stokil Dr After Sampson Dr (8355),1,INS,0,44.785697,-63.685789
BS1094,8356,Stokil Dr After Grennan Dr (8356),1,INS,0,44.788185,-63.688138
BS1095,8357,Stokil Dr Before Beaver Bank Rd (8357),1,INS,0,44.789558,-63.690089
BS1096,8358,Stokil Dr Before Smokey Dr (8358),1,INS,0,44.786115,-63.686426
BS1097,7385,Ochterloney St Before Pine St (7385),1,INS,0,44.669513,-63.565111
BS1098,7386,Ochterloney St After Irishtown Rd (7386),1,INS,1,44.669265,-63.565266
BS11,8909,Lakeview Shopping Centre (8909),1,INS,0,44.744135,-63.283219
BS110,7297,Sackville Dr Before Beaver Bank Rd (7297),1,INS,0,44.775657,-63.694954
BS1100,7388,Ochterloney St Before King St (7388),1,INS,0,44.666717,-63.568367
BS1101,7389,Ochterloney St Before Wentworth St (7389),1,INS,0,44.667567,-63.56735
BS1102,7390,Old Sambro Rd After Sussex St (7390),1,INS,1,44.610471,-63.623927
BS1103,7391,Old Sambro Rd Before Civic 120 (7391),1,INS,0,44.613912,-63.622777
BS1104,7392,Old Sambro Rd At Civic 143 (7392),0,INS,0,44.612691,-63.62406
BS1105,7393,Old Sambro Rd Before Sussex St (7393),0,INS,0,44.610132,-63.624084
BS1107,7395,Osborne St After Kelly St (7395),1,INS,0,44.631745,-63.627889
BS1108,7396,Osborne St Before Sunset Ave (7396),1,INS,1,44.63159,-63.62783
BS1109,7397,Osborne St Before Marriott St (7397),1,INS,0,44.633313,-63.626022
BS111,8924,Hwy 7 Before O'Hearn Ln (8924),0,INS,0,44.721243,-63.408544
