source_layer,device_type,install_year,location,lat,lon
Speed Display Sign,Speed Display Sign,2021,1196 Riverside Dr,44.774491,-63.685253
Speed Display Sign,Speed Display Sign,2021,1196 Riverside Drive,44.774491,-63.685253
Speed Display Sign,Speed Display Sign,2021,1271 Riverside Dr,44.776174,-63.683723
Speed Display Sign,Speed Display Sign,2021,1271 Riverside Drive,44.776174,-63.683723
Speed Display Sign,Speed Display Sign,2021,1357 St Margarets Bay Rd,44.638241,-63.69234
Speed Display Sign,Speed Display Sign,2021,151 Starboard Dr,44.695905,-63.671117
Speed Display Sign,Speed Display Sign,2021,211 Hammonds Plains Rd,44.720369,-63.687466
Speed Display Sign,Speed Display Sign,2021,2455 Waverley Rd,44.787129,-63.599841
Speed Display Sign,Speed Display Sign,2021,319 Waverley Rd,44.70666,-63.549538
Speed Display Sign,Speed Display Sign,2021,345 Pleasant St,44.651226,-63.546978
Speed Display Sign,Speed Display Sign,2021,37 Montebello Dr,44.697692,-63.542681
Speed Display Sign,Speed Display Sign,2021,37 Montebello Drive,44.697692,-63.542681
Speed Display Sign,Speed Display Sign,2021,37 Pockwock Rd,44.736935,-63.794359
Speed Display Sign,Speed Display Sign,2021,7000 Quinpool Rd,44.640317,-63.613314
Speed Display Sign,Speed Display Sign,2021,72 Lacewood Dr,44.662279,-63.641441
Speed Display Sign,Speed Display Sign,2021,98B Woodlawn Rd,44.674833,-63.528957
Speed Display Sign,Speed Display Sign,2021,Between 51 & 81 Parkland Dr,44.660636,-63.670088
Speed Display Sign,Speed Display Sign,2021,Dunbrack St north of 102,44.648726,-63.649123
Speed Display Sign,Speed Display Sign,2021,Intersection of Hwy 7 and Lorne,44.705059,-63.462661
Speed Display Sign,Speed Display Sign,2021,Shore Road at Oceanlea Drive,44.606121,-63.482365
Speed Display Sign,Speed Display Sign,2021,Shore Road at Oceanlea Drive,44.606121,-63.482365
Speed Display Sign,Speed Display Sign,2023,111 Dorothea Drive,44.677698,-63.514525
Speed Display Sign,Speed Display Sign,2023,28 Flamingo Drive,44.673453,-63.650697
Speed Display Sign,Speed Display Sign,2023,28 Flamingo Drive,44.673453,-63.650697
Speed Display Sign,Speed Display Sign,2023,"3170 St Margarets Bay Rd, Inbound",44.671091,-63.777271
Speed Display Sign,Speed Display Sign,2023,73 Bayview Road,44.667749,-63.643728
Speed Display Sign,Speed Display Sign,2023,73 Bayview Road,44.667749,-63.643728
Speed Display Sign,Speed Display Sign,2023,950 Dutch Settlement Rd,44.990293,-63.44195
Speed Display Sign,Speed Display Sign,2023,950 Dutch Settlement Road,44.990293,-63.44195
Speed Display Sign,Speed Display Sign,2023,999 Dutch Settlement Rd,44.992347,-63.439982
Speed Display Sign,Speed Display Sign,2023,999 Dutch Settlement Road,44.992347,-63.439982
Speed Display Sign,Speed Display Sign,2023,Hammonds Plains Road before Pockwock Road,44.735296,-63.797366
Speed Display Sign,Speed Display Sign,2023,Joseph Howe Drive before Armdale Roundabout,44.64463,-63.625719
Speed Display Sign,Speed Display Sign,2023,Leiblin Drive near Civic 110,44.599833,-63.631305
Speed Display Sign,Speed Display Sign,2023,Oxford Street before Coburg Road,44.637034,-63.596323
Speed Display Sign,Speed Display Sign,2023,"Prince Albert Road, Inbound",44.678379,-63.554957
Speed Display Sign,Speed Display Sign,2023,Robie Street south of South Street,44.635425,-63.584224
Speed Display Sign,Speed Display Sign,2023,"Washmill Lake Dr between Bently & Main, EB",44.649827,-63.656001
Speed Display Sign,Speed Display Sign,2023,Waverley Rd near civic 959 (inbound),44.736472,-63.551121
Speed Display Sign,Speed Display Sign,2025,1020 Montague Road,44.723065,-63.528399
Speed Display Sign,Speed Display Sign,2025,124 Montague Road,44.701674,-63.497374
Speed Display Sign,Speed Display Sign,2025,126 Beaver Bank Road,44.786137,-63.69216
Speed Display Sign,Speed Display Sign,2025,1303 Fall River Road,44.811536,-63.616666
Speed Display Sign,Speed Display Sign,2025,15 Briarwood Drive,44.612328,-63.486063
Speed Display Sign,Speed Display Sign,2025,1709 Cole Harbour Road,44.679436,-63.459743
Speed Display Sign,Speed Display Sign,2025,183 Crichton Avenue,44.680123,-63.563012
Speed Display Sign,Speed Display Sign,2025,19 Drysdale Road,44.607251,-63.612566
Speed Display Sign,Speed Display Sign,2025,192 Prince Albert Road,44.675379,-63.559141
Speed Display Sign,Speed Display Sign,2025,1945 Purcells Cove Road,44.623194,-63.597651
Speed Display Sign,Speed Display Sign,2025,240 Main Ave,44.653338,-63.648201
Speed Display Sign,Speed Display Sign,2025,2410 St Margarets Bay Road,44.658959,-63.738961
Speed Display Sign,Speed Display Sign,2025,2843 Joseph Howe Drive,44.644966,-63.626032
Speed Display Sign,Speed Display Sign,2025,315 Lucasville Road,44.772354,-63.717342
Speed Display Sign,Speed Display Sign,2025,3260 Barrington Street,44.667503,-63.598026
Speed Display Sign,Speed Display Sign,2025,3455 Highway 7,44.735854,-63.372568
Speed Display Sign,Speed Display Sign,2025,39 Maplewood Drive,44.655989,-63.737756
