section,category,feature_count,length_km,area_km2
street_by_serve_by,HRM,14,,563.5425
street_by_serve_by,FED,11,,24.2134
street_by_serve_by,PROV,6,,4109.5721
street_by_serve_by,HIAA,1,,1.4364
sidewalk_by_machine,Winter Service Zone 1,1,,157.7720
sidewalk_by_machine,Winter Service Zone 3,1,,142.8641
sidewalk_by_machine,Winter Service Zone 2,1,,128.8249
sidewalk_by_machine,Winter Service Zone 4,1,,76.3026
sidewalk_by_machine,HRM EAST Zone 2,1,,18.1686
sidewalk_by_machine,Sidewalk Zone 8,1,,9.3137
sidewalk_by_machine,Sidewalk Zone 7,1,,8.3170
sidewalk_by_machine,HRM EAST Zone 2 Route 4,1,,6.1047
sidewalk_by_machine,HRM EAST Zone 2 Route 2,1,,5.8504
sidewalk_by_machine,HRM EAST Zone 2 Route 3,1,,4.9473
sidewalk_by_machine,Sidewalk Zone 5,1,,4.7163
sidewalk_by_machine,Sidewalk Zone 6B,1,,3.9214
sidewalk_by_machine,Sidewalk Zone 6A,1,,3.3405
sidewalk_by_machine,HRM WEST Zone 1,1,,2.1637
sidewalk_by_machine,HRM EAST Zone 2 Route 1,1,,1.2824
sidewalk_by_machine,Parks Zone,1,,1.1103
sidewalk_by_machine,HRM WEST Zone 1 Route 2,1,,0.6769
sidewalk_by_machine,HRM WEST Zone 1 Route 1,1,,0.4864
sidewalk_by_machine,HRM WEST Zone 1 Route 3,1,,0.4488
sidewalk_by_machine,HRM WEST Zone 1 Route 4,1,,0.3600
sidewalk_by_machine,HRM WEST Zone 1 Route 6,1,,0.1418
sidewalk_by_machine,Sidewalk Zone 10,1,,0.0568
sidewalk_by_machine,HRM WEST Zone 1 Route 5,1,,0.0501
ice_by_priority,1,7131,1724.03,
ice_by_priority,2,5046,1249.82,
ice_by_priority,(unassigned),6559,4016.98,
