building_name,hrm_building_id,energy_type,unit_of_measure,consumption,cost,cost_per_unit
(FORMER) HRP SATELLITE OFFICE,BL198,Electricity,kWh (kilowatt-hours),94845.000,10336.38,0.1090
(Former) Beechville Lakeside Timberlea Recreation Centre,BL735,Electricity,kWh (kilowatt-hours),505760.000,69749.09,0.1379
(Former) Beechville Lakeside Timberlea Recreation Centre,BL735,Fuel Oil,L (Litres),59944.100,77268.56,1.2890
(Former) Bowles Arena,BL368,Electricity,kWh (kilowatt-hours),1301400.000,196872.42,0.1513
(Former) Bowles Arena,BL368,Fuel Oil,L (Litres),16881.400,11075.90,0.6561
(Former) Crichton Centre,BL570,Electricity,kWh (kilowatt-hours),226616.000,27257.94,0.1203
(Former) Crichton Centre,BL570,Fuel Oil,L (Litres),70077.300,53166.90,0.7587
(Former) Devonshire Arena,BL283,Electricity,kWh (kilowatt-hours),490800.000,74251.59,0.1513
(Former) Devonshire Arena,BL283,Fuel Oil,L (Litres),35129.200,23468.83,0.6681
(Former) Fire Station 63 - Sambro,BL103,Electricity,kWh (kilowatt-hours),183519.000,28140.88,0.1533
(Former) Fire Station 63 - Sambro,BL103,Fuel Oil,L (Litres),10613.700,8059.54,0.7594
(Former) HRM Fire - Science Park Drive,BL21681,Propane,L (Litres),117194.900,65813.42,0.5616
(Former) Metropolitan Avenue Park Washroom Facility,BL103527,Electricity,kWh (kilowatt-hours),31443.000,4625.35,0.1471
(Former) Spring Garden Road Public Library,BL205,Electricity,kWh (kilowatt-hours),512196.000,72154.67,0.1409
(Former) Spring Garden Road Public Library,BL205,Fuel Oil,L (Litres),174274.200,119847.99,0.6877
(Former) St Andrews Community Centre,BL152015,Electricity,kWh (kilowatt-hours),223809.000,32357.45,0.1446
(Former) St Andrews Community Centre,BL152015,Fuel Oil,L (Litres),32659.600,24683.61,0.7558
(Former) St Andrews Community Centre,BL152015,Natural Gas,GJ (Gigajoules),3802.980,73136.01,19.2312
(Former) The Commons Pavilion,BL275,Electricity,kWh (kilowatt-hours),202285.000,31215.36,0.1543
(Former) The Commons Pavilion,BL275,Fuel Oil,L (Litres),35962.200,46673.60,1.2979
Acadia Centre,BL820,Electricity,kWh (kilowatt-hours),3773645.000,462753.44,0.1226
Acadia Centre,BL820,Fuel Oil,L (Litres),57915.600,66482.70,1.1479
Acadia Centre,BL820,Propane,L (Litres),93160.800,59408.31,0.6377
Adventure Earth Centre,BL247,Electricity,kWh (kilowatt-hours),246621.000,39509.77,0.1602
Adventure Earth Centre,BL247,Fuel Oil,L (Litres),40791.900,30765.14,0.7542
Albro Lake Washroom Facility,BL86473,Electricity,kWh (kilowatt-hours),268784.000,40405.38,0.1503
Alderney Gate,BL448,Electricity,kWh (kilowatt-hours),22605308.000,2561518.07,0.1133
Alderney Gate,BL448,Natural Gas,GJ (Gigajoules),64230.540,1102564.61,17.1657
Alderney Landing,BL409,Electricity,kWh (kilowatt-hours),5489301.000,648156.68,0.1181
Alderney Landing,BL409,Fuel Oil,L (Litres),12210.500,8418.57,0.6895
Beaver Bank - Kinsac Community Centre,BL228,Electricity,kWh (kilowatt-hours),4367666.000,496244.89,0.1136
Bedford Lawn Bowling & Leisure Centre,BL602,Electricity,kWh (kilowatt-hours),148089.000,24226.60,0.1636
Bedford Lawn Bowling & Leisure Centre,BL602,Fuel Oil,L (Litres),35652.200,32628.22,0.9152
Bedford Lion's Club,BL684,Electricity,kWh (kilowatt-hours),21072.000,3647.23,0.1731
Bedford Lion's Club,BL684,Fuel Oil,L (Litres),73267.200,65627.34,0.8957
"Caledonia Rd Greenhouse 1 - 4, office, storage buildings and Header House",BL952,Electricity,kWh (kilowatt-hours),425611.000,66468.95,0.1562
"Caledonia Rd Greenhouse 1 - 4, office, storage buildings and Header House",BL952,Fuel Oil,L (Litres),27785.700,23103.16,0.8315
Canada Games Centre,BL917,Electricity,kWh (kilowatt-hours),37323078.000,4090339.23,0.1096
Canada Games Centre,BL917,Natural Gas,GJ (Gigajoules),41358.430,709828.03,17.1628
Captain William Spry Community Centre,BL296,Electricity,kWh (kilowatt-hours),7165196.000,842326.08,0.1176
Captain William Spry Community Centre,BL296,Fuel Oil,L (Litres),510672.200,365924.29,0.7166
Captain William Spry Community Centre,BL296,Natural Gas,GJ (Gigajoules),27658.460,455015.24,16.4512
Centennial Arena,BL431,Electricity,kWh (kilowatt-hours),8756466.000,1007937.31,0.1151
Centennial Arena,BL431,Natural Gas,GJ (Gigajoules),10230.050,190607.37,18.6321
Centennial Pool,BL814,Electricity,kWh (kilowatt-hours),7339853.000,842666.74,0.1148
Chocolate Lake Community Recreation Centre,BL414,Electricity,kWh (kilowatt-hours),884970.000,112521.01,0.1271
Chocolate Lake Community Recreation Centre,BL414,Fuel Oil,L (Litres),216786.300,202041.29,0.9320
Cole Harbour All-Weather Field Washroom & Storage,BL144202,Electricity,kWh (kilowatt-hours),511020.000,69394.41,0.1358
Cole Harbour Commons Washrooms,BL102428,Electricity,kWh (kilowatt-hours),62278.000,10167.46,0.1633
Cole Harbour Outdoor Pool & Tennis Court Complex,BL430,Electricity,kWh (kilowatt-hours),117710.000,11889.27,0.1010
Cole Harbour Place,BL89,Electricity,kWh (kilowatt-hours),32487539.000,3625002.63,0.1116
Cole Harbour Place,BL89,Natural Gas,GJ (Gigajoules),52153.300,849781.96,16.2939
DHE Fieldhouse,BL143888,Electricity,kWh (kilowatt-hours),1195664.000,198335.54,0.1659
Dartmouth Bridge Transit Terminal,BL78630,Electricity,kWh (kilowatt-hours),2174505.000,241437.25,0.1110
Dartmouth Bridge Transit Terminal,BL78630,Natural Gas,GJ (Gigajoules),3781.080,76215.88,20.1572
Dartmouth Ferry Terminal,BL773,Electricity,kWh (kilowatt-hours),2540415.000,283218.33,0.1115
Dartmouth North Community Centre,BL597,Electricity,kWh (kilowatt-hours),1170552.000,139314.79,0.1190
Dartmouth North Community Centre,BL597,Natural Gas,GJ (Gigajoules),3339.490,65417.45,19.5891
David P Mckinnon Building,BL838,Electricity,kWh (kilowatt-hours),13124751.000,1459242.71,0.1112
David P Mckinnon Building,BL838,Natural Gas,GJ (Gigajoules),40876.780,665714.08,16.2859
Dr Gerald J Lebrun Memorial Centre,BL501,Electricity,kWh (kilowatt-hours),7976542.000,910435.20,0.1141
Dr Gerald J Lebrun Memorial Centre,BL501,Fuel Oil,L (Litres),42805.600,42831.69,1.0006
Dr Gerald J Lebrun Memorial Centre,BL501,Propane,L (Litres),10214.200,6633.57,0.6494
East Dartmouth Community Centre,BL394,Electricity,kWh (kilowatt-hours),3196947.000,380147.12,0.1189
East Preston Recreation Centre,BL100,Electricity,kWh (kilowatt-hours),695084.000,111712.20,0.1607
East Preston Recreation Centre,BL100,Fuel Oil,L (Litres),70196.700,84008.15,1.1968
Eastern Passage Commons Washroom Facility,BL103516,Electricity,kWh (kilowatt-hours),32752.000,5318.81,0.1624
Eastern Shore Community Centre,BL474,Electricity,kWh (kilowatt-hours),43192.000,7030.25,0.1628
Emera Oval Pavilion,BL103507,Electricity,kWh (kilowatt-hours),9439006.000,1123763.33,0.1191
Emera Oval Pavilion,BL103507,Natural Gas,GJ (Gigajoules),3989.070,78574.27,19.6974
Employee Assistance Program Office,BL777,Electricity,kWh (kilowatt-hours),36669.000,6104.92,0.1665
Employee Assistance Program Office,BL777,Fuel Oil,L (Litres),39359.200,36286.25,0.9219
Eric Spicer Municipal Building,BL466,Electricity,kWh (kilowatt-hours),15844438.000,1773413.50,0.1119
Eric Spicer Municipal Building,BL466,Fuel Oil,L (Litres),58525.000,34456.00,0.5887
Eric Spicer Municipal Building,BL466,Natural Gas,GJ (Gigajoules),12536.780,239445.91,19.0995
Evergreen House,BL776,Electricity,kWh (kilowatt-hours),147967.000,24444.32,0.1652
Evergreen House,BL776,Fuel Oil,L (Litres),46885.400,42574.97,0.9081
Fairbanks Centre + Washroom,BL560,Electricity,kWh (kilowatt-hours),1653442.000,228607.99,0.1383
Fairview Cemetery Office,BL454,Fuel Oil,L (Litres),16420.100,16087.66,0.9798
Findlay Community Centre,BL569,Electricity,kWh (kilowatt-hours),580468.000,71969.41,0.1240
Findlay Community Centre,BL569,Natural Gas,GJ (Gigajoules),4368.850,86551.40,19.8110
Fire Station 02 - University Ave,BL263,Electricity,kWh (kilowatt-hours),505217.000,63806.86,0.1263
Fire Station 02 - University Ave,BL263,Fuel Oil,L (Litres),67233.000,79709.36,1.1856
Fire Station 03 - West St,BL124,Electricity,kWh (kilowatt-hours),1122034.000,134764.42,0.1201
Fire Station 03 - West St,BL124,Fuel Oil,L (Litres),90309.200,99660.23,1.1035
Fire Station 04 - Lady Hammond,BL663,Electricity,kWh (kilowatt-hours),626715.000,81928.21,0.1307
Fire Station 04 - Lady Hammond,BL663,Fuel Oil,L (Litres),68940.800,83341.66,1.2089
Fire Station 05 - Bayers Rd,BL757,Electricity,kWh (kilowatt-hours),498688.000,61694.08,0.1237
Fire Station 05 - Bayers Rd,BL757,Natural Gas,GJ (Gigajoules),3562.360,70561.70,19.8076
Fire Station 06 - Spryfield,BL687,Electricity,kWh (kilowatt-hours),345276.000,44216.79,0.1281
Fire Station 06 - Spryfield,BL687,Fuel Oil,L (Litres),55655.100,65556.94,1.1779
Fire Station 07 - Knightsridge Dr,BL488,Electricity,kWh (kilowatt-hours),1263037.000,151274.09,0.1198
Fire Station 07 - Knightsridge Dr,BL488,Natural Gas,GJ (Gigajoules),8172.880,157031.69,19.2138
Fire Station 08 - Bedford,BL279,Electricity,kWh (kilowatt-hours),1960914.000,223266.87,0.1139
Fire Station 08 - Bedford,BL279,Fuel Oil,L (Litres),112091.800,136526.36,1.2180
Fire Station 09 - Metropolitan,BL804,Electricity,kWh (kilowatt-hours),1901760.000,217859.60,0.1146
Fire Station 09 - Metropolitan,BL804,Fuel Oil,L (Litres),69222.600,84266.16,1.2173
Fire Station 10 - Millwood,BL629,Electricity,kWh (kilowatt-hours),663355.000,80502.64,0.1214
Fire Station 10 - Millwood,BL629,Propane,L (Litres),75033.800,44237.07,0.5896
Fire Station 11 - Patton Rd,BL795,Electricity,kWh (kilowatt-hours),281458.000,39815.74,0.1415
Fire Station 11 - Patton Rd,BL795,Fuel Oil,L (Litres),70583.900,73606.20,1.0428
Fire Station 12 - Highfield Park,BL567,Electricity,kWh (kilowatt-hours),1913462.000,219177.23,0.1145
Fire Station 12 - Highfield Park,BL567,Natural Gas,GJ (Gigajoules),8738.490,165939.91,18.9895
Fire Station 13 - King St,BL341,Electricity,kWh (kilowatt-hours),666216.000,81130.09,0.1218
Fire Station 13 - King St,BL341,Natural Gas,GJ (Gigajoules),3472.060,69343.12,19.9718
Fire Station 14 - Walker/Second,BL387,Electricity,kWh (kilowatt-hours),247084.000,37966.02,0.1537
Fire Station 14 - Walker/Second,BL387,Fuel Oil,L (Litres),43288.100,50396.56,1.1642
Fire Station 15 - Pleasant St,BL761,Electricity,kWh (kilowatt-hours),619978.000,74507.31,0.1202
Fire Station 15 - Pleasant St,BL761,Natural Gas,GJ (Gigajoules),2022.080,43413.43,21.4697
Fire Station 16 - Eastern Passage,BL530,Electricity,kWh (kilowatt-hours),1907329.000,222006.12,0.1164
Fire Station 17 - Cole Harbour,BL220,Electricity,kWh (kilowatt-hours),2249871.000,259458.38,0.1153
