facility,month_start,year,use_type,bookings,booked_hours
Arena,2025-01-01,2025,Other,1,24.0
Arena,2025-04-01,2025,Dry Floor,61,219.0
Arena,2025-04-01,2025,Ice,43,149.5
Arena,2025-04-01,2025,Other,25,463.0
Arena,2025-05-01,2025,Dry Floor,65,222.0
Arena,2025-05-01,2025,Ice,43,161.25
Arena,2025-05-01,2025,Other,18,348.0
Arena,2025-06-01,2025,Dry Floor,79,270.5
Arena,2025-06-01,2025,Ice,1,8.0
Arena,2025-06-01,2025,Other,38,682.0
Arena,2025-07-01,2025,Dry Floor,48,168.5
Arena,2025-07-01,2025,Ice,63,129.0
Arena,2025-07-01,2025,Other,9,99.0
Arena,2025-08-01,2025,Dry Floor,18,59.0
Arena,2025-08-01,2025,Ice,57,121.0
Arena,2025-08-01,2025,Other,25,401.5
Arena,2025-09-01,2025,Dry Floor,15,56.0
Arena,2025-09-01,2025,Ice,151,257.0
Arena,2025-09-01,2025,Other,37,632.0
Arena,2025-10-01,2025,Dry Floor,38,110.5
Arena,2025-10-01,2025,Ice,336,684.0
Arena,2025-10-01,2025,Other,34,244.5
Arena,2025-11-01,2025,Dry Floor,61,157.0
Arena,2025-11-01,2025,Ice,369,788.0
Arena,2025-11-01,2025,Other,31,260.0
Arena,2025-12-01,2025,Dry Floor,52,134.0
Arena,2025-12-01,2025,Ice,428,759.5
Arena,2025-12-01,2025,Other,44,251.0
Arena,2026-01-01,2026,Dry Floor,74,172.0
Arena,2026-01-01,2026,Ice,423,821.0
Arena,2026-01-01,2026,Other,32,116.0
Arena,2026-02-01,2026,Dry Floor,69,159.5
Arena,2026-02-01,2026,Ice,407,771.5
Arena,2026-02-01,2026,Other,27,80.0
Arena,2026-03-01,2026,Dry Floor,98,243.5
Arena,2026-03-01,2026,Ice,377,753.0
Arena,2026-03-01,2026,Other,28,104.5
Arena,2026-04-01,2026,Dry Floor,65,216.0
Arena,2026-04-01,2026,Ice,59,217.5
Arena,2026-04-01,2026,Other,18,324.0
Arena,2026-05-01,2026,Dry Floor,71,240.5
Arena,2026-05-01,2026,Ice,45,180.0
Arena,2026-05-01,2026,Other,29,300.0
Arena,2026-06-01,2026,Dry Floor,52,188.5
Arena,2026-06-01,2026,Ice,2,23.0
Arena,2026-06-01,2026,Other,45,810.0
Arena,2026-07-01,2026,Dry Floor,42,129.0
Arena,2026-07-01,2026,Ice,129,271.0
Arena,2026-07-01,2026,Other,5,90.0
Arena,2026-08-01,2026,Dry Floor,38,118.0
Arena,2026-08-01,2026,Ice,137,257.5
Arena,2026-09-01,2026,Dry Floor,18,62.0
Arena,2026-09-01,2026,Ice,50,120.0
Arena,2026-09-01,2026,Other,9,112.0
Arena,2026-10-01,2026,Ice,198,591.0
Arena,2026-10-01,2026,Other,9,122.0
Arena,2026-11-01,2026,Ice,195,572.0
Arena,2026-11-01,2026,Other,14,188.0
Arena,2026-12-01,2026,Ice,172,488.0
Arena,2026-12-01,2026,Other,17,200.0
Arena,2027-01-01,2027,Ice,195,596.0
Arena,2027-01-01,2027,Other,7,86.0
Arena,2027-02-01,2027,Ice,193,566.0
Arena,2027-02-01,2027,Other,4,32.0
Arena,2027-03-01,2027,Ice,181,532.5
Arena,2027-03-01,2027,Other,7,76.0
Arena,2027-04-01,2027,Ice,2,5.0
Arena,2027-04-01,2027,Other,8,144.0
Arena,2027-05-01,2027,Other,5,90.0
Arena,2027-06-01,2027,Other,30,540.0
Arena,2027-07-01,2027,Other,4,72.0
Arena,2027-09-01,2027,Other,1,18.0
Arena,2027-11-01,2027,Other,9,150.0
Arena,2027-12-01,2027,Other,7,90.0
Arena,2028-05-01,2028,Other,3,54.0
Arena,2028-11-01,2028,Other,1,6.0
Arena,2028-12-01,2028,Other,2,16.0
Arena,2029-11-01,2029,Other,1,6.0
Arena,2029-12-01,2029,Other,2,16.0
Arena A,2025-04-01,2025,Ice,200,412.5
