facility,month_start,year,bookings,booked_hours,ice_hours,dry_floor_hours,other_hours,ice_share,days_in_month,capacity_hours,utilization
Arena,2025-01-01,2025,1,24.0,0.0,0.0,24.0,0.0,31,558,0.043
Arena,2025-04-01,2025,129,831.5,149.5,219.0,463.0,0.1798,30,540,1.5398
Arena,2025-05-01,2025,126,731.25,161.25,222.0,348.0,0.2205,31,558,1.3105
Arena,2025-06-01,2025,118,960.5,8.0,270.5,682.0,0.0083,30,540,1.7787
Arena,2025-07-01,2025,120,396.5,129.0,168.5,99.0,0.3253,31,558,0.7106
Arena,2025-08-01,2025,100,581.5,121.0,59.0,401.5,0.2081,31,558,1.0421
Arena,2025-09-01,2025,203,945.0,257.0,56.0,632.0,0.272,30,540,1.75
Arena,2025-10-01,2025,408,1039.0,684.0,110.5,244.5,0.6583,31,558,1.862
Arena,2025-11-01,2025,461,1205.0,788.0,157.0,260.0,0.6539,30,540,2.2315
Arena,2025-12-01,2025,524,1144.5,759.5,134.0,251.0,0.6636,31,558,2.0511
Arena,2026-01-01,2026,529,1109.0,821.0,172.0,116.0,0.7403,31,558,1.9875
Arena,2026-02-01,2026,503,1011.0,771.5,159.5,80.0,0.7631,28,504,2.006
Arena,2026-03-01,2026,503,1101.0,753.0,243.5,104.5,0.6839,31,558,1.9731
Arena,2026-04-01,2026,142,757.5,217.5,216.0,324.0,0.2871,30,540,1.4028
Arena,2026-05-01,2026,145,720.5,180.0,240.5,300.0,0.2498,31,558,1.2912
Arena,2026-06-01,2026,99,1021.5,23.0,188.5,810.0,0.0225,30,540,1.8917
Arena,2026-07-01,2026,176,490.0,271.0,129.0,90.0,0.5531,31,558,0.8781
Arena,2026-08-01,2026,175,375.5,257.5,118.0,0.0,0.6858,31,558,0.6729
Arena,2026-09-01,2026,77,294.0,120.0,62.0,112.0,0.4082,30,540,0.5444
Arena,2026-10-01,2026,207,713.0,591.0,0.0,122.0,0.8289,31,558,1.2778
Arena,2026-11-01,2026,209,760.0,572.0,0.0,188.0,0.7526,30,540,1.4074
Arena,2026-12-01,2026,189,688.0,488.0,0.0,200.0,0.7093,31,558,1.233
Arena,2027-01-01,2027,202,682.0,596.0,0.0,86.0,0.8739,31,558,1.2222
Arena,2027-02-01,2027,197,598.0,566.0,0.0,32.0,0.9465,28,504,1.1865
Arena,2027-03-01,2027,188,608.5,532.5,0.0,76.0,0.8751,31,558,1.0905
Arena,2027-04-01,2027,10,149.0,5.0,0.0,144.0,0.0336,30,540,0.2759
Arena,2027-05-01,2027,5,90.0,0.0,0.0,90.0,0.0,31,558,0.1613
Arena,2027-06-01,2027,30,540.0,0.0,0.0,540.0,0.0,30,540,1.0
Arena,2027-07-01,2027,4,72.0,0.0,0.0,72.0,0.0,31,558,0.129
Arena,2027-09-01,2027,1,18.0,0.0,0.0,18.0,0.0,30,540,0.0333
Arena,2027-11-01,2027,9,150.0,0.0,0.0,150.0,0.0,30,540,0.2778
