community_mix_rank,community,classes,total_area,dominant_class,largest_class_share,mix_index
1,BEDFORD,8,22.3564,Other,30.59,69.41
2,HALIFAX,7,39.6522,Residential,32.40,67.60
3,LOWER SACKVILLE,7,9.4431,Residential,33.21,66.79
4,WAVERLEY,7,22.5687,Rural and Resource,35.94,64.06
5,EASTERN PASSAGE,8,10.6437,Rural and Resource,37.53,62.47
6,DARTMOUTH,8,32.5885,Industrial,38.33,61.67
7,HARRIETSFIELD,7,12.2381,Residential,38.35,61.65
8,MIDDLE SACKVILLE,7,15.3103,Residential,38.89,61.11
8,WILLIAMSWOOD,5,12.7649,Residential,38.89,61.11
9,BAYSIDE,7,4.6959,Residential,39.63,60.37
10,TIMBERLEA,7,14.5063,Park and Open Space,39.68,60.32
11,UPPER SACKVILLE,7,11.4417,Mixed Use,41.36,58.64
12,HUBBARDS,5,2.5120,Mixed Use,43.38,56.62
13,ENFIELD,4,9.8444,Residential,44.08,55.92
14,UPPER TANTALLON,5,13.4383,Residential,44.20,55.80
15,HAMMONDS PLAINS,7,36.5048,Rural and Resource,44.91,55.09
16,LOWER EAST CHEZZETCOOK,3,7.1533,Residential,45.07,54.93
17,WESTPHAL,8,5.3523,Residential,45.40,54.60
18,GLEN MARGARET,4,33.8352,Park and Open Space,48.45,51.55
19,KETCH HARBOUR,5,5.8047,Rural and Resource,48.60,51.40
20,GOFFS,5,48.4302,Park and Open Space,49.01,50.99
21,COLE HARBOUR,7,9.1343,Residential,50.45,49.55
22,WEST PORTERS LAKE,3,1.6147,Rural and Resource,50.83,49.17
23,POPES HARBOUR,2,4.4216,Rural and Resource,51.41,48.59
24,UPPER MUSQUODOBOIT,3,7.5319,Other,51.46,48.54
25,SAMBRO HEAD,2,1.8715,Rural and Resource,51.76,48.24
26,LAKE ECHO,5,8.6650,Residential,52.96,47.04
27,PORTERS LAKE,6,82.0386,Rural and Resource,53.68,46.32
28,WEST JEDDORE,2,12.4233,Mixed Use,53.80,46.20
29,BEECHVILLE,6,6.8944,Other,54.49,45.51
30,LEWIS LAKE,3,1.5597,Residential,56.45,43.55
