community,zone_class,polygons,area,area_share
ANTRIM,Industrial,1,0.9531,9.21
ANTRIM,Mixed Use,1,9.3897,90.79
BALD ROCK,Park and Open Space,1,0.3996,17.66
BALD ROCK,Rural and Resource,3,1.8635,82.34
BAYSIDE,Commercial,3,0.5352,11.40
BAYSIDE,Industrial,4,0.0550,1.17
BAYSIDE,Institutional,1,0.0006,0.01
BAYSIDE,Other,4,0.0068,0.15
BAYSIDE,Park and Open Space,12,1.5674,33.38
BAYSIDE,Residential,5,1.8609,39.63
BAYSIDE,Rural and Resource,9,0.6700,14.27
BEAR COVE,Rural and Resource,1,5.8402,100.00
BEAVER BANK,Commercial,7,0.0363,0.06
BEAVER BANK,Industrial,4,0.8945,1.55
BEAVER BANK,Institutional,3,0.0736,0.13
BEAVER BANK,Mixed Use,46,17.4871,30.32
BEAVER BANK,Other,3,1.3032,2.26
BEAVER BANK,Park and Open Space,21,0.0090,0.02
BEAVER BANK,Residential,50,4.0502,7.02
BEAVER BANK,Rural and Resource,40,33.8120,58.63
BEAVER HARBOUR,Rural and Resource,1,0.0645,100.00
BEDFORD,Commercial,39,0.4500,2.01
BEDFORD,Industrial,22,3.0055,13.44
BEDFORD,Institutional,20,0.3032,1.36
BEDFORD,Mixed Use,5,1.4481,6.48
BEDFORD,Other,38,6.8397,30.59
BEDFORD,Park and Open Space,58,3.4966,15.64
BEDFORD,Residential,278,6.7223,30.07
BEDFORD,Rural and Resource,5,0.0910,0.41
BEECH HILL,Mixed Use,1,0.0098,4.71
BEECH HILL,Park and Open Space,1,0.1985,95.29
BEECHVILLE,Commercial,6,0.3772,5.47
BEECHVILLE,Industrial,15,1.8361,26.63
BEECHVILLE,Institutional,2,0.0058,0.08
BEECHVILLE,Other,12,3.7567,54.49
BEECHVILLE,Park and Open Space,6,0.7759,11.25
BEECHVILLE,Residential,12,0.1427,2.07
BIG LAKE,Commercial,1,0.0110,0.29
BIG LAKE,Park and Open Space,8,3.0423,78.98
BIG LAKE,Residential,5,0.1769,4.59
BIG LAKE,Rural and Resource,5,0.6220,16.15
BLACK POINT,Industrial,1,0.0040,1.23
BLACK POINT,Mixed Use,3,0.3211,98.77
BLIND BAY,Commercial,1,0.0074,0.09
BLIND BAY,Park and Open Space,32,3.2931,41.30
BLIND BAY,Residential,3,0.0233,0.29
BLIND BAY,Rural and Resource,13,4.6492,58.31
BOUTILIERS POINT,Commercial,3,0.0309,1.44
BOUTILIERS POINT,Mixed Use,9,0.0279,1.30
BOUTILIERS POINT,Residential,4,0.6151,28.74
BOUTILIERS POINT,Rural and Resource,14,1.4666,68.52
BROOKSIDE,Commercial,1,0.0015,0.04
BROOKSIDE,Institutional,3,0.0602,1.62
BROOKSIDE,Other,2,0.0041,0.11
BROOKSIDE,Park and Open Space,1,0.5438,14.62
BROOKSIDE,Residential,22,3.1103,83.61
BROOKVALE,Mixed Use,1,11.3259,99.77
BROOKVALE,Park and Open Space,2,0.0263,0.23
CARIBOU MINES,Mixed Use,1,131.9478,100.00
CHASWOOD,Mixed Use,1,16.1764,100.00
CHERRY BROOK,Commercial,1,0.0062,20.31
CHERRY BROOK,Institutional,2,0.0244,79.69
CLAM BAY,Mixed Use,24,2.3472,88.09
CLAM BAY,Park and Open Space,1,0.3174,11.91
CLAM HARBOUR,Mixed Use,5,0.6598,35.86
CLAM HARBOUR,Park and Open Space,3,1.1804,64.14
COLE HARBOUR,Commercial,23,0.1845,2.02
COLE HARBOUR,Industrial,2,0.0379,0.42
COLE HARBOUR,Institutional,26,0.7257,7.94
COLE HARBOUR,Other,7,0.6626,7.25
COLE HARBOUR,Park and Open Space,36,1.5995,17.51
COLE HARBOUR,Residential,302,4.6081,50.45
COLE HARBOUR,Rural and Resource,4,1.3160,14.41
CONROD SETTLEMENT,Mixed Use,4,1.5610,4.49
CONROD SETTLEMENT,Residential,1,0.0598,0.17
CONROD SETTLEMENT,Rural and Resource,33,33.1635,95.34
COW BAY,Institutional,10,0.2232,3.20
COW BAY,Other,8,0.0855,1.23
COW BAY,Park and Open Space,29,2.1737,31.17
COW BAY,Rural and Resource,18,4.4908,64.40
DARTMOUTH,Commercial,35,0.3709,1.14
DARTMOUTH,Industrial,154,12.4907,38.33
DARTMOUTH,Institutional,33,0.3877,1.19
DARTMOUTH,Mixed Use,130,0.8657,2.66
DARTMOUTH,Other,103,5.7821,17.74
DARTMOUTH,Park and Open Space,171,4.7285,14.51
DARTMOUTH,Residential,843,7.9176,24.30
DARTMOUTH,Rural and Resource,2,0.0453,0.14
DEAN,Mixed Use,5,23.1926,98.19
DEAN,Park and Open Space,1,0.4286,1.81
DEBAIES COVE,Mixed Use,9,1.9781,95.49
DEBAIES COVE,Park and Open Space,6,0.0935,4.51
DEVILS ISLAND,Rural and Resource,1,0.0749,100.00
DEVON,Mixed Use,5,0.0133,0.11
DEVON,Park and Open Space,3,12.2600,99.89
DUNCANS COVE,Institutional,2,0.0749,2.65
DUNCANS COVE,Other,1,0.0574,2.03
DUNCANS COVE,Park and Open Space,2,2.3177,82.16
DUNCANS COVE,Rural and Resource,10,0.3709,13.15
DUTCH SETTLEMENT,Mixed Use,1,42.8573,84.79
DUTCH SETTLEMENT,Other,1,7.6894,15.21
EAST CHEZZETCOOK,Industrial,1,0.3130,2.74
EAST CHEZZETCOOK,Rural and Resource,26,11.1181,97.26
EAST DOVER,Other,3,0.0469,2.11
EAST DOVER,Park and Open Space,30,0.5926,26.70
EAST DOVER,Residential,4,0.2047,9.22
EAST DOVER,Rural and Resource,9,1.3751,61.96
EAST JEDDORE,Mixed Use,2,20.0861,86.10
EAST JEDDORE,Rural and Resource,1,3.2433,13.90
EAST LAWRENCETOWN,Park and Open Space,6,0.5321,6.29
EAST LAWRENCETOWN,Rural and Resource,25,7.9321,93.71
EAST PENNANT,Institutional,1,0.2156,26.47
EAST PENNANT,Park and Open Space,1,0.0246,3.02
EAST PENNANT,Rural and Resource,2,0.5742,70.51
EAST PETPESWICK,Mixed Use,10,13.5256,77.21
EAST PETPESWICK,Park and Open Space,2,0.2836,1.62
EAST PETPESWICK,Rural and Resource,15,3.7096,21.18
EAST PRESTON,Institutional,2,0.0280,0.07
EAST PRESTON,Park and Open Space,26,26.4794,63.03
EAST PRESTON,Residential,12,0.8972,2.14
EAST PRESTON,Rural and Resource,28,14.6059,34.77
EAST QUODDY,Rural and Resource,2,1.6364,100.00
EAST SHIP HARBOUR,Park and Open Space,6,116.5295,99.29
EAST SHIP HARBOUR,Rural and Resource,20,0.8294,0.71
EASTERN PASSAGE,Commercial,9,0.3352,3.15
EASTERN PASSAGE,Industrial,14,1.5992,15.02
EASTERN PASSAGE,Institutional,15,0.4186,3.93
EASTERN PASSAGE,Mixed Use,7,0.0451,0.42
EASTERN PASSAGE,Other,17,0.3766,3.54
EASTERN PASSAGE,Park and Open Space,20,1.9694,18.50
EASTERN PASSAGE,Residential,141,1.9049,17.90
EASTERN PASSAGE,Rural and Resource,7,3.9947,37.53
ECUM SECUM,Rural and Resource,1,0.0729,100.00
ECUM SECUM WEST,Park and Open Space,5,0.1072,21.52
ECUM SECUM WEST,Rural and Resource,8,0.3910,78.48
ELDERBANK,Mixed Use,3,5.5609,95.92
ELDERBANK,Park and Open Space,1,0.2364,4.08
ELMSVALE,Mixed Use,1,41.1251,100.00
ENFIELD,Commercial,5,0.0549,0.56
ENFIELD,Park and Open Space,2,1.4955,15.19
ENFIELD,Residential,43,4.3391,44.08
ENFIELD,Rural and Resource,14,3.9549,40.17
FALL RIVER,Commercial,17,0.7469,3.73
FALL RIVER,Institutional,2,0.0066,0.03
FALL RIVER,Other,15,0.3522,1.76
FALL RIVER,Park and Open Space,49,3.8647,19.29
FALL RIVER,Residential,73,12.4364,62.08
FALL RIVER,Rural and Resource,9,2.6266,13.11
FERGUSONS COVE,Park and Open Space,2,0.2993,36.29
FERGUSONS COVE,Residential,6,0.5230,63.41
FERGUSONS COVE,Rural and Resource,1,0.0025,0.30
FLETCHERS LAKE,Commercial,2,0.0120,1.22
FLETCHERS LAKE,Industrial,2,0.0142,1.45
FLETCHERS LAKE,Institutional,2,0.0019,0.19
FLETCHERS LAKE,Residential,19,0.6702,68.51
FLETCHERS LAKE,Rural and Resource,8,0.2800,28.62
FRENCH VILLAGE,Mixed Use,5,2.1290,100.00
GAETZ BROOK,Mixed Use,1,0.0004,0.01
GAETZ BROOK,Park and Open Space,2,2.5536,37.02
GAETZ BROOK,Residential,4,0.0598,0.87
GAETZ BROOK,Rural and Resource,22,4.2838,62.11
GLEN HAVEN,Mixed Use,6,1.3256,9.17
GLEN HAVEN,Rural and Resource,9,13.1365,90.83
GLEN MARGARET,Mixed Use,7,4.0394,11.94
GLEN MARGARET,Park and Open Space,14,16.3927,48.45
GLEN MARGARET,Residential,7,0.3787,1.12
GLEN MARGARET,Rural and Resource,21,13.0244,38.49
GOFFS,Industrial,14,14.4512,29.84
GOFFS,Other,3,2.4613,5.08
GOFFS,Park and Open Space,17,23.7371,49.01
GOFFS,Residential,1,0.6257,1.29
GOFFS,Rural and Resource,16,7.1549,14.77
GOODWOOD,Commercial,6,0.1494,1.10
GOODWOOD,Industrial,7,0.3811,2.80
GOODWOOD,Institutional,1,0.0026,0.02
GOODWOOD,Other,3,0.0251,0.18
GOODWOOD,Park and Open Space,6,9.2920,68.37
GOODWOOD,Residential,10,3.7411,27.53
GOVERNOR LAKE,Park and Open Space,1,2.1289,100.00
GRAND DESERT,Industrial,1,0.0046,0.09
GRAND DESERT,Institutional,1,0.0781,1.47
GRAND DESERT,Rural and Resource,9,5.2340,98.44
GRAND LAKE,Commercial,1,0.0029,0.12
GRAND LAKE,Institutional,4,0.0335,1.36
GRAND LAKE,Park and Open Space,2,0.1807,7.33
GRAND LAKE,Residential,35,1.5768,63.95
GRAND LAKE,Rural and Resource,14,0.6719,27.25
GREENWOOD,Mixed Use,2,2.7358,93.80
GREENWOOD,Park and Open Space,1,0.1809,6.20
HACKETTS COVE,Industrial,1,0.1729,9.90
HACKETTS COVE,Mixed Use,14,0.9899,56.69
HACKETTS COVE,Residential,1,0.0838,4.80
HACKETTS COVE,Rural and Resource,5,0.4994,28.60
HALIBUT BAY,Park and Open Space,1,12.9548,88.74
HALIBUT BAY,Residential,4,1.6433,11.26
HALIFAX,Commercial,60,0.5694,1.44
HALIFAX,Industrial,25,2.6604,6.71
HALIFAX,Institutional,80,1.3326,3.36
HALIFAX,Mixed Use,309,2.8976,7.31
HALIFAX,Other,163,9.9489,25.09
HALIFAX,Park and Open Space,245,9.3966,23.70
HALIFAX,Residential,1515,12.8467,32.40
HAMMONDS PLAINS,Commercial,19,0.1761,0.48
HAMMONDS PLAINS,Industrial,10,0.2590,0.71
HAMMONDS PLAINS,Institutional,3,0.0285,0.08
HAMMONDS PLAINS,Mixed Use,56,10.9298,29.94
HAMMONDS PLAINS,Park and Open Space,15,1.3875,3.80
HAMMONDS PLAINS,Residential,89,7.3309,20.08
HAMMONDS PLAINS,Rural and Resource,37,16.3930,44.91
HARRIETSFIELD,Commercial,1,0.0081,0.07
HARRIETSFIELD,Industrial,4,0.7978,6.52
HARRIETSFIELD,Institutional,1,0.0130,0.11
HARRIETSFIELD,Other,9,2.1454,17.53
HARRIETSFIELD,Park and Open Space,3,0.6380,5.21
HARRIETSFIELD,Residential,20,4.6936,38.35
HARRIETSFIELD,Rural and Resource,11,3.9422,32.21
HARRIGAN COVE,Park and Open Space,3,0.2197,8.85
HARRIGAN COVE,Rural and Resource,11,2.2623,91.15
HARTLIN SETTLEMENT,Mixed Use,2,0.1089,100.00
HATCHET LAKE,Commercial,9,0.0543,0.20
HATCHET LAKE,Industrial,11,0.0903,0.34
HATCHET LAKE,Institutional,6,0.0497,0.19
HATCHET LAKE,Other,6,0.0076,0.03
HATCHET LAKE,Park and Open Space,14,23.1441,87.15
HATCHET LAKE,Residential,36,2.4721,9.31
HATCHET LAKE,Rural and Resource,3,0.7379,2.78
HEAD OF CHEZZETCOOK,Residential,2,0.0311,4.25
HEAD OF CHEZZETCOOK,Rural and Resource,15,0.7007,95.75
HEAD OF JEDDORE,Mixed Use,10,15.8262,100.00
HEAD OF ST MARGARETS BAY,Industrial,1,0.0012,0.01
HEAD OF ST MARGARETS BAY,Mixed Use,12,6.2796,61.69
HEAD OF ST MARGARETS BAY,Park and Open Space,3,2.0363,20.00
HEAD OF ST MARGARETS BAY,Residential,24,1.2243,12.03
HEAD OF ST MARGARETS BAY,Rural and Resource,111,0.6385,6.27
HERRING COVE,Commercial,11,0.0626,1.05
HERRING COVE,Institutional,10,0.3889,6.56
HERRING COVE,Park and Open Space,40,3.3761,56.92
HERRING COVE,Residential,39,1.6788,28.30
HERRING COVE,Rural and Resource,7,0.4248,7.16
HIGGINSVILLE,Mixed Use,1,0.0004,100.00
HUBBARDS,Industrial,4,0.0624,2.48
HUBBARDS,Mixed Use,20,1.0898,43.38
HUBBARDS,Other,2,0.0195,0.78
HUBBARDS,Residential,2,0.9795,38.99
HUBBARDS,Rural and Resource,25,0.3608,14.36
HUBLEY,Industrial,2,0.0807,0.21
HUBLEY,Mixed Use,6,0.0732,0.19
HUBLEY,Park and Open Space,49,32.6943,84.20
HUBLEY,Residential,23,2.6388,6.80
HUBLEY,Rural and Resource,28,3.3418,8.61
INDIAN HARBOUR,Commercial,1,0.0135,0.20
INDIAN HARBOUR,Mixed Use,15,6.5777,95.28
INDIAN HARBOUR,Park and Open Space,3,0.0229,0.33
INDIAN HARBOUR,Rural and Resource,10,0.2895,4.19
INGRAMPORT,Industrial,1,0.0155,0.01
INGRAMPORT,Mixed Use,2,5.4486,3.32
INGRAMPORT,Rural and Resource,36,158.5138,96.67
KETCH HARBOUR,Commercial,1,0.0052,0.09
KETCH HARBOUR,Institutional,2,0.1746,3.01
KETCH HARBOUR,Other,8,0.2705,4.66
KETCH HARBOUR,Park and Open Space,5,2.5333,43.64
KETCH HARBOUR,Rural and Resource,14,2.8211,48.60
KINSAC,Mixed Use,14,0.1305,75.27
KINSAC,Rural and Resource,6,0.0429,24.73
LAKE CHARLOTTE,Mixed Use,20,12.7867,65.98
LAKE CHARLOTTE,Park and Open Space,8,6.5915,34.01
LAKE CHARLOTTE,Rural and Resource,1,0.0001,0.00
LAKE ECHO,Commercial,12,0.0390,0.45
LAKE ECHO,Other,1,0.0207,0.24
LAKE ECHO,Park and Open Space,10,0.3374,3.89
LAKE ECHO,Residential,41,4.5893,52.96
LAKE ECHO,Rural and Resource,12,3.6786,42.45
LAKE EGMONT,Mixed Use,1,117.6747,100.00
LAKE LOON,Commercial,2,0.0444,1.67
LAKE LOON,Institutional,3,0.0349,1.31
LAKE LOON,Other,1,0.3743,14.04
LAKE LOON,Residential,22,1.5118,56.70
LAKE LOON,Rural and Resource,5,0.7007,26.28
LAKESIDE,Commercial,6,0.0111,3.00
LAKESIDE,Institutional,1,0.0061,1.65
LAKESIDE,Other,3,0.0216,5.85
LAKESIDE,Park and Open Space,1,0.0079,2.13
LAKESIDE,Residential,32,0.3225,87.37
LAKEVIEW,Commercial,1,0.0016,0.27
LAKEVIEW,Industrial,2,0.0053,0.91
LAKEVIEW,Institutional,1,0.0013,0.23
LAKEVIEW,Residential,17,0.4938,85.02
LAKEVIEW,Rural and Resource,18,0.0788,13.57
LAWRENCETOWN,Industrial,1,0.2514,1.56
LAWRENCETOWN,Park and Open Space,45,2.5251,15.65
LAWRENCETOWN,Residential,28,0.5577,3.46
LAWRENCETOWN,Rural and Resource,73,12.7826,79.23
LAWRENCETOWN,Unspecified,1,0.0174,0.11
LEWIS LAKE,Mixed Use,8,0.6404,41.06
LEWIS LAKE,Park and Open Space,2,0.0388,2.49
LEWIS LAKE,Residential,7,0.8805,56.45
LISCOMB SANCTUARY,Rural and Resource,2,0.0094,100.00
LITTLE HARBOUR,Mixed Use,23,4.0009,78.92
LITTLE HARBOUR,Park and Open Space,6,0.4220,8.32
LITTLE HARBOUR,Rural and Resource,2,0.6465,12.75
LOCHABER MINES,Park and Open Space,2,0.7789,3.29
LOCHABER MINES,Rural and Resource,3,22.9145,96.71
LONG LAKE,Park and Open Space,1,0.1016,100.00
LOWER EAST CHEZZETCOOK,Park and Open Space,10,1.1384,15.91
LOWER EAST CHEZZETCOOK,Residential,18,3.2239,45.07
LOWER EAST CHEZZETCOOK,Rural and Resource,16,2.7910,39.02
LOWER PROSPECT,Mixed Use,8,0.1048,14.76
LOWER PROSPECT,Other,3,0.0029,0.41
LOWER PROSPECT,Park and Open Space,43,0.6024,84.84
LOWER SACKVILLE,Commercial,37,0.3707,3.93
LOWER SACKVILLE,Industrial,7,0.6261,6.63
LOWER SACKVILLE,Institutional,26,0.3527,3.73
LOWER SACKVILLE,Other,31,0.6068,6.43
LOWER SACKVILLE,Park and Open Space,91,2.6592,28.16
LOWER SACKVILLE,Residential,374,3.1360,33.21
