txn_id,txn_date,description,amount
501,2026-07-02,POS SETTLEMENT,1250.00
502,2026-07-03,EFT FLOUR CO,-320.45
503,2026-07-08,FUEL POINT #41,-85.00
504,2026-07-08,FUEL POINT #41,-85.00
505,2026-07-10,POS SETTLEMENT,980.25
506,2026-07-18,CHQ 214,-450.00
507,2026-07-24,CHQ 215,-600.00
508,2026-07-23,POS SETTLEMENT,1105.90
509,2026-07-26,POS TERMINAL RENTAL,-49.00
510,2026-07-31,MONTHLY ACCOUNT FEE,-19.95
511,2026-07-31,INTEREST EARNED,3.42
512,2026-07-25,CHQ 217,-102.00
513,2026-07-10,CHQ 213,-200.00
