entry_id,entry_date,description,amount
1,2026-07-02,Card settlement deposit,1250.00
2,2026-07-03,Flour supplier,-320.45
3,2026-07-08,Delivery van fuel,-85.00
4,2026-07-08,Catering gas refill,-85.00
5,2026-07-10,Card settlement deposit,980.25
6,2026-07-15,Cheque 214 window repair,-450.00
7,2026-07-21,Cheque 215 sign painting,-600.00
8,2026-07-22,Card settlement deposit,1105.90
9,2026-07-28,Cheque 216 oven service,-275.50
10,2026-07-30,Card settlement deposit,840.10
11,2026-07-25,Cheque 217 flower stand,-120.00
12,2026-07-05,Cheque 213 market stall fee,-200.00
