parent,child,qty
WHEEL-26,RIM-26,1
WHEEL-26,SPOKE,32
WHEEL-26,HUB-ASSY,1
WHEEL-26,TYRE-26,1
CITY-BIKE,FRAME-KIT,1
CITY-BIKE,FORK-KIT,1
CITY-BIKE,WHEEL-26,2
CITY-BIKE,DRIVETRAIN,1
CITY-BIKE,BRAKE-SET,2
HUB-ASSY,HUB-SHELL,1
HUB-ASSY,BEARING,2
FRAME-KIT,FRAME-TUBES,1
FRAME-KIT,BB-ASSY,1
FRAME-KIT,BOLT-M5,4
CARGO-BIKE,FRAME-KIT,1
CARGO-BIKE,FORK-KIT,1
CARGO-BIKE,WHEEL-26,1
CARGO-BIKE,WHEEL-20,1
CARGO-BIKE,DRIVETRAIN,1
CARGO-BIKE,BRAKE-SET,2
CARGO-BIKE,BOLT-M5,6
FORK-KIT,FORK,1
FORK-KIT,BOLT-M5,4
BB-ASSY,BEARING,2
BB-ASSY,SPINDLE,1
WHEEL-20,RIM-20,1
WHEEL-20,SPOKE,28
WHEEL-20,HUB-ASSY,1
WHEEL-20,TYRE-20,1
KIDS-BIKE,FRAME-KIDS,1
KIDS-BIKE,FORK-KIT,1
KIDS-BIKE,WHEEL-20,2
KIDS-BIKE,BB-ASSY,1
KIDS-BIKE,DRIVETRAIN,1
KIDS-BIKE,BRAKE-SET,1
KIDS-BIKE,BOLT-M5,4
DRIVETRAIN,CHAIN,1
DRIVETRAIN,CRANK,2
BRAKE-SET,BRAKE-PAD,2
BRAKE-SET,CABLE,1
HUB-ASSY,WHEEL-20,1
