sale_date,store,sales
2024-12-02,BEDFORD,1887.99
2024-12-02,NORTH-END,1433.29
2024-12-02,QUINPOOL,1587.03
2024-12-02,SPRING-GARDEN,2060.88
2024-12-03,BEDFORD,2045.87
2024-12-03,NORTH-END,1393.30
2024-12-03,QUINPOOL,1700.21
2024-12-03,SPRING-GARDEN,2010.10
2024-12-04,BEDFORD,2095.78
2024-12-04,NORTH-END,1626.44
2024-12-04,QUINPOOL,1803.67
2024-12-04,SPRING-GARDEN,2124.83
2024-12-05,BEDFORD,2254.88
2024-12-05,NORTH-END,1740.54
2024-12-05,QUINPOOL,2088.87
2024-12-05,SPRING-GARDEN,2506.96
2024-12-06,BEDFORD,3087.58
2024-12-06,NORTH-END,2563.57
2024-12-06,QUINPOOL,3004.32
2024-12-06,SPRING-GARDEN,3485.37
2024-12-07,BEDFORD,4340.65
2024-12-07,NORTH-END,3081.04
2024-12-07,QUINPOOL,3602.44
2024-12-07,SPRING-GARDEN,4661.30
2024-12-08,BEDFORD,2335.27
2024-12-08,NORTH-END,1704.33
2024-12-08,QUINPOOL,2026.66
2024-12-08,SPRING-GARDEN,2396.89
2024-12-09,BEDFORD,1860.90
2024-12-09,NORTH-END,1400.18
2024-12-09,QUINPOOL,1557.73
2024-12-09,SPRING-GARDEN,2023.81
2024-12-10,BEDFORD,1957.31
2024-12-10,NORTH-END,1373.00
2024-12-10,QUINPOOL,1635.06
2024-12-10,SPRING-GARDEN,2156.07
2024-12-11,BEDFORD,2170.62
2024-12-11,NORTH-END,1596.74
2024-12-11,QUINPOOL,1831.70
2024-12-11,SPRING-GARDEN,2216.39
2024-12-12,BEDFORD,2444.48
2024-12-12,NORTH-END,1740.21
2024-12-12,QUINPOOL,2090.57
2024-12-12,SPRING-GARDEN,2663.19
2024-12-13,BEDFORD,3355.82
2024-12-13,NORTH-END,2437.23
2024-12-13,QUINPOOL,2698.25
2024-12-13,SPRING-GARDEN,3421.16
2024-12-14,BEDFORD,4078.12
2024-12-14,NORTH-END,3184.06
2024-12-14,QUINPOOL,3580.56
2024-12-14,SPRING-GARDEN,4303.69
2024-12-15,BEDFORD,2569.20
2024-12-15,NORTH-END,2005.77
2024-12-15,QUINPOOL,2363.46
2024-12-15,SPRING-GARDEN,2823.87
2024-12-16,BEDFORD,2069.88
2024-12-16,NORTH-END,1532.10
2024-12-16,QUINPOOL,1756.43
2024-12-16,SPRING-GARDEN,2238.29
2024-12-17,BEDFORD,2104.50
2024-12-17,NORTH-END,1671.34
2024-12-17,QUINPOOL,1830.02
2024-12-17,SPRING-GARDEN,2413.65
2024-12-18,BEDFORD,2396.04
2024-12-18,NORTH-END,1796.42
2024-12-18,QUINPOOL,1918.29
2024-12-18,SPRING-GARDEN,2511.22
2024-12-19,BEDFORD,2702.55
2024-12-19,NORTH-END,2044.94
2024-12-19,QUINPOOL,2401.10
2024-12-19,SPRING-GARDEN,2697.51
2024-12-20,BEDFORD,3614.96
2024-12-20,NORTH-END,2755.45
2024-12-20,QUINPOOL,2998.38
2024-12-20,SPRING-GARDEN,3827.30
2024-12-21,BEDFORD,4557.80
2024-12-21,CLAYTON-PARK,2964.13
2024-12-21,NORTH-END,3657.00
2024-12-21,QUINPOOL,3902.75
2024-12-21,SPRING-GARDEN,4715.65
2024-12-22,BEDFORD,2524.66
2024-12-22,CLAYTON-PARK,1601.45
2024-12-22,NORTH-END,1840.41
2024-12-22,QUINPOOL,2333.30
2024-12-22,SPRING-GARDEN,2765.60
2024-12-23,BEDFORD,2090.11
2024-12-23,CLAYTON-PARK,1246.89
2024-12-23,NORTH-END,1518.73
2024-12-23,QUINPOOL,1766.27
2024-12-23,SPRING-GARDEN,2277.54
2024-12-24,BEDFORD,2227.02
2024-12-24,CLAYTON-PARK,1320.64
2024-12-24,NORTH-END,1750.57
2024-12-24,QUINPOOL,1947.00
2024-12-24,SPRING-GARDEN,2345.55
2024-12-25,BEDFORD,1558.40
2024-12-25,CLAYTON-PARK,953.10
2024-12-25,NORTH-END,1110.93
2024-12-25,QUINPOOL,1420.13
2024-12-25,SPRING-GARDEN,1750.87
2024-12-26,BEDFORD,2481.74
2024-12-26,CLAYTON-PARK,1483.41
2024-12-26,NORTH-END,1809.75
2024-12-26,QUINPOOL,2104.62
2024-12-26,SPRING-GARDEN,2502.41
2024-12-27,BEDFORD,3354.79
2024-12-27,CLAYTON-PARK,2084.11
2024-12-27,NORTH-END,2295.94
2024-12-27,QUINPOOL,2742.48
2024-12-27,SPRING-GARDEN,3510.24
2024-12-28,BEDFORD,4223.19
