sale_date,store,amount
2026-07-01,Harbourfront,120
2026-07-01,Harbourfront,90
2026-07-02,Harbourfront,185
2026-07-03,Harbourfront,240
2026-07-06,Harbourfront,175
2026-07-07,Harbourfront,230
2026-07-08,Harbourfront,195
2026-07-08,Westside,95
2026-07-09,Harbourfront,220
2026-07-09,Westside,120
2026-07-10,Harbourfront,100
2026-07-10,Harbourfront,160
2026-07-10,Westside,140
2026-07-11,Harbourfront,305
2026-07-11,Westside,60
2026-07-11,Westside,100
2026-07-12,Harbourfront,290
2026-07-12,Westside,155
2026-07-13,Harbourfront,180
2026-07-13,Westside,110
2026-07-14,Harbourfront,200
2026-07-14,Westside,125
2026-07-15,Harbourfront,215
2026-07-16,Harbourfront,190
2026-07-16,Westside,130
2026-07-17,Harbourfront,250
2026-07-17,Westside,150
2026-07-18,Harbourfront,310
2026-07-18,Westside,175
2026-07-19,Westside,165
2026-07-20,Harbourfront,205
2026-07-20,Westside,115
2026-07-21,Harbourfront,225
2026-07-21,Westside,135
2026-07-22,Harbourfront,210
2026-07-23,Harbourfront,235
2026-07-23,Westside,145
2026-07-24,Harbourfront,270
2026-07-24,Westside,170
2026-07-25,Harbourfront,200
2026-07-25,Harbourfront,120
2026-07-25,Westside,90
2026-07-25,Westside,100
2026-07-26,Harbourfront,295
2026-07-26,Westside,180
2026-07-27,Harbourfront,185
2026-07-27,Westside,120
2026-07-28,Harbourfront,200
2026-07-28,Westside,130
2026-07-29,Harbourfront,210
2026-07-29,Westside,140
2026-07-30,Harbourfront,245
2026-07-30,Westside,160
2026-07-31,Harbourfront,280
2026-07-31,Westside,185
