value_date,value
2026-07-01,10000.00
2026-07-02,10200.00
2026-07-03,10098.00
2026-07-04,10200.00
2026-07-05,10500.00
2026-07-06,10800.00
2026-07-07,11400.00
2026-07-08,11400.00
2026-07-09,12000.00
2026-07-10,12000.00
2026-07-11,11700.00
2026-07-12,11400.00
2026-07-13,10800.00
2026-07-14,10440.00
2026-07-15,10200.00
2026-07-16,10440.00
2026-07-17,10800.00
2026-07-18,11160.00
2026-07-19,11520.00
2026-07-20,11760.00
2026-07-21,11940.00
2026-07-22,12000.00
2026-07-23,12500.00
2026-07-24,12500.00
2026-07-25,12250.00
2026-07-26,11875.00
2026-07-27,12125.00
2026-07-28,12625.00
2026-07-29,12750.00
2026-07-30,13000.00
2026-07-31,12870.00
2026-08-01,12610.00
2026-08-02,12350.00
2026-08-03,12220.00
2026-08-04,12090.00
2026-08-05,12220.00
2026-08-06,12350.00
2026-08-07,12480.00
2026-08-08,12610.00
2026-08-09,12740.00
