month,revenue
2024-04,161347.20
2024-05,243318.77
2024-06,412683.93
2024-07,601552.18
2024-08,630774.46
2024-09,385129.65
2024-10,239466.52
2024-11,0.00
2025-01,92877.14
2025-02,76315.39
2025-03,115440.98
2025-04,181515.60
2025-05,262402.40
2025-06,425742.29
2025-07,621605.80
2025-07,12500.00
2025-08,638347.51
2025-09,380671.58
2025-10,236192.89
2025-11,117668.00
2025-12,158773.42
2026-01,143955.28
2026-02,120834.15
2026-03,169390.61
2026-04,186053.49
2026-05,255644.92
2026-06,415786.64
2026-07,605446.98
2026-08,613441.23
