sensor_id,reading_at,celsius
CLR-1,2026-09-09 03:00,3.5
FRZ-1,2026-09-09 05:00,
CLR-1,2026-09-09 10:00,6.8
FRZ-1,2026-09-09 00:00,-18.2
CLR-1,2026-09-09 06:00,
FRZ-1,2026-09-09 08:00,-17.8
CLR-1,2026-09-09 00:00,
FRZ-1,2026-09-09 02:00,
CLR-1,2026-09-09 08:00,
FRZ-1,2026-09-09 11:00,-18.1
CLR-1,2026-09-09 04:00,
FRZ-1,2026-09-09 07:00,-17.6
CLR-1,2026-09-09 01:00,
FRZ-1,2026-09-09 04:00,
CLR-1,2026-09-09 11:00,5.2
FRZ-1,2026-09-09 01:00,-18.0
CLR-1,2026-09-09 07:00,
FRZ-1,2026-09-09 09:00,
CLR-1,2026-09-09 02:00,3.4
FRZ-1,2026-09-09 06:00,
CLR-1,2026-09-09 09:00,
FRZ-1,2026-09-09 03:00,-17.9
CLR-1,2026-09-09 05:00,
FRZ-1,2026-09-09 10:00,
