delivery,minutes
D0001,-34
D0002,-27
D0003,-23
D0004,-20
D0005,-20
D0006,-18
D0007,-15
D0008,-15
D0009,-15
D0010,-12
D0011,-12
D0012,-10
D0013,-10
D0014,-10
D0015,-9
D0016,-9
D0017,-7
D0018,-7
D0019,-7
D0020,-7
D0021,-6
D0022,-6
D0023,-6
D0024,-5
D0025,-5
D0026,-5
D0027,-5
D0028,-5
D0029,-4
D0030,-4
D0031,-4
D0032,-4
D0033,-3
D0034,-3
D0035,-3
D0036,-3
D0037,-3
D0038,-3
D0039,-2
D0040,-2
D0041,-2
D0042,-2
D0043,-2
D0044,-1
D0045,-1
D0046,-1
D0047,-1
D0048,-1
D0049,-1
D0050,-1
D0051,0
D0052,0
D0053,0
D0054,0
D0055,0
D0056,0
D0057,0
D0058,0
D0059,1
D0999,12.5
D0060,1
D0061,1
D0062,1
D0063,1
D0064,1
D0065,2
D0066,2
D0067,2
D0068,2
D0069,2
D0070,2
D0071,2
D0072,3
D0073,3
D0074,3
D0075,3
D0076,3
D0077,4
D0078,4
D0079,4
D0080,4
D0081,4
D0082,4
D0083,5
D0084,5
D0085,5
D0086,5
D0087,6
D0088,6
D0089,6
D0090,6
D0091,6
D0092,7
D0093,7
D0094,7
D0095,8
D0096,8
D0097,8
D0098,8
D0099,9
D0100,9
D0101,10
D0102,10
D0103,10
D0104,10
D0105,11
D0106,11
D0107,11
D0108,12
D0109,12
D0110,14
D0111,14
D0112,16
D0113,16
D0114,18
D0115,19
D0116,20
D0117,20
D0118,22
D0119,25
D0120,28
D0121,31
D0122,35
D0123,38
D0124,72
D0125,95
D0126,181
