endpoint,request_ts,duration_ms
/api/search,2026-08-20 08:01:12,64
/api/login,2026-08-20 08:03:45,36
/api/search,2026-08-20 08:15:30,900
/api/login,2026-08-20 08:22:10,30
/api/search,2026-08-20 08:40:05,48
/api/export,2026-08-20 09:02:51,1400
/api/search,2026-08-20 09:10:44,80
/api/login,2026-08-20 09:18:22,42
/api/search,2026-08-20 09:33:07,100
/api/search,2026-08-20 09:47:56,40
/api/login,2026-08-20 10:05:33,250
/api/search,2026-08-20 10:12:19,84
/api/search,2026-08-20 10:26:48,52
/api/export,2026-08-20 10:41:02,2000
/api/search,2026-08-20 10:58:36,150
/api/login,2026-08-20 11:04:15,38
/api/search,2026-08-20 11:21:53,72
/api/search,2026-08-20 11:39:41,88
/api/login,2026-08-20 11:52:28,44
/api/search,2026-08-20 12:07:14,60
/api/search,2026-08-20 12:24:37,400
/api/login,2026-08-20 12:38:59,34
/api/search,2026-08-20 12:55:21,92
/api/export,2026-08-20 13:11:46,1200
/api/search,2026-08-20 13:28:03,56
/api/login,2026-08-20 13:44:18,46
/api/search,2026-08-20 13:59:52,80
/api/search,2026-08-20 14:16:29,110
/api/login,2026-08-20 14:31:07,40
/api/search,2026-08-20 14:47:44,44
/api/search,2026-08-20 15:03:16,96
/api/export,2026-08-20 15:20:38,1600
/api/search,2026-08-20 15:36:55,68
/api/login,2026-08-20 15:52:12,32
/api/search,2026-08-20 16:08:27,120
/api/login,2026-08-20 16:25:49,50
