period_id,customer,starts_on,ends_on
8,Kestrel Media,2026-06-01,2026-07-31
1,Brightside Dental,2026-01-01,2026-03-31
13,Northcliff Studio,2026-03-04,2026-03-04
5,Harbour Freight Co,2026-05-01,2026-07-15
16,Selkirk Bakery,2026-07-01,2026-07-31
3,Brightside Dental,2026-06-15,2026-08-31
10,Northcliff Studio,2026-03-02,2026-03-02
6,Kestrel Media,2026-02-01,2026-09-30
14,Northcliff Studio,2026-03-05,2026-03-05
2,Brightside Dental,2026-04-01,2026-06-30
9,Kestrel Media,2026-10-05,2026-11-30
11,Northcliff Studio,2026-03-03,2026-03-03
4,Harbour Freight Co,2026-01-15,2026-02-28
15,Northcliff Studio,2026-03-06,2026-03-06
7,Kestrel Media,2026-04-01,2026-04-30
12,Northcliff Studio,2026-03-04,2026-03-04
