month,customer,mrr
2025-01,ANNAPOLIS-EYE-CARE,159.00
2025-01,BAYVIEW-PHYSIO,129.00
2025-01,CITADEL-OPTICAL,99.00
2025-01,DARTMOUTH-CHIRO,159.00
2025-01,FAIRVIEW-FAMILY-MED,310.75
2025-01,HARBOUR-DENTAL,249.00
2025-01,MAPLE-LEAF-AUDIOLOGY,75.00
2025-01,NORTH-END-VET,189.50
2025-01,SOUTH-SHORE-DERM,420.00
2025-02,ANNAPOLIS-EYE-CARE,159.00
2025-02,BAYVIEW-PHYSIO,129.00
2025-02,CITADEL-OPTICAL,99.00
2025-02,DARTMOUTH-CHIRO,159.00
2025-02,FAIRVIEW-FAMILY-MED,310.75
2025-02,HARBOUR-DENTAL,249.00
2025-02,LUNENBURG-DENTAL,115.00
2025-02,MAPLE-LEAF-AUDIOLOGY,75.00
2025-02,NORTH-END-VET,189.50
2025-02,SOUTH-SHORE-DERM,420.00
2025-03,ANNAPOLIS-EYE-CARE,159.00
2025-03,BAYVIEW-PHYSIO,129.00
2025-03,CITADEL-OPTICAL,99.00
2025-03,FAIRVIEW-FAMILY-MED,280.75
2025-03,HARBOUR-DENTAL,249.00
2025-03,KEMPT-ROAD-CLINIC,199.00
2025-03,LUNENBURG-DENTAL,115.00
2025-03,MAPLE-LEAF-AUDIOLOGY,75.00
2025-03,NORTH-END-VET,189.50
2025-03,SOUTH-SHORE-DERM,420.00
2025-04,ANNAPOLIS-EYE-CARE,159.00
2025-04,BAYVIEW-PHYSIO,129.00
2025-04,CITADEL-OPTICAL,99.00
2025-04,FAIRVIEW-FAMILY-MED,280.75
2025-04,HARBOUR-DENTAL,249.00
2025-04,KEMPT-ROAD-CLINIC,199.00
2025-04,LUNENBURG-DENTAL,115.00
2025-04,MAPLE-LEAF-AUDIOLOGY,75.00
2025-04,SOUTH-SHORE-DERM,420.00
2025-05,ANNAPOLIS-EYE-CARE,159.00
2025-05,BAYVIEW-PHYSIO,129.00
2025-05,CITADEL-OPTICAL,99.00
2025-05,FAIRVIEW-FAMILY-MED,280.75
2025-05,HARBOUR-DENTAL,249.00
2025-05,KEMPT-ROAD-CLINIC,199.00
2025-05,MAPLE-LEAF-AUDIOLOGY,75.00
2025-05,SOUTH-SHORE-DERM,420.00
2025-06,BAYVIEW-PHYSIO,129.00
2025-06,BEDFORD-PEDIATRICS,139.00
2025-06,CITADEL-OPTICAL,99.00
2025-06,DARTMOUTH-CHIRO,159.00
2025-06,FAIRVIEW-FAMILY-MED,280.75
2025-06,HARBOUR-DENTAL,249.00
2025-06,KEMPT-ROAD-CLINIC,199.00
2025-06,MAPLE-LEAF-AUDIOLOGY,75.00
2025-06,SOUTH-SHORE-DERM,420.00
2025-07,BAYVIEW-PHYSIO,129.00
2025-07,BEDFORD-PEDIATRICS,139.00
2025-07,DARTMOUTH-CHIRO,159.00
2025-07,FAIRVIEW-FAMILY-MED,280.75
2025-07,HARBOUR-DENTAL,249.00
2025-07,KEMPT-ROAD-CLINIC,249.00
2025-07,KEMPT-ROAD-CLINIC,50.00
2025-07,MAPLE-LEAF-AUDIOLOGY,75.00
2025-07,SOUTH-SHORE-DERM,420.00
2025-08,BAYVIEW-PHYSIO,129.00
2025-08,BEDFORD-PEDIATRICS,139.00
2025-08,DARTMOUTH-CHIRO,159.00
2025-08,FAIRVIEW-FAMILY-MED,280.75
2025-08,HARBOUR-DENTAL,349.00
2025-08,KEMPT-ROAD-CLINIC,249.00
2025-08,SOUTH-SHORE-DERM,420.00
2025-09,BAYVIEW-PHYSIO,129.00
2025-09,BEDFORD-PEDIATRICS,139.00
2025-09,DARTMOUTH-CHIRO,159.00
2025-09,FAIRVIEW-FAMILY-MED,280.75
2025-09,HARBOUR-DENTAL,349.00
2025-09,KEMPT-ROAD-CLINIC,249.00
2025-09,SOUTH-SHORE-DERM,315.00
2025-09,WOLFVILLE-WELLNESS,89.00
2025-10,BAYVIEW-PHYSIO,129.00
2025-10,BEDFORD-PEDIATRICS,139.00
2025-10,CITADEL-OPTICAL,149.00
2025-10,DARTMOUTH-CHIRO,159.00
2025-10,FAIRVIEW-FAMILY-MED,280.75
2025-10,HARBOUR-DENTAL,349.00
2025-10,KEMPT-ROAD-CLINIC,249.00
2025-10,SOUTH-SHORE-DERM,315.00
2025-10,WOLFVILLE-WELLNESS,89.00
2025-11,BAYVIEW-PHYSIO,129.00
2025-11,BEDFORD-PEDIATRICS,139.00
2025-11,CITADEL-OPTICAL,149.00
2025-11,DARTMOUTH-CHIRO,159.00
2025-11,FAIRVIEW-FAMILY-MED,330.75
2025-11,HARBOUR-DENTAL,349.00
2025-11,KEMPT-ROAD-CLINIC,249.00
2025-11,LUNENBURG-DENTAL,99.00
2025-11,SOUTH-SHORE-DERM,315.00
2025-11,WOLFVILLE-WELLNESS,89.00
2025-12,BAYVIEW-PHYSIO,129.00
2025-12,BEDFORD-PEDIATRICS,139.00
2025-12,CITADEL-OPTICAL,149.00
2025-12,DARTMOUTH-CHIRO,159.00
2025-12,FAIRVIEW-FAMILY-MED,330.75
2025-12,HARBOUR-DENTAL,349.00
2025-12,KEMPT-ROAD-CLINIC,249.00
2025-12,LUNENBURG-DENTAL,99.00
2025-12,SOUTH-SHORE-DERM,315.00
2025-12,TRURO-MEDICAL,219.00
