call_id,started_at,ended_at
109,2026-09-08 11:05,2026-09-08 11:17
102,2026-09-08 09:10,2026-09-08 09:34
106,2026-09-08 10:12,2026-09-08 10:48
112,2026-09-08 13:00,2026-09-08 13:45
110,2026-09-08 11:05,2026-09-08 11:26
108,2026-09-08 10:25,2026-09-08 10:52
119,2026-09-08 14:52,2026-09-08 15:00
113,2026-09-08 13:10,2026-09-08 13:30
103,2026-09-08 09:55,2026-09-08 10:40
105,2026-09-08 10:05,2026-09-08 10:30
118,2026-09-08 14:45,2026-09-08 15:15
120,2026-09-08 15:40,2026-09-08 16:05
114,2026-09-08 13:20,2026-09-08 14:00
107,2026-09-08 10:18,2026-09-08 10:36
115,2026-09-08 13:30,2026-09-08 13:50
117,2026-09-08 14:40,2026-09-08 15:05
111,2026-09-08 11:40,2026-09-08 12:06
116,2026-09-08 14:30,2026-09-08 15:10
101,2026-09-08 09:05,2026-09-08 09:20
104,2026-09-08 10:02,2026-09-08 10:25
