product,snapshot_date,price
cold-brew,2026-07-01,6.50
beans-340,2026-07-01,14.00
oat-milk,2026-07-01,3.25
cold-brew,2026-07-04,6.50
beans-340,2026-07-04,14.00
oat-milk,2026-07-04,3.25
cold-brew,2026-07-08,6.50
beans-340,2026-07-08,14.00
oat-milk,2026-07-08,3.25
cold-brew,2026-07-11,6.50
beans-340,2026-07-11,15.50
oat-milk,2026-07-11,3.25
cold-brew,2026-07-15,6.95
beans-340,2026-07-15,15.50
oat-milk,2026-07-15,3.25
cold-brew,2026-07-18,6.95
beans-340,2026-07-18,15.50
cold-brew,2026-07-22,6.95
beans-340,2026-07-22,14.00
oat-milk,2026-07-22,3.25
cold-brew,2026-07-25,6.95
beans-340,2026-07-25,14.00
oat-milk,2026-07-25,3.25
cold-brew,2026-07-29,6.95
beans-340,2026-07-29,14.00
oat-milk,2026-07-29,3.40
cold-brew,2026-08-01,6.95
beans-340,2026-08-01,14.00
oat-milk,2026-08-01,3.40
