day,part,units
2026-01-01,BATTERY-AA,12
2026-01-01,DUCT-TAPE-2IN,2
2026-01-01,FILTER-20X25,3
2026-01-01,FUSE-15A,1
2026-01-01,GLOVE-NITRILE-L,31
2026-01-01,LED-TUBE-4FT,4
2026-01-01,SHOP-TOWEL,44
2026-01-01,ZIP-TIE-8IN,6
2026-01-02,BATTERY-AA,7
2026-01-02,DUCT-TAPE-2IN,3
2026-01-02,FILTER-20X25,7
2026-01-02,FUSE-15A,2
2026-01-02,GLOVE-NITRILE-L,27
2026-01-02,LED-TUBE-4FT,9
2026-01-02,SHOP-TOWEL,103
2026-01-02,ZIP-TIE-8IN,6
2026-01-03,BATTERY-AA,11
2026-01-03,DUCT-TAPE-2IN,0
2026-01-03,FILTER-20X25,3
2026-01-03,FUSE-15A,1
2026-01-03,GLOVE-NITRILE-L,40
2026-01-03,LED-TUBE-4FT,5
2026-01-03,SHOP-TOWEL,47
2026-01-03,ZIP-TIE-8IN,5
2026-01-04,BATTERY-AA,9
2026-01-04,DUCT-TAPE-2IN,3
2026-01-04,FILTER-20X25,6
2026-01-04,FUSE-15A,2
2026-01-04,GLOVE-NITRILE-L,31
2026-01-04,LED-TUBE-4FT,7
2026-01-04,SHOP-TOWEL,72
2026-01-04,ZIP-TIE-8IN,2
2026-01-05,BATTERY-AA,11
2026-01-05,DUCT-TAPE-2IN,2
2026-01-05,FILTER-20X25,5
2026-01-05,FUSE-15A,0
2026-01-05,GLOVE-NITRILE-L,15
2026-01-05,LED-TUBE-4FT,5
2026-01-05,SHOP-TOWEL,68
2026-01-05,ZIP-TIE-8IN,8
2026-01-06,BATTERY-AA,8
2026-01-06,DUCT-TAPE-2IN,3
2026-01-06,FILTER-20X25,0
2026-01-06,FUSE-15A,3
2026-01-06,GLOVE-NITRILE-L,24
2026-01-06,LED-TUBE-4FT,5
2026-01-06,SHOP-TOWEL,55
2026-01-06,ZIP-TIE-8IN,5
2026-01-07,BATTERY-AA,8
2026-01-07,DUCT-TAPE-2IN,1
2026-01-07,FILTER-20X25,6
2026-01-07,FUSE-15A,0
2026-01-07,GLOVE-NITRILE-L,20
2026-01-07,LED-TUBE-4FT,9
2026-01-07,SHOP-TOWEL,61
2026-01-07,ZIP-TIE-8IN,7
2026-01-08,BATTERY-AA,6
2026-01-08,DUCT-TAPE-2IN,2
2026-01-08,FILTER-20X25,1
2026-01-08,FUSE-15A,1
2026-01-08,GLOVE-NITRILE-L,30
2026-01-08,LED-TUBE-4FT,5
2026-01-08,SHOP-TOWEL,61
2026-01-08,ZIP-TIE-8IN,4
2026-01-09,BATTERY-AA,6
2026-01-09,DUCT-TAPE-2IN,2
2026-01-09,FILTER-20X25,4
2026-01-09,FUSE-15A,0
2026-01-09,GLOVE-NITRILE-L,23
2026-01-09,LED-TUBE-4FT,2
2026-01-09,SHOP-TOWEL,49
2026-01-09,ZIP-TIE-8IN,6
2026-01-10,BATTERY-AA,13
2026-01-10,DUCT-TAPE-2IN,2
2026-01-10,FILTER-20X25,0
2026-01-10,FUSE-15A,3
2026-01-10,GLOVE-NITRILE-L,23
2026-01-10,LED-TUBE-4FT,6
2026-01-10,SHOP-TOWEL,55
2026-01-10,ZIP-TIE-8IN,7
2026-01-11,BATTERY-AA,11
2026-01-11,DUCT-TAPE-2IN,4
2026-01-11,FILTER-20X25,3
2026-01-11,FUSE-15A,0
2026-01-11,GLOVE-NITRILE-L,19
2026-01-11,LED-TUBE-4FT,5
2026-01-11,SHOP-TOWEL,46
2026-01-11,ZIP-TIE-8IN,3
2026-01-12,BATTERY-AA,10
2026-01-12,DUCT-TAPE-2IN,4
2026-01-12,FILTER-20X25,5
2026-01-12,FUSE-15A,1
2026-01-12,GLOVE-NITRILE-L,25
2026-01-12,LED-TUBE-4FT,5
2026-01-12,SHOP-TOWEL,55
2026-01-12,ZIP-TIE-8IN,11
2026-01-13,BATTERY-AA,5
2026-01-13,DUCT-TAPE-2IN,2
2026-01-13,FILTER-20X25,4
2026-01-13,FUSE-15A,1
2026-01-13,GLOVE-NITRILE-L,22
2026-01-13,LED-TUBE-4FT,5
2026-01-13,SHOP-TOWEL,93
2026-01-13,ZIP-TIE-8IN,11
2026-01-14,BATTERY-AA,2
2026-01-14,DUCT-TAPE-2IN,2
2026-01-14,FILTER-20X25,5
2026-01-14,FUSE-15A,3
2026-01-14,GLOVE-NITRILE-L,12
2026-01-14,LED-TUBE-4FT,1
2026-01-14,SHOP-TOWEL,64
2026-01-14,ZIP-TIE-8IN,5
2026-01-15,BATTERY-AA,4
2026-01-15,DUCT-TAPE-2IN,2
