order_id,customer_id,order_date,amount
1,cara,2026-05-02,45.00
2,dev,2026-05-06,45.00
3,eli,2026-05-15,130.00
4,dev,2026-05-20,45.00
5,fay,2026-05-25,50.00
6,gus,2026-05-30,52.50
7,hana,2026-06-05,200.00
8,eli,2026-06-10,130.00
9,fay,2026-06-14,50.00
10,jon,2026-06-15,70.00
11,gus,2026-06-18,52.50
12,ivy,2026-06-20,75.00
13,fay,2026-06-28,50.00
14,gus,2026-07-02,52.50
15,ana,2026-07-05,80.00
16,jon,2026-07-06,70.00
17,ivy,2026-07-08,75.00
18,kim,2026-07-10,80.00
19,hana,2026-07-11,200.00
20,ana,2026-07-12,80.00
21,gus,2026-07-15,52.50
22,ana,2026-07-19,80.00
23,ivy,2026-07-22,75.00
24,kim,2026-07-24,80.00
25,ana,2026-07-26,80.00
26,hana,2026-07-30,100.00
27,ivy,2026-08-01,75.00
28,ana,2026-08-02,80.00
29,jon,2026-08-03,70.00
30,kim,2026-08-05,80.00
31,ivy,2026-08-10,75.00
32,kim,2026-08-12,80.00
33,ana,2026-08-14,80.00
34,jon,2026-08-18,70.00
35,kim,2026-08-19,80.00
36,ana,2026-08-21,80.00
37,kim,2026-08-25,80.00
38,ana,2026-08-28,80.00
