day,sales
2025-11-04,498.25
2025-11-05,561.40
2025-11-06,603.15
2025-11-07,772.80
2025-11-08,1134.55
2025-11-09,846.90
2025-11-11,517.35
2025-11-12,548.70
2025-11-13,621.05
2025-11-14,794.10
2025-11-15,1187.45
2025-11-16,859.20
2025-11-18,506.60
2025-11-19,572.95
2025-11-20,634.40
2025-11-21,808.75
2025-11-23,891.15
2025-11-25,529.80
2025-11-26,583.25
2025-11-27,617.90
2025-11-28,846.35
2025-11-29,1226.70
2025-11-30,902.45
2025-12-02,541.10
2025-12-03,596.85
2025-12-04,652.30
2025-12-05,871.95
2025-12-06,1268.20
2025-12-07,934.65
2025-12-09,568.40
2025-12-10,614.75
2025-12-11,689.10
2025-12-12,917.55
2025-12-13,1342.80
2025-12-14,978.25
2025-12-16,612.95
2025-12-17,671.30
2025-12-18,758.65
2025-12-19,1086.40
2025-12-20,1655.15
2025-12-21,1204.90
2025-12-23,1873.60
2025-12-24,2418.35
2025-12-30,734.20
2025-12-31,1062.85
2026-01-01,388.50
2026-01-02,571.95
2026-01-03,903.15
2026-01-04,716.05
2026-01-06,462.30
2026-01-07,498.65
2026-01-09,683.20
2026-01-10,1015.75
2026-01-11,788.60
