visitor_id,view_ts,page
ana,2026-08-05 09:00:00,/home
ana,2026-08-05 09:05:00,/pricing
ana,2026-08-05 09:12:00,/signup
ana,2026-08-05 10:30:00,/docs
ana,2026-08-05 10:41:00,/docs/api
ben,2026-08-05 13:00:00,/home
ben,2026-08-05 13:29:59,/pricing
ben,2026-08-05 14:00:00,/blog
ben,2026-08-05 14:30:00,/blog/why-we-switched
cai,2026-08-05 19:22:10,/home
eva,2026-08-06 15:20:00,/faq
dee,2026-08-05 23:45:00,/home
dee,2026-08-05 23:58:00,/pricing
eva,2026-08-06 15:00:00,/home
dee,2026-08-06 00:10:00,/signup
dee,2026-08-06 09:00:00,/docs
eva,2026-08-06 15:10:00,/pricing
