character_id,name,epithet,race_id,race,race_category,race_tier,nation_id,nation,relation_to_tempest,debut_arc_id,debut_arc,debut_arc_no,gender,role_title,alignment,status,threat_rank,demon_lord_class,ep_estimate,is_demon_lord,demon_lord_roster,is_true_dragon,skill_count,evolution_steps
1,Rimuru Tempest,The Slime Demon Lord,2,Demon Slime,Monster,Evolved,1,Jura Tempest Federation,Self,1,Reincarnation in the Jura Forest,1,None,Founder and Chancellor of Tempest,Tempest,Alive,Special S,Awakened,251000000,1,Octagram,0,10,1
2,Veldora Tempest,Storm Dragon,27,True Dragon,Dragon,Base,1,Jura Tempest Federation,Self,1,Reincarnation in the Jura Forest,1,Male,Guardian and sworn friend of Rimuru,Tempest,Alive,Special S,None,88126579,0,,1,2,0
3,Benimaru,Flame Lord,6,Kijin,Humanoid,Evolved,1,Jura Tempest Federation,Self,3,War of the Orc Disaster,3,Male,Supreme Commander of Tempest's forces,Tempest,Alive,Special S,None,40000000,0,,0,2,2
4,Shuna,Princess of the Oni,6,Kijin,Humanoid,Evolved,1,Jura Tempest Federation,Self,3,War of the Orc Disaster,3,Female,Head of the Production Department,Tempest,Alive,A+,None,,0,,0,2,1
5,Shion,Battle Secretary,36,Wicked Oni,Humanoid,Evolved,1,Jura Tempest Federation,Self,3,War of the Orc Disaster,3,Female,Chief Secretary and bodyguard,Tempest,Revived,Special A,None,4229140,0,,0,2,2
6,Souei,,6,Kijin,Humanoid,Evolved,1,Jura Tempest Federation,Self,3,War of the Orc Disaster,3,Male,Spymaster,Tempest,Alive,Special A,None,1281162,0,,0,3,1
7,Hakurou,Sword Saint,6,Kijin,Humanoid,Evolved,1,Jura Tempest Federation,Self,3,War of the Orc Disaster,3,Male,Sword instructor,Tempest,Alive,Special A,None,60000,0,,0,1,1
8,Kurobe,,6,Kijin,Humanoid,Evolved,1,Jura Tempest Federation,Self,3,War of the Orc Disaster,3,Male,Master blacksmith,Tempest,Alive,A,None,,0,,0,0,1
9,Rigurd,,4,Hobgoblin,Humanoid,Evolved,1,Jura Tempest Federation,Self,1,Reincarnation in the Jura Forest,1,Male,Prime Minister,Tempest,Alive,A,None,,0,,0,0,1
10,Gobta,,4,Hobgoblin,Humanoid,Evolved,1,Jura Tempest Federation,Self,1,Reincarnation in the Jura Forest,1,Male,Captain of the Goblin Riders,Tempest,Alive,A,None,,0,,0,0,1
11,Ranga,Storm Fang,10,Tempest Star Wolf,Monster,Evolved,1,Jura Tempest Federation,Self,1,Reincarnation in the Jura Forest,1,Male,Rimuru's guardian beast,Tempest,Alive,Special A,None,4340084,0,,0,1,2
12,Gabiru,,12,Dragonewt,Dragon,Evolved,1,Jura Tempest Federation,Self,3,War of the Orc Disaster,3,Male,Head of the flying corps and research,Tempest,Alive,A,None,,0,,0,1,1
13,Souka,,12,Dragonewt,Dragon,Evolved,1,Jura Tempest Federation,Self,3,War of the Orc Disaster,3,Female,Souei's lieutenant,Tempest,Alive,A,None,,0,,0,0,1
14,Geld,,14,High Orc,Monster,Evolved,1,Jura Tempest Federation,Self,3,War of the Orc Disaster,3,Male,Chief of construction and defence,Tempest,Alive,Special A,None,2378749,0,,0,0,2
15,Diablo,"Noir, the Black Primordial",24,Primordial Demon,Demon,Evolved,1,Jura Tempest Federation,Self,7,The Falmuth Invasion,7,Male,Rimuru's chief steward,Tempest,Alive,Special S,Awakened,6666666,0,,0,3,1
16,Testarossa,"Blanc, the White Primordial",24,Primordial Demon,Demon,Evolved,1,Jura Tempest Federation,Self,11,The Founding Festival and the Labyrinth,11,Female,Diplomat and executive,Tempest,Alive,Special S,Awakened,3333124,0,,0,0,0
17,Ultima,"Violet, the Purple Primordial",24,Primordial Demon,Demon,Evolved,1,Jura Tempest Federation,Self,11,The Founding Festival and the Labyrinth,11,Female,Executive,Tempest,Alive,Special S,Awakened,2668816,0,,0,0,0
18,Carrera,"Jaune, the Yellow Primordial",24,Primordial Demon,Demon,Evolved,1,Jura Tempest Federation,Self,11,The Founding Festival and the Labyrinth,11,Female,Executive,Tempest,Alive,Special S,Awakened,7013351,0,,0,0,0
19,Ramiris,The Labyrinth,22,Pixie,Spirit,Base,1,Jura Tempest Federation,Self,6,Clayman's Web,6,Female,Demon Lord of the Labyrinth,Ally,Alive,Special A,Self-Proclaimed,,1,Octagram,0,0,0
20,Beretta,,37,Arch Doll,Construct,Evolved,1,Jura Tempest Federation,Self,11,The Founding Festival and the Labyrinth,11,None,Ramiris's guardian,Tempest,Alive,Special A,None,,0,,0,0,0
21,Treyni,,21,Dryad,Spirit,Base,1,Jura Tempest Federation,Self,3,War of the Orc Disaster,3,Female,Dryad of the Great Jura Forest,Ally,Alive,A+,None,,0,,0,0,0
22,Adalmann,,29,Wight,Undead,Evolved,1,Jura Tempest Federation,Self,11,The Founding Festival and the Labyrinth,11,Male,Labyrinth guardian and bishop,Tempest,Alive,Special A,None,,0,,0,0,2
