arc_id,sequence_no,name,ln_volumes,anime_coverage
1,1,Reincarnation in the Jura Forest,Vol 1,Season 1 Part 1
2,2,The Dwarven Kingdom,Vol 1,Season 1 Part 1
3,3,War of the Orc Disaster,Vol 2,Season 1 Part 1
4,4,Founding of the Nation,Vol 3,Season 1 Part 2
5,5,The Teacher and the Otherworlders,Vol 4,Season 1 Part 2
6,6,Clayman's Web,Vol 4-5,Season 2 Part 1
7,7,The Falmuth Invasion,Vol 5,Season 2 Part 1
8,8,The Harvest Festival,Vol 5,Season 2 Part 1
9,9,"Walpurgis, the Demon Lords' Banquet",Vol 5-6,Season 2 Part 2
10,10,Hinata and the Holy Church,Vol 7,Season 3
11,11,The Founding Festival and the Labyrinth,Vol 9,Season 3
12,12,War with the Eastern Empire,Vol 13-14,Season 3
