character_id,character,title,roster,is_awakened,domain,ep_estimate,threat_rank
1,Rimuru Tempest,Demon Lord Rimuru,Octagram,1,Jura Tempest Federation,251000000,Special S
19,Ramiris,Labyrinth,Octagram,0,Tempest Labyrinth,,Special A
31,Milim Nava,Destroyer,Octagram,1,Milim's domain,100000000,Special S
32,Guy Crimson,Mediator,Octagram,1,The frozen north,40000000,Special S
33,Luminous Valentine,Divine Enemy,Octagram,1,Holy Empire of Lubelius,20000000,Special S
34,Leon Cromwell,Platinum Saber,Octagram,0,El Dorado,5000000,Special S
35,Dino,Sleeping Ruler,Octagram,1,Wanderer,2260000,Special S
36,Dagruel,Wicked God,Octagram,1,The giants' land,120000000,Special S
37,Carrion,Beast Master,Former,0,Beast Kingdom of Eurazania,2773537,Special A
41,Frey,Sky Queen,Former,0,The sky domain,,Special A
42,Clayman,Marionette Master,Former,0,Clayman's territory,788842,Special A
