metric_date,orders
2026-07-20,95
2026-07-21,105
2026-07-22,95
2026-07-23,105
2026-07-24,95
2026-07-25,105
2026-07-26,95
2026-07-27,105
2026-07-28,95
2026-07-29,105
2026-07-30,95
2026-07-31,105
2026-08-01,95
2026-08-02,105
2026-08-03,95
2026-08-04,105
2026-08-05,95
2026-08-06,105
2026-08-07,95
2026-08-08,105
2026-08-09,95
2026-08-10,130
2026-08-11,105
2026-08-12,95
2026-08-13,105
2026-08-14,95
2026-08-15,105
2026-08-16,95
2026-08-17,70
2026-08-18,100
2026-08-19,100
2026-08-20,100
2026-08-21,100
2026-08-22,100
2026-08-23,100
2026-08-24,100
2026-08-25,100
2026-08-26,100
2026-08-27,100
2026-08-28,100
2026-08-29,100
2026-08-30,100
2026-08-31,100
2026-09-01,100
