"offence_statute","description","year_convicted","convictions"
"MVA 100D","Cellphone distracted driving","2011","2964"
"MVA 100D","Cellphone distracted driving","2012","3529"
"MVA 100D","Cellphone distracted driving","2013","4319"
"MVA 100D","Cellphone distracted driving","2014","5107"
"MVA 100D","Cellphone distracted driving","2015","4354"
"MVA 100D","Cellphone distracted driving","2016","2664"
"MVA 100D","Cellphone distracted driving","2017","3013"
"MVA 100D","Cellphone distracted driving","2018","2738"
"MVA 100D","Cellphone distracted driving","2019","2613"
"MVA 100D","Cellphone distracted driving","2020","1097"
"MVA 100D","Cellphone distracted driving","2021","980"
"MVA 100D","Cellphone distracted driving","2022","2203"
"MVA 100D","Cellphone distracted driving","2023","2146"
"MVA 100D","Cellphone distracted driving","2024","1564"
"MVA 103(3)","Passing a school bus with red lights flashing","2011","43"
"MVA 103(3)","Passing a school bus with red lights flashing","2012","43"
"MVA 103(3)","Passing a school bus with red lights flashing","2013","47"
"MVA 103(3)","Passing a school bus with red lights flashing","2014","35"
"MVA 103(3)","Passing a school bus with red lights flashing","2015","61"
"MVA 103(3)","Passing a school bus with red lights flashing","2016","69"
"MVA 103(3)","Passing a school bus with red lights flashing","2017","128"
"MVA 103(3)","Passing a school bus with red lights flashing","2018","67"
"MVA 103(3)","Passing a school bus with red lights flashing","2019","63"
"MVA 103(3)","Passing a school bus with red lights flashing","2020","29"
"MVA 103(3)","Passing a school bus with red lights flashing","2021","57"
"MVA 103(3)","Passing a school bus with red lights flashing","2022","60"
"MVA 103(3)","Passing a school bus with red lights flashing","2023","98"
"MVA 103(3)","Passing a school bus with red lights flashing","2024","61"
