commodity,fiscal_year,farms,year_total_farms,share_pct,prev_year_farms,yoy_change_farms,yoy_pct
Apple,2015-2016,91,2601,3.5,,,
Apple,2016-2017,23,2442,0.94,91,-68,-74.73
Apple,2017-2018,25,2585,0.97,23,2,8.7
Apple,2020-2021,188,2669,7.04,,,
Apple,2021-2022,76,1983,3.83,188,-112,-59.57
Apple,2022-2023,66,1832,3.6,76,-10,-13.16
Apple,2023-2024,78,2032,3.84,66,12,18.18
Apple,2024-2025,73,1882,3.88,78,-5,-6.41
Beef,2015-2016,612,2601,23.53,,,
Beef,2016-2017,92,2442,3.77,612,-520,-84.97
Beef,2017-2018,96,2585,3.71,92,4,4.35
Beef,2018-2019,90,2583,3.48,96,-6,-6.25
Beef,2019-2020,91,2459,3.7,90,1,1.11
Beef,2020-2021,186,2669,6.97,91,95,104.4
Beef,2021-2022,446,1983,22.49,186,260,139.78
Beef,2022-2023,421,1832,22.98,446,-25,-5.61
Beef,2023-2024,450,2032,22.15,421,29,6.89
Beef,2024-2025,431,1882,22.9,450,-19,-4.22
Blueberries,2015-2016,415,2601,15.96,,,
Blueberries,2016-2017,30,2442,1.23,415,-385,-92.77
Blueberries,2017-2018,29,2585,1.12,30,-1,-3.33
Blueberries,2018-2019,36,2583,1.39,29,7,24.14
Blueberries,2019-2020,36,2459,1.46,36,0,0.0
Blueberries,2020-2021,48,2669,1.8,36,12,33.33
Breeding Horses,2015-2016,29,2601,1.11,,,
Breeding Horses,2016-2017,44,2442,1.8,29,15,51.72
Breeding Horses,2017-2018,32,2585,1.24,44,-12,-27.27
Breeding Horses,2018-2019,40,2583,1.55,32,8,25.0
Breeding Horses,2019-2020,36,2459,1.46,40,-4,-10.0
Breeding Horses,2020-2021,160,2669,5.99,36,124,344.44
Chicken,2015-2016,88,2601,3.38,,,
Chicken,2016-2017,236,2442,9.66,88,148,168.18
Chicken,2017-2018,226,2585,8.74,236,-10,-4.24
Chicken,2018-2019,234,2583,9.06,226,8,3.54
Chicken,2019-2020,210,2459,8.54,234,-24,-10.26
Chicken,2020-2021,358,2669,13.41,210,148,70.48
Chicken,2021-2022,73,1983,3.68,358,-285,-79.61
Chicken,2022-2023,64,1832,3.49,73,-9,-12.33
Chicken,2023-2024,90,2032,4.43,64,26,40.63
Chicken/Turkey,2024-2025,84,1882,4.46,,,
Christmas Tree,2015-2016,25,2601,0.96,,,
Christmas Tree,2016-2017,49,2442,2.01,25,24,96.0
Christmas Tree,2017-2018,50,2585,1.93,49,1,2.04
Christmas Tree,2018-2019,46,2583,1.78,50,-4,-8.0
Christmas Tree,2019-2020,43,2459,1.75,46,-3,-6.52
Christmas Tree,2020-2021,3,2669,0.11,43,-40,-93.02
Christmas Tree,2021-2022,28,1983,1.41,3,25,833.33
Christmas Tree,2022-2023,36,1832,1.97,28,8,28.57
Christmas Tree,2023-2024,43,2032,2.12,36,7,19.44
Christmas Tree,2024-2025,32,1882,1.7,43,-11,-25.58
Cranberries,2021-2022,28,1983,1.41,,,
Custom Work,2015-2016,42,2601,1.61,,,
Custom Work,2016-2017,215,2442,8.8,42,173,411.9
Custom Work,2017-2018,228,2585,8.82,215,13,6.05
