year,type_of_business,recipients,sbig_recipients,sbrsg_recipients,pct_of_recipients
2020,Restaurant with onsite dining,1125,1000,1006,26.61
2020,Personal care service,710,622,651,16.8
2020,Self-regulated health professional,543,506,513,12.85
2020,Unregulated health professional,456,413,425,10.79
2020,Dental office,241,0,241,5.7
2020,Fitness establishment,233,200,220,5.51
2020,Small retail,209,0,209,4.94
2020,Drinking establishment,163,128,154,3.86
2020,"Live, performing arts for audience",141,121,120,3.34
2020,In-person trade shows and exhibitions,135,113,122,3.19
2020,Not for profit,127,127,100,3.0
2020,Charity,62,61,52,1.47
2020,Independent gas retail,52,0,52,1.23
2020,Veterinarian,30,29,21,0.71
