county,waterbody,waterbody_type,species,stocking_year,stocking_events,fish_released,avg_length_cm,avg_weight_g
Annapolis,ANNAPOLIS RIVER BRICKTON BRIDGE,River,Brook Trout,1990,1,500,12.5,22.0
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,Brook Trout,1992,1,2000,14.0,45.0
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,Brook Trout,1994,1,10000,14.5,33.0
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,Brook Trout,1995,2,7200,17.0,56.0
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,Brook Trout,1998,1,3360,20.0,62.5
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,Brook Trout,1999,1,5000,12.5,20.0
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,Brook Trout,2000,1,1000,22.5,120.0
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,Brook Trout,2002,1,1000,20.0,100.0
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,Brook Trout,2003,2,102800,11.25,50.25
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,Brook Trout,2004,1,5000,17.5,100.0
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,Brook Trout,2005,1,1866,20.0,75.0
Annapolis,ANNAPOLIS RIVER BRIDGETOWN,River,Brook Trout,2006,1,100000,5.0,2.0
Annapolis,ANNAPOLIS RIVER CARLTON RD BRIDGE,River,Brook Trout,1990,1,500,12.5,22.0
Annapolis,ANNAPOLIS RIVER KINGSTON BRIDGE,River,Brook Trout,1990,1,750,12.5,22.0
Annapolis,ANNAPOLIS RIVER KINGSTON BRIDGE,River,Brook Trout,1991,1,500,12.0,23.0
Annapolis,ANNAPOLIS RIVER KINGSTON BRIDGE,River,Brook Trout,1993,1,1200,16.7,57.0
Annapolis,ANNAPOLIS RIVER LAWRENCETOWN BRIDGE,River,Brook Trout,1990,1,500,12.5,22.0
Annapolis,ANNAPOLIS RIVER LAWRENCETOWN BRIDGE,River,Brook Trout,1998,2,4650,16.5,46.0
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,Brook Trout,1989,1,500,14.5,35.0
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,Brook Trout,1990,1,750,12.5,22.0
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,Brook Trout,1991,1,500,12.0,23.0
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,Brook Trout,1992,2,3200,16.25,60.5
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,Brook Trout,1993,2,2207,15.9,56.5
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,Brook Trout,1998,1,2250,18.0,67.0
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,Brook Trout,2005,1,150000,5.0,0.5
Annapolis,ANNAPOLIS RIVER MIDDLETON,River,Brook Trout,2011,1,2000,12.5,30.0
Annapolis,ANNAPOLIS RIVER ROUTE 201 BRIDGE,River,Brook Trout,1990,1,500,12.5,22.0
Annapolis,BIG LAHAVE,Lake,Brook Trout,1976,1,502,17.7,59.0
Annapolis,BIG LAHAVE,Lake,Brook Trout,1977,1,535,18.8,151.0
Annapolis,BIG LAHAVE,Lake,Brook Trout,1988,1,5000,14.0,30.0
Annapolis,BIG LAHAVE,Lake,Brook Trout,2000,2,1781,17.5,80.0
Annapolis,BIG LAHAVE,Lake,Brook Trout,2001,1,2000,22.5,100.0
Annapolis,BIG LAHAVE,Lake,Brook Trout,2002,1,2000,18.0,50.0
Annapolis,BIG LAHAVE,Lake,Brook Trout,2003,1,2333,16.0,60.0
Annapolis,BIG LAHAVE,Lake,Brook Trout,2004,1,3000,20.5,100.0
Annapolis,BIG LAHAVE,Lake,Brook Trout,2005,1,4000,20.0,50.0
Annapolis,BIG LAHAVE,Lake,Brook Trout,2006,1,2000,15.0,50.0
Annapolis,BIG LAHAVE,Lake,Brook Trout,2008,1,2000,12.5,35.0
Annapolis,BLACK,Brook,Brook Trout,1989,1,500,14.5,35.0
Annapolis,BLACK,Brook,Brook Trout,1990,1,500,12.5,22.0
Annapolis,BLACK,Brook,Brook Trout,1991,2,2000,12.0,23.0
Annapolis,BLACK,Brook,Brook Trout,1993,1,1100,16.7,57.0
Annapolis,BLACK,Brook,Brook Trout,1998,1,10000,4.0,
Annapolis,BLACK,Brook,Brook Trout,2004,1,150000,4.0,0.5
Annapolis,BOOT,Lake,Brook Trout,1976,1,503,16.5,54.0
Annapolis,BOOT,Lake,Brook Trout,1977,2,1501,16.6,58.5
Annapolis,BOOT,Lake,Brook Trout,1978,1,750,22.5,161.0
Annapolis,BOOT,Lake,Brook Trout,1981,1,2212,10.7,18.0
Annapolis,BOOT,Lake,Brook Trout,1982,1,2215,18.0,45.0
Annapolis,BOOT,Lake,Brook Trout,1983,1,1996,14.6,34.0
Annapolis,BOOT,Lake,Brook Trout,1984,1,1600,13.6,28.0
Annapolis,BOOT,Lake,Brook Trout,1985,1,1601,14.1,31.0
Annapolis,BOOT,Lake,Brook Trout,1986,1,2001,15.1,37.0
Annapolis,BOOT,Lake,Brook Trout,1987,1,2000,14.0,27.0
Annapolis,BOOT,Lake,Brook Trout,1988,1,2000,14.0,30.0
Annapolis,BOOT,Lake,Brook Trout,1989,1,2000,14.0,30.0
Annapolis,BOOT,Lake,Brook Trout,1990,1,2000,10.5,13.0
Annapolis,BOOT,Lake,Brook Trout,1991,1,3000,12.0,18.0
Annapolis,BOOT,Lake,Brook Trout,1993,1,3040,15.5,45.0
Annapolis,BOOT,Lake,Brook Trout,1994,1,4200,16.5,50.0
Annapolis,BOOT,Lake,Brook Trout,1995,2,3570,19.5,90.5
Annapolis,BOOT,Lake,Brook Trout,1997,1,7200,12.0,22.0
Annapolis,BOOT,Lake,Brook Trout,1998,1,2800,17.5,50.0
Annapolis,BOOT,Lake,Brook Trout,1999,1,5000,12.5,20.0
Annapolis,BOOT,Lake,Brook Trout,2000,1,1500,18.0,75.0
Annapolis,BOOT,Lake,Brook Trout,2019,1,400,28.0,282.0
Annapolis,BOOT,Lake,Brook Trout,2020,1,275,28.0,335.0
Annapolis,BURBIDGE,Brook,Brook Trout,1989,1,500,14.5,35.0
Annapolis,BURBIDGE,Brook,Brook Trout,1991,1,500,12.0,23.0
Annapolis,BURBIDGE,Brook,Brook Trout,1993,1,500,15.5,64.0
Annapolis,BURBIDGE,Brook,Brook Trout,1998,1,10000,4.0,
Annapolis,CADY,Lake,Brook Trout,1983,1,3993,14.6,34.0
Annapolis,CADY,Lake,Brook Trout,1984,1,3200,13.6,28.0
Annapolis,CADY,Lake,Brook Trout,1985,1,2999,14.1,31.0
Annapolis,CADY,Lake,Brook Trout,1986,1,1500,15.1,37.0
Annapolis,CONNELL,Lake,Brook Trout,1980,1,2002,15.1,54.0
Annapolis,CONNELL,Lake,Brook Trout,2008,1,600,20.0,100.0
Annapolis,CONNELL,Lake,Brook Trout,2011,1,1000,20.0,100.0
