aadt_rank,section_id,highway,section,county,section_description,section_length_km,current_year,current_aadt,prior_year,prior_aadt,yoy_growth_pct,growth_rank,capacity_threshold,over_capacity
1,102030,102,30,HFX,EXIT 2 (KEARNEY LAKE RD INTER/C) TO EXIT 2B (LARRY UTECK BLVD),1.98,2025,35600,2024,36500,-2.47,152,10000,true
2,101020,101,20,HFX,TK 1 OVERPASS (LOWER SACKVILLE) TO EXIT 2 (RTE 354 INTER/C),3.71,2025,33700,2024,22400,50.45,6,10000,true
3,111020,111,20,HFX,EXIT 4 (HWY 118 INTER/C) TO EXIT 5 (MIC MAC BLVD),0.91,2022,33200,2016,43540,-4.42,,10000,true
4,111015,111,15,HFX,EXIT 2 (VICTORIA RD INTER/C) TO EXIT 3 (BURNSIDE DR INTER/C),1.18,2024,32500,2023,31300,3.83,82,10000,true
5,102015,102,15,HFX,EXIT 1 (NORTH WEST ARM DR INTER/C) TO EXIT 1A (HWY 103 INTER/C),0.82,2024,32400,2023,30400,6.58,47,10000,true
6,102040,102,40,HFX,EXIT 3 (RTE 213 INTER/C) TO EXIT 4 (HWY 101 INTER/C),3.81,2025,31600,2024,32200,-1.86,149,10000,true
7,118025,118,25,HFX,EXIT 13 (HWY 107 INTER/C) TO HWY 102 INTER/C,9.39,2023,30790,2022,30790,0.0,131,10000,true
8,111030,111,30,HFX,"EXIT 6 (TK 7 MAIN ST, RTE 318) TO EXIT 7 (RTE 207 PORTLAND ST)",1.79,2025,30400,2024,30100,1.0,122,10000,true
9,111018,111,18,HFX,EXIT 3 (BURNSIDE DR INTER/C) TO EXIT 4 (HWY 118 INTER/C),1.51,2025,29800,2024,30300,-1.65,148,10000,true
10,102020,102,20,HFX,EXIT 1A (HWY 103 INTER/C) TO EXIT 2A (BAYER'S LAKE INTER/C),2.37,2025,29600,2024,30000,-1.33,145,10000,true
11,111025,111,25,HFX,"EXIT 5 (MIC MAC BLVD) TO EXIT 6 (TK 7 MAIN ST, RTE 318)",0.61,2022,29420,2016,41270,-5.48,,10000,true
12,102025,102,25,HFX,EXIT 2A (BAYER'S LAKE INTER/C) TO EXIT 2 (KEARNEY LAKE INTER/C),3.22,2025,29400,2024,33000,-10.91,171,10000,true
13,102010,102,10,HFX,JOSEPH HOWE DR TO EXIT 1 (NORTH WEST ARM DR INTER/C),1.38,2022,27400,2021,52600,-47.91,192,10000,true
14,102035,102,35,HFX,EXIT 2B (LARRY UTECK BLVD) TO EXIT 3 (RTE 213 INTER/C),3.05,2022,26000,2020,12300,45.39,7,10000,true
