"license_number","license_type","establishment","street_address","city_town","province","postal_code","location"
"000769","Eating Establishment","Five Fisherman Dining Room","1740 Argyle ST","Halifax","NS","B3J 2B6","1740 Argyle ST
Halifax, NS B3J 2B6
(44.6479, -63.57523)"
"000774","Eating Establishment","Admiral Digby Inn","441 Shore RD","Digby","NS","B0V 1A0","441 Shore RD
Digby, NS B0V 1A0
(44.64603, -65.75758)"
"000775","Lounge","Top Deck Lounge","441 Shore RD","Digby","NS","B0V 1A0","441 Shore RD
Digby, NS B0V 1A0
(44.64603, -65.75758)"
"000782","Eating Establishment","Bell Buoy Restaurant","536 Chebucto ST","Baddeck","NS","B0E 1B0","536 Chebucto ST
Baddeck, NS B0E 1B0
(46.10107, -60.74775)"
"000787","Eating Establishment","Aurora Inn (Kingston)","831 Main ST","Kingston","NS","B0P 1R0","831 Main ST
Kingston, NS B0P 1R0
(44.99211, -64.93826)"
"000795","Eating Establishment","Smitty's Pancake House (Halifax)","1490 Cathedral LN","Halifax","NS","B3H 4L4","1490 Cathedral LN
Halifax, NS B3H 4L4
(44.64189, -63.58027)"
"000796","Special Premises","LaHave River Yacht Club","77 Pernette RD","Pleasantville","NS","B4V 2W8","77 Pernette RD
Pleasantville, NS B4V 2W8
(44.31126, -64.40896)"
"000801","Eating Establishment","The Lower Deck","1869 Upper Water ST","Halifax","NS","B3J 1S9","1869 Upper Water ST
Halifax, NS B3J 1S9
(44.65001, -63.57356)"
"000813","Eating Establishment","Armview Grill Restaurant","7156 Chebucto RD","Halifax","NS","B3L 1N4","7156 Chebucto RD
Halifax, NS B3L 1N4
(44.64239, -63.61989)"
"000817","Lounge","Harbour City Bar","1990 Barrington ST","Halifax","NS","B3J 1P2","1990 Barrington ST
Halifax, NS B3J 1P2
(44.65081, -63.57676)"
"000823","Eating Establishment","China Palace","213 Bedford Hwy.","Halifax","NS","B3M 2J9","213 Bedford Hwy.
Halifax, NS B3M 2J9
(44.676, -63.64774)"
"000827","Eating Establishment","Chow Family Restaurant","344 Prince ST","Truro","NS","B2N 1E2","344 Prince ST
Truro, NS B2N 1E2
(45.36682, -63.29646)"
"000828","Eating Establishment","Clansman Dining Room","9 Baird ST","North Sydney","NS","B2A 2M3","9 Baird ST
North Sydney, NS B2A 2M3
(46.21397, -60.27098)"
"000832","Eating Establishment","Cove Motel & Dining Room","227 Cove RD","Auld's Cove","NS","B0H 1P0","227 Cove RD
Auld's Cove, NS B0H 1P0
(44.73001, -62.82638)"
"000835","Eating Establishment","Gold House Restaurant","105 Wentworth RD","Windsor","NS","B0N 2T0","105 Wentworth RD
Windsor, NS B0N 2T0
(44.99102, -64.12391)"
"000840","Eating Establishment","Joe's Food Emporium Dining Room","434 Main ST","Wolfville","NS","B4P 1E2","434 Main ST
Wolfville, NS B4P 1E2
(45.09148, -64.36208)"
"000841","Eating Establishment","Esquire Restaurant","772 Bedford Highway","Bedford","NS","B4A 1A2","772 Bedford Highway
Bedford, NS B4A 1A2
(44.70806, -63.6666)"
"000843","Eating Establishment","Fong's Restaurant","1241 Cole Harbour RD","Dartmouth","NS","B2V 1N1","1241 Cole Harbour RD
Dartmouth, NS B2V 1N1
(44.67261, -63.47946)"
"000848","Lounge","The Bridgewater Local Public House","421 LaHave ST","Bridgewater","NS","B4V 2W7","421 LaHave ST
Bridgewater, NS B4V 2W7
(44.37752, -64.51538)"
"000849","Eating Establishment","Goodwin Hotel","4616 Highway #1","Weymouth","NS","B0W 3T0","4616 Highway #1
Weymouth, NS B0W 3T0
(44.41103, -65.99603)"
"000850","Eating Establishment","Greco Family Restaurant","245 Robie ST","Truro","NS","B2N 1L2","245 Robie ST
Truro, NS B2N 1L2
(45.37051, -63.30295)"
"000854","Eating Establishment","Sushi Fang","7 Kentucky CT","New Minas","NS","B4N 4N1","7 Kentucky CT
New Minas, NS B4N 4N1
(45.07044, -64.47276)"
"000861","Eating Establishment","Inverary Inn Dining Room","368 Shore RD","Baddeck","NS","B0E 1B0","368 Shore RD
Baddeck, NS B0E 1B0
(46.09673, -60.75745)"
"000868","Eating Establishment","The Bistro on Prince","437 Prince ST","Truro","NS","B2N 1E6","437 Prince ST
Truro, NS B2N 1E6
(45.36663, -63.28973)"
"000874","Eating Establishment","Keg Dining Room- Halifax","1712 Market ST","Halifax","NS","B3J 2E3","1712 Market ST
Halifax, NS B3J 2E3
(44.64708, -63.57621)"
"000876","Eating Establishment","Ko's Restaurant","434 King ST","Bridgewater","NS","B4V 1A9","434 King ST
Bridgewater, NS B4V 1A9
(44.37598, -64.51692)"
"000878","Eating Establishment","Lakes Cafe","4932 Cabot Trail","North East Margaree","NS","B0E 2H0","4932 Cabot Trail
North East Margaree, NS B0E 2H0
(46.28116, -60.96476)"
"000880","Eating Establishment","Look Ho Ho Restaurant","6420 Bayers RD","Halifax","NS","B3L 2B1","6420 Bayers RD
Halifax, NS B3L 2B1
(44.65458, -63.6108)"
"000881","Eating Establishment","Kai Brady's Fancy Dive Bar","5675 Spring Garden RD","Halifax","NS","B3J 1G9","5675 Spring Garden RD
Halifax, NS B3J 1G9
(44.64249, -63.57901)"
"000882","Lounge","Kai Brady's Fancy Dive Bar","5675 Spring Garden RD","Halifax","NS","B3J 1G9","5675 Spring Garden RD
Halifax, NS B3J 1G9
(44.64249, -63.57901)"
"000888","Eating Establishment","McKelvie's Dining Room","1680 Lower Water ST","Halifax","NS","B3J 2Y3","1680 Lower Water ST
Halifax, NS B3J 2Y3
(44.6477, -63.57142)"
"000900","Eating Establishment","Mother Webb's Steak House","4788 Highway #104 Trans.","Antigonish Co.","NS","B2G 2L4","4788 Highway #104 Trans.
Antigonish Co., NS B2G 2L4
(45.59555, -61.906)"
"000938","Eating Establishment","Oak and Oar Eatery","36 Treasure DR","Western Shore","NS","B0J 3M0","36 Treasure DR
Western Shore, NS B0J 3M0
(44.52088, -64.30845)"
"000939","Lounge","3 Sheets Lounge","36 Treasure DR","Western Shore","NS","B0J 3M0","36 Treasure DR
Western Shore, NS B0J 3M0
(44.52088, -64.30845)"
"000943","Eating Establishment","Peking Restaurant","355 Charlotte ST","Sydney","NS","B1P 1Z1","355 Charlotte ST
Sydney, NS B1P 1Z1
(46.1373, -60.19443)"
"000945","Eating Establishment","Digby Pines Golf Resort & Spa","103 Shore RD","Digby","NS","B0V 1A0","103 Shore RD
Digby, NS B0V 1A0
(44.63453, -65.75835)"
"000947","Special Premises","Digby Pines Golf Resort and Spa","103 Shore RD","Digby","NS","B0V 1A0","103 Shore RD
Digby, NS B0V 1A0
(44.63453, -65.75835)"
"000949","Eating Establishment","Pizza Delight (Antigonish)","348 Main ST","Antigonish","NS","B2G 2C5","348 Main ST
Antigonish, NS B2G 2C5
(45.62222, -61.99423)"
"000951","Eating Establishment","Country Kitchen Restaurant","388 Highway #4","Port Hastings","NS","B9A 1M5","388 Highway #4
Port Hastings, NS B9A 1M5
(45.64075, -61.38815)"
"000955","Eating Establishment","The Hidden Gem Restaurant","60 Sky BL","Goffs","NS","B2T 1K3","60 Sky BL
Goffs, NS B2T 1K3
(44.8752, -63.5347)"
"000956","Lounge","The Hidden Gem Restaurant","60 Sky BL","Goffs","NS","B2T 1K3","60 Sky BL
Goffs, NS B2T 1K3
(44.8752, -63.5347)"
"000957","Special Premises","Airport Hotel","60 Sky BL","Goffs","NS","B2T 1K3","60 Sky BL
Goffs, NS B2T 1K3
(44.8752, -63.5347)"
"000960","Eating Establishment","Rope Loft Dining Room","36 Water ST","Chester","NS","B0J 1J0","36 Water ST
Chester, NS B0J 1J0
(44.54901, -64.23002)"
"000962","Eating Establishment","Silver Dragon Restaurant","2827 Robie ST","Halifax","NS","B3K 4P3","2827 Robie ST
Halifax, NS B3K 4P3
(44.65774, -63.59944)"
"000963","Eating Establishment","Sunnyside Too Restaurant","1552 Bedford Highway","Bedford","NS","B4A 1E4","1552 Bedford Highway
Bedford, NS B4A 1E4
(44.73267, -63.65683)"
