community,community_total_licenses,community_rank,license_type,type_count,type_share_pct,is_dominant_type
Halifax,603,1,Eating Establishment,337,55.9,1
Halifax,603,1,Lounge,144,23.9,0
Halifax,603,1,Special Premises,86,14.3,0
Halifax,603,1,Club,17,2.8,0
Halifax,603,1,Beverage Room,8,1.3,0
Halifax,603,1,Cabaret,8,1.3,0
Halifax,603,1,Military,3,0.5,0
Dartmouth,209,2,Eating Establishment,119,56.9,1
Dartmouth,209,2,Lounge,48,23.0,0
Dartmouth,209,2,Special Premises,24,11.5,0
Dartmouth,209,2,Club,12,5.7,0
Dartmouth,209,2,Beverage Room,5,2.4,0
Dartmouth,209,2,Military,1,0.5,0
Sydney,106,3,Eating Establishment,44,41.5,1
Sydney,106,3,Lounge,24,22.6,0
Sydney,106,3,Special Premises,21,19.8,0
Sydney,106,3,Club,14,13.2,0
Sydney,106,3,Beverage Room,1,0.9,0
Sydney,106,3,Cabaret,1,0.9,0
Sydney,106,3,Military,1,0.9,0
Truro,67,4,Eating Establishment,35,52.2,1
Truro,67,4,Lounge,13,19.4,0
Truro,67,4,Special Premises,10,14.9,0
Truro,67,4,Club,7,10.4,0
Truro,67,4,Beverage Room,2,3.0,0
Bedford,64,5,Eating Establishment,43,67.2,1
Bedford,64,5,Special Premises,10,15.6,0
Bedford,64,5,Lounge,8,12.5,0
Bedford,64,5,Club,2,3.1,0
Bedford,64,5,Cabaret,1,1.6,0
Yarmouth,41,6,Eating Establishment,19,46.3,1
Yarmouth,41,6,Special Premises,9,22.0,0
Yarmouth,41,6,Lounge,8,19.5,0
Yarmouth,41,6,Club,5,12.2,0
New Glasgow,40,7,Eating Establishment,16,40.0,1
New Glasgow,40,7,Lounge,9,22.5,0
New Glasgow,40,7,Special Premises,8,20.0,0
New Glasgow,40,7,Club,6,15.0,0
New Glasgow,40,7,Beverage Room,1,2.5,0
Wolfville,38,8,Eating Establishment,14,36.8,1
Wolfville,38,8,Special Premises,11,28.9,0
Wolfville,38,8,Lounge,9,23.7,0
Wolfville,38,8,Club,4,10.5,0
Antigonish,36,9,Eating Establishment,16,44.4,1
Antigonish,36,9,Special Premises,9,25.0,0
Antigonish,36,9,Club,5,13.9,0
Antigonish,36,9,Lounge,5,13.9,0
Antigonish,36,9,Cabaret,1,2.8,0
Bridgewater,36,9,Eating Establishment,18,50.0,1
Bridgewater,36,9,Special Premises,9,25.0,0
Bridgewater,36,9,Lounge,6,16.7,0
Bridgewater,36,9,Club,2,5.6,0
Bridgewater,36,9,Cabaret,1,2.8,0
Lower Sackville,34,10,Eating Establishment,19,55.9,1
Lower Sackville,34,10,Club,6,17.6,0
Lower Sackville,34,10,Lounge,5,14.7,0
Lower Sackville,34,10,Special Premises,3,8.8,0
Lower Sackville,34,10,Beverage Room,1,2.9,0
