"region","region_type","year","net_property_taxes_and_payments_in_lieu_of_taxes","assessable_property_taxes_net_of_school_board_appropriations_corrections_housing_deficits_","grants_in_lieu_of_taxes","services_provided_to_other_governments","sales_of_services","other_revenue_from_own_sources","unconditional_transfers_from_other_governments","conditional_transfers_from_other_governments","conditional_transfers_from_federal_or_provincial_governments_or_agencies","conditional_transfers_from_other_local_governments","total_revenues","general_government_services","protective_services","transportation_services","environmental_health_services","public_health_services","environmental_development_services","recreation_and_cultural_services","extraordinary_or_special_items","total_expenditures","operating_surplus_deficit_before_financing_and_transfers","total_financing_and_transfers","annual_surplus_deficit_"
"Amherst","Town","2013-14",,"11287658","304454","243369","998679","564367","1238943",,"395532","0","15033002","2020572","5322900","2229674","1472270","211031","789034","1548403","0","13593884",,,
"Annapolis","Rural Municipality","2013-14",,"9115062","296810","0","836819","628086","766057",,"6856","11946","11661636","2617843","3026648","1147415","1798572","37778","329536","1225345","0","10183137",,,
"Annapolis Royal","Town","2013-14",,"1181254","55213","0","79690","46960","71045",,"113927","0","1548089","322945","489653","146673","142601","17159","141244","48414","0","1308689",,,
"Antigonish","Rural Municipality","2013-14",,"7823339","384198","0","1287938","363749","143510",,"0","0","10002734","2735071","2664559","278209","1945795","158529","295442","985642","0","9063247",,,
"Antigonish","Town","2013-14",,"4042051","885618","149444","476358","178128","198385",,"0","0","5929984","641678","2033421","1073053","862710","57747","320856","603130","0","5592595",,,
"Argyle","Rural Municipality","2013-14",,"4655884","180600","1200","0","333715","153306",,"94905","0","5419610","1454320","1452041","434943","804519","166400","304275","489418","0","5105916",,,
"Barrington","Rural Municipality","2013-14",,"4230857","137184","191280","297544","390692","183162",,"84647","0","5515366","1407686","1262234","244202","1108483","70564","258555","732406","0","5084130",,,
"Berwick","Town","2013-14",,"2871297","9716","188682","162997","65784","269651",,"0","30020","3598147","999803","863288","649407","595114","16595","110148","253758","0","3488113",,,
"Bridgetown","Town","2013-14",,"1111311","27172","92747","6091","61496","206125",,"6615","28019","1539576","283988","375173","230609","152508","30728","86492","116817","0","1276315",,,
"Bridgewater","Town","2013-14",,"13775889","802824","0","532526","401917","435932",,"350475","4000","16303563","1862840","5299768","2443976","1774253","205040","371110","1979662","0","13936649",,,
"CBRM","Regional Municipality","2013-14",,"87304087","5575548","187548","10160391","3156339","15653202",,"2096012","0","124133127","16634424","41955716","29616571","14674037","1795245","997300","9667107","0","115340400",,,
"Chester","Rural Municipality","2013-14",,"9431386","145813","0","2673758","773811","125294",,"126792","77998","13354852","2657064","2563713","540926","3332507","22219","743895","919369","-7384","10772309",,,
"Clare","Rural Municipality","2013-14",,"4667808","146075","424974","0","539530","294893",,"206310","0","6279590","1260426","1598150","109075","1523240","575375","400195","680819","0","6147280",,,
"Clark's Harbour","Town","2013-14",,"819743","32630","0","0","53746","187241",,"2545","0","1095905","291928","199174","88406","248406","29816","39343","92182","0","989255",,,
"Colchester","Rural Municipality","2013-14",,"23099215","877816","1141998","423287","8272805","944182",,"575077","459310","35793690","4563436","8187727","1206441","9639794","260943","357730","1768319","0","25984390",,,
"Cumberland","Rural Municipality","2013-14",,"11922617","308726","0","0","560102","864267",,"42835","0","13698547","2894639","4793581","407051","2413292","218422","507532","353023","0","11587540",,,
"Digby","Rural Municipality","2013-14",,"5439357","136762","62548","75476","319286","384899",,"7397","5000","6430725","1284829","2079158","663251","958119","42637","236363","399513","0","5663870",,,
"Digby","Town","2013-14",,"2779070","438882","175300","101978","155317","373277",,"5171","2500","4031495","685784","1275476","775101","605566","63819","108012","300219","0","3813977",,,
"East Hants","Rural Municipality","2013-14",,"18854865","178295","0","824547","1359387","185268",,"188486","0","21590848","4848873","6387321","1117456","3673810","63769","1138400","1373404","0","18603033",,,
"Guysborough","Rural Municipality","2013-14",,"6414823","281183","22369","5034512","2987796","314361",,"212921","0","15267965","2854562","2720072","410953","2397057","73721","546269","951275","0","9953909",,,
"Hantsport","Town","2013-14",,"1590594","8505","172788","13503","77341","89950",,"15417","3589","1971687","377901","538490","453653","182666","26960","21286","135878","0","1736834",,,
"HRM","Regional Municipality","2013-14",,"550187287","36414481","0","75594718","25712987","1580487",,"8580700","0","698070660","93509896","187403388","165852900","46848426","2568551","19824262","71208348","17653500","604869271",,,
"Inverness","Rural Municipality","2013-14",,"8281961","358671","276455","198915","368030","549736",,"66036","0","10099804","1996861","2635399","770035","2436136","166047","496567","604758","249420","9355223",,,
"Kentville","Town","2013-14",,"7862676","510023","171538","878347","1378347","129466",,"201187","0","11131584","1347267","3338424","2169712","1449804","90676","563253","1157469","0","10116605",,,
"Kings","Rural Municipality","2013-14",,"25684100","2929400","1236200","595500","928900","283100",,"113700","78300","31849200","5111900","9903200","3194900","7187800","199900","1585800","1810000","0","28993500",,,
"Lockeport","Town","2013-14",,"792881","15155","44917","33403","72976","160182",,"57780","0","1177294","292248","196550","156870","177788","13232","83646","150766","0","1071100",,,
"Lunenburg","Rural Municipality","2013-14",,"16572642","191066","32717","89112","2547842","79946",,"68023","0","19581348","4042066","3797721","1206590","3224004","34263","1198816","2352141","0","15855601",,,
"Lunenburg","Town","2013-14",,"3960231","226305","0","277550","233606","69224",,"31043","183712","4981671","458783","1386187","898781","1022614","67457","259266","610615","0","4703703",,,
"Mahone Bay","Town","2013-14",,"1702863","21249","119142","8378","124789","50020",,"11000","0","2037441","367839","477652","279224","261886","20446","89581","52723","0","1549351",,,
"Middleton","Town","2013-14",,"2433918","158535","131286","172032","103507","337129",,"39803","0","3376210","573700","864443","540556","343944","52583","187051","345515","0","2907792",,,
"Mulgrave","Town","2013-14",,"1364443","4917","0","745","135123","155563",,"47473","0","1708264","377957","392247","283875","224918","13451","0","238208","0","1530656",,,
"New Glasgow","Town","2013-14",,"13449028","75646","710844","89852","619232","1040319",,"1579","0","15986500","1814458","6129542","2918529","1537689","203569","271576","1693889","0","14569252",,,
"Oxford","Town","2013-14",,"1785379","60874","52872","0","80578","184941",,"111586","0","2276230","318311","766445","415629","180397","61328","44929","232644","0","2019683",,,
"Parrsboro","Town","2013-14",,"1242704","10703","87728","271341","50281","398704",,"31444","0","2092905","552805","556983","545118","70807","50665","69397","155226","0","2001001",,,
"Pictou","Town","2013-14",,"3511504","311393","29852","296448","330824","593760",,"20200","26000","5119981","691786","1373043","1024565","642195","182622","296471","545747","0","4756429",,,
"Pictou","Rural Municipality","2013-14",,"12508558","191661","31249","0","619708","466772",,"0","0","13817948","3052349","5641935","588178","2417001","83107","201868","470956","0","12455394",,,
"Port Hawkesbury","Town","2013-14",,"4566861","735196","241598","1008227","482729","277546",,"84203","126078","7522438","1060698","1383261","1122566","687082","51253","73313","1991104","0","6369277",,,
"Region of Queens","Regional Municipality","2013-14",,"8861054","323274","1604542","2651718","797254","1136146",,"143700","0","15517688","1670320","2994291","2254244","2893795","1368400","732662","1803542","0","13717254",,,
"Richmond","Rural Municipality","2013-14",,"8737432","141214","0","165000","612506","0",,"54563","0","9710715","3166434","2473973","594709","1820211","9175","1038429","778743","0","9881674",,,
"Shelburne","Rural Municipality","2013-14",,"3913108","206486","0","21372","257104","60924",,"0","0","4458994","1166095","1170876","242132","702194","12685","107329","282927","3400","3687638",,,
"Shelburne","Town","2013-14",,"2134562","33603","42406","13422","187641","367265",,"0","2500","2781399","567596","773599","474591","395020","81418","107057","184711","0","2583992",,,
"Springhill","Town","2013-14",,"2567878","1829709","59876","694880","456965","854430",,"0","0","6463738","1670627","2395524","1201897","557392","139308","41835","897354","0","6903937",,,
"Stellarton","Town","2013-14",,"5733846","145866","0","222586","87809","506636",,"104635","0","6801378","802073","1906698","1378855","697748","54630","295369","668922","0","5804295",,,
"Stewiacke","Town","2013-14",,"1522074","5538","0","34419","118916","198973",,"29395","0","1909315","471172","309677","399186","194114","26778","21085","193425","0","1615437",,,
