year,region,region_type,total_revenues,total_expenditures,operating_surplus,surplus_rank_in_year,deficit_rank_in_year,municipalities_in_year,prior_year_surplus,yoy_surplus_change,years_observed,mean_surplus
2023-24,HRM,Regional Municipality,1003070000.00,877603000.00,125467000.00,1,48,48,120056315.00,5410685.00,11,109318362.18
2023-24,Colchester,Rural Municipality,44166679.00,34323058.00,9843621.00,2,47,48,7091423.00,2752198.00,11,6800685.64
2023-24,CBRM,Regional Municipality,155380665.00,146667618.00,8713047.00,3,46,48,4254476.00,4458571.00,11,11093602.91
2023-24,Kings,Rural Municipality,46277224.00,37907924.00,8369300.00,4,45,48,3409000.00,4960300.00,11,4042118.91
2023-24,Bridgewater,Town,25398282.00,19290790.00,6107492.00,5,44,48,4440243.00,1667249.00,11,3400597.09
2023-24,Truro,Town,31715688.00,26200180.00,5515508.00,6,43,48,4139811.00,1375697.00,11,3407846.73
2023-24,Lunenburg,Rural Municipality,27381184.00,22691011.00,4690173.00,7,42,48,4993629.00,-303456.00,11,3721159.00
2023-24,East Hants,Rural Municipality,35645526.00,31427625.00,4217901.00,8,41,48,4766800.00,-548899.00,11,3645911.45
2023-24,Chester,Rural Municipality,21475845.00,17521505.00,3954340.00,9,40,48,7074260.00,-3119920.00,11,4852153.00
2023-24,Annapolis,Rural Municipality,19782383.00,16517744.00,3264639.00,10,39,48,2154029.00,1110610.00,10,1651513.20
2023-24,Region of Queens,Regional Municipality,22845125.00,19844877.00,3000248.00,11,38,48,1967565.00,1032683.00,11,2183759.91
2023-24,Yarmouth,Rural Municipality,12687191.00,10030759.00,2656432.00,12,37,48,3759146.00,-1102714.00,11,1984770.09
2023-24,West Hants,Regional Municipality,25942125.00,23722286.00,2219839.00,13,36,48,4168723.00,-1948884.00,4,3139427.50
2023-24,Wolfville,Town,12455588.00,10301909.00,2153679.00,14,35,48,1429411.00,724268.00,11,1645764.73
2023-24,Amherst,Town,18996494.00,17006672.00,1989822.00,15,34,48,1544265.00,445557.00,11,2144410.55
2023-24,Lunenburg,Town,8858648.00,6885043.00,1973605.00,16,33,48,1434115.00,539490.00,11,938186.64
2023-24,Yarmouth,Town,18485621.00,16513199.00,1972422.00,17,32,48,1491593.00,480829.00,11,1857293.18
2023-24,Kentville,Town,15062135.00,13226292.00,1835843.00,18,31,48,1276302.00,559541.00,11,1432950.82
2023-24,New Glasgow,Town,20733100.00,18994483.00,1738617.00,19,30,48,1980995.00,-242378.00,11,1908272.09
2023-24,Richmond,Rural Municipality,11770340.00,10139117.00,1631223.00,20,29,48,1133596.00,497627.00,11,796076.73
2023-24,Antigonish,Town,9991325.00,8438713.00,1552612.00,21,28,48,1484946.00,67666.00,11,907816.55
2023-24,Antigonish,Rural Municipality,15216918.00,13791026.00,1425892.00,22,27,48,1612149.00,-186257.00,11,1512730.27
2023-24,Clare,Rural Municipality,9148410.00,7941121.00,1207289.00,23,26,48,430324.00,776965.00,11,625905.82
2023-24,Pictou,Town,7366861.00,6223580.00,1143281.00,24,25,48,616530.00,526751.00,11,728850.91
2023-24,Digby,Rural Municipality,9611238.00,8474202.00,1137036.00,25,24,48,645743.00,491293.00,11,686157.55
2023-24,Port Hawkesbury,Town,8396996.00,7290501.00,1106495.00,26,23,48,1071597.00,34898.00,11,1122229.09
2023-24,Cumberland,Rural Municipality,27984861.00,26994937.00,989924.00,27,22,48,2218183.00,-1228259.00,11,2165833.18
2023-24,Victoria,Rural Municipality,12761853.00,11961802.00,800051.00,28,21,48,655410.00,144641.00,11,693702.36
2023-24,Guysborough,Rural Municipality,13105860.00,12348857.00,757003.00,29,20,48,453919.00,303084.00,11,3132924.09
2023-24,Barrington,Rural Municipality,8865755.00,8192933.00,672822.00,30,19,48,500225.00,172597.00,11,495126.36
2023-24,Pictou,Rural Municipality,19880316.00,19287269.00,593047.00,31,18,48,89134.00,503913.00,11,1377444.82
2023-24,Argyle,Rural Municipality,7891231.00,7304838.00,586393.00,32,17,48,360854.00,225539.00,11,405755.64
2023-24,Berwick,Town,5720398.00,5196626.00,523772.00,33,16,48,373888.00,149884.00,11,506043.91
2023-24,Annapolis Royal,Town,2505719.00,2001677.00,504042.00,34,15,48,-74039.00,578081.00,11,236345.36
2023-24,Trenton,Town,4965829.00,4486923.00,478906.00,35,14,48,420857.00,58049.00,11,389872.09
2023-24,Shelburne,Rural Municipality,7455382.00,6981665.00,473717.00,36,13,48,332593.00,141124.00,11,534062.09
2023-24,Oxford,Town,2698338.00,2242884.00,455454.00,37,12,48,738317.00,-282863.00,11,308403.64
2023-24,Clark's Harbour,Town,1537305.00,1154392.00,382913.00,38,11,48,196381.00,186532.00,11,164798.27
2023-24,Stellarton,Town,8091425.00,7712305.00,379120.00,39,10,48,32610.00,346510.00,11,657259.55
2023-24,Shelburne,Town,3860483.00,3493660.00,366823.00,40,9,48,344268.00,22555.00,11,285320.82
2023-24,Westville,Town,4688081.00,4352301.00,335780.00,41,8,48,260971.00,74809.00,11,401276.27
2023-24,Middleton,Town,4049508.00,3760523.00,288985.00,42,7,48,484472.00,-195487.00,11,410094.18
2023-24,Stewiacke,Town,3327167.00,3070578.00,256589.00,43,6,48,503920.00,-247331.00,11,461085.82
2023-24,Lockeport,Town,1488892.00,1366097.00,122795.00,44,5,48,1532.00,121263.00,11,99294.27
2023-24,Mulgrave,Town,2230076.00,2131415.00,98661.00,45,4,48,66160.00,32501.00,11,212548.64
2023-24,Digby,Town,4936961.00,4914512.00,22449.00,46,3,48,133029.00,-110580.00,11,353559.00
2023-24,St. Mary's,Rural Municipality,3208994.00,3215925.00,-6931.00,47,2,48,15551.00,-22482.00,11,52473.64
2023-24,Inverness,Rural Municipality,17842632.00,19016678.00,-1174046.00,48,1,48,-822692.00,-351354.00,11,771788.00
2022-23,HRM,Regional Municipality,946690655.00,826634340.00,120056315.00,1,49,49,100320000.00,19736315.00,11,109318362.18
2022-23,Colchester,Rural Municipality,39753944.00,32662521.00,7091423.00,2,48,49,8653659.00,-1562236.00,11,6800685.64
2022-23,Chester,Rural Municipality,23034656.00,15960396.00,7074260.00,3,47,49,7275808.00,-201548.00,11,4852153.00
2022-23,Lunenburg,Rural Municipality,25025346.00,20031717.00,4993629.00,4,46,49,2154729.00,2838900.00,11,3721159.00
2022-23,East Hants,Rural Municipality,33412996.00,28646196.00,4766800.00,5,45,49,4896746.00,-129946.00,11,3645911.45
2022-23,Bridgewater,Town,22226710.00,17786467.00,4440243.00,6,44,49,4294264.00,145979.00,11,3400597.09
2022-23,CBRM,Regional Municipality,143403223.00,139148747.00,4254476.00,7,43,49,24019303.00,-19764827.00,11,11093602.91
2022-23,West Hants,Regional Municipality,25549601.00,21380878.00,4168723.00,8,42,49,4342169.00,-173446.00,4,3139427.50
2022-23,Truro,Town,29124813.00,24985002.00,4139811.00,9,41,49,5661823.00,-1522012.00,11,3407846.73
2022-23,Yarmouth,Rural Municipality,12507891.00,8748745.00,3759146.00,10,40,49,2083902.00,1675244.00,11,1984770.09
2022-23,Kings,Rural Municipality,40438010.00,37029010.00,3409000.00,11,39,49,3686700.00,-277700.00,11,4042118.91
2022-23,Cumberland,Rural Municipality,25541096.00,23322913.00,2218183.00,12,38,49,5927761.00,-3709578.00,11,2165833.18
2022-23,Annapolis,Rural Municipality,17964721.00,15810692.00,2154029.00,13,37,49,3250422.00,-1096393.00,10,1651513.20
2022-23,New Glasgow,Town,19079300.00,17098305.00,1980995.00,14,36,49,3073800.00,-1092805.00,11,1908272.09
2022-23,Region of Queens,Regional Municipality,20632145.00,18664580.00,1967565.00,15,35,49,4194290.00,-2226725.00,11,2183759.91
2022-23,Antigonish,Rural Municipality,13434098.00,11821949.00,1612149.00,16,34,49,1980533.00,-368384.00,11,1512730.27
2022-23,Amherst,Town,17061862.00,15517597.00,1544265.00,17,33,49,3391681.00,-1847416.00,11,2144410.55
2022-23,Yarmouth,Town,16714689.00,15223096.00,1491593.00,18,32,49,1961502.00,-469909.00,11,1857293.18
2022-23,Antigonish,Town,9397718.00,7912772.00,1484946.00,19,31,49,1928375.00,-443429.00,11,907816.55
2022-23,Lunenburg,Town,7867643.00,6433528.00,1434115.00,20,30,49,1192408.00,241707.00,11,938186.64
2022-23,Wolfville,Town,11063606.00,9634195.00,1429411.00,21,29,49,1566291.00,-136880.00,11,1645764.73
2022-23,Kentville,Town,13847133.00,12570831.00,1276302.00,22,28,49,1435359.00,-159057.00,11,1432950.82
2022-23,Richmond,Rural Municipality,11097226.00,9963630.00,1133596.00,23,27,49,954015.00,179581.00,11,796076.73
2022-23,Port Hawkesbury,Town,7949362.00,6877765.00,1071597.00,24,26,49,1471730.00,-400133.00,11,1122229.09
2022-23,Oxford,Town,2914192.00,2175875.00,738317.00,25,25,49,594961.00,143356.00,11,308403.64
2022-23,Victoria,Rural Municipality,11563552.00,10908142.00,655410.00,26,24,49,1355339.00,-699929.00,11,693702.36
2022-23,Digby,Rural Municipality,8630117.00,7984374.00,645743.00,27,23,49,907201.00,-261458.00,11,686157.55
2022-23,Pictou,Town,6124564.00,5508034.00,616530.00,28,22,49,968105.00,-351575.00,11,728850.91
2022-23,Stewiacke,Town,2695160.00,2191240.00,503920.00,29,21,49,617108.00,-113188.00,11,461085.82
2022-23,Barrington,Rural Municipality,7808225.00,7308000.00,500225.00,30,20,49,661118.00,-160893.00,11,495126.36
2022-23,Mahone Bay,Town,3318946.00,2830923.00,488023.00,31,19,49,663620.00,-175597.00,10,531705.90
2022-23,Middleton,Town,3731213.00,3246741.00,484472.00,32,18,49,583803.00,-99331.00,11,410094.18
2022-23,Guysborough,Rural Municipality,12477237.00,12023318.00,453919.00,33,17,49,2279907.00,-1825988.00,11,3132924.09
2022-23,Clare,Rural Municipality,8286551.00,7856227.00,430324.00,34,16,49,659787.00,-229463.00,11,625905.82
2022-23,Trenton,Town,4485691.00,4064834.00,420857.00,35,15,49,842402.00,-421545.00,11,389872.09
2022-23,Berwick,Town,5059230.00,4685342.00,373888.00,36,14,49,791026.00,-417138.00,11,506043.91
2022-23,Argyle,Rural Municipality,7076844.00,6715990.00,360854.00,37,13,49,566786.00,-205932.00,11,405755.64
2022-23,Shelburne,Town,3635364.00,3291096.00,344268.00,38,12,49,623661.00,-279393.00,11,285320.82
2022-23,Shelburne,Rural Municipality,6518640.00,6186047.00,332593.00,39,11,49,1243727.00,-911134.00,11,534062.09
2022-23,Westville,Town,4267633.00,4006662.00,260971.00,40,10,49,854545.00,-593574.00,11,401276.27
2022-23,Clark's Harbour,Town,1357562.00,1161181.00,196381.00,41,9,49,299733.00,-103352.00,11,164798.27
2022-23,Digby,Town,4614822.00,4481793.00,133029.00,42,8,49,613405.00,-480376.00,11,353559.00
2022-23,Pictou,Rural Municipality,18127277.00,18038143.00,89134.00,43,7,49,1659979.00,-1570845.00,11,1377444.82
2022-23,Mulgrave,Town,2124454.00,2058294.00,66160.00,44,6,49,260024.00,-193864.00,11,212548.64
2022-23,Stellarton,Town,7446779.00,7414169.00,32610.00,45,5,49,1027575.00,-994965.00,11,657259.55
2022-23,St. Mary's,Rural Municipality,2898331.00,2882780.00,15551.00,46,4,49,135649.00,-120098.00,11,52473.64
2022-23,Lockeport,Town,1316801.00,1315269.00,1532.00,47,3,49,171774.00,-170242.00,11,99294.27
2022-23,Annapolis Royal,Town,2277711.00,2351750.00,-74039.00,48,2,49,451969.00,-526008.00,11,236345.36
2022-23,Inverness,Rural Municipality,15869403.00,16692095.00,-822692.00,49,1,49,1474034.00,-2296726.00,11,771788.00
2021-22,HRM,Regional Municipality,878413000.00,778093000.00,100320000.00,1,49,49,156329473.00,-56009473.00,11,109318362.18
2021-22,CBRM,Regional Municipality,152898842.00,128879539.00,24019303.00,2,48,49,13687741.00,10331562.00,11,11093602.91
2021-22,Colchester,Rural Municipality,37312838.00,28659179.00,8653659.00,3,47,49,9280305.00,-626646.00,11,6800685.64
