vendor_rank,vendor_display,vendor_key,award_count,total_awarded,pct_of_total,cumulative_awarded,cumulative_pct,reaches_80pct_set,is_repeat_vendor
1,DEXTER CONSTRUCTION CO. LTD.,DEXTER CONSTRUCTION,1842,3316547348.26,17.9121,3316547348.26,17.9121,true,true
2,DEXTER NOVA ALLIANCE,DEXTER NOVA ALLIANCE,1,717915205.00,3.8773,4034462553.26,21.7894,true,false
3,NOVA CONSTRUCTION CO. LTD.,NOVA CONSTRUCTION,220,477586261.43,2.5794,4512048814.69,24.3687,true,true
4,RFSQ MULTIPLE VENDORS; RFP Cerner Canada ULC,RFSQ MULTIPLE VENDORS RFP CERNER CANADA,1,365000000.00,1.9713,4877048814.69,26.3400,true,false
5,PCL Constructors Canada Inc.,PCL CONSTRUCTORS CANADA,30,352614093.00,1.9044,5229662907.69,28.2444,true,true
6,S.W. WEEKS CONTRACTING INC.,S W WEEKS CONTRACTING,195,310073760.31,1.6747,5539736668.00,29.9191,true,true
7,Brycon Construction,BRYCON CONSTRUCTION,83,278709724.55,1.5053,5818446392.55,31.4243,true,true
8,Avondale Construction,AVONDALE CONSTRUCTION,156,269743148.39,1.4568,6088189540.94,32.8812,true,true
9,EllisDon Infrastructure Healthcare,ELLISDON INFRASTRUCTURE HEALTHCARE,1,259400000.00,1.4010,6347589540.94,34.2822,true,false
10,Bird Construction,BIRD CONSTRUCTION,46,244143107.00,1.3186,6591732647.94,35.6007,true,true
11,ALVA CONSTRUCTION LTD,ALVA CONSTRUCTION,127,191488748.54,1.0342,6783221396.48,36.6349,true,true
12,Brilun Construction Ltd.,BRILUN CONSTRUCTION,249,188814435.29,1.0198,6972035831.77,37.6547,true,true
13,Joneljim Concrete Construction,JONELJIM CONCRETE CONSTRUCTION,54,188452323.72,1.0178,7160488155.49,38.6725,true,true
14,CHAPMAN BROS. CONSTRUCTION LTD.,CHAPMAN BROS CONSTRUCTION,73,188084437.63,1.0158,7348572593.12,39.6883,true,true
15,BASIN CONTRACTING LTD.,BASIN CONTRACTING,259,185654162.07,1.0027,7534226755.19,40.6910,true,true
16,"Sterimax, Pfizer",STERIMAX PFIZER,1,168110769.00,0.9079,7702337524.19,41.5989,true,false
17,NCL - NORTHERN CONTRACTING LIMITED,NCL NORTHERN CONTRACTING,106,164542208.50,0.8887,7866879732.69,42.4876,true,true
18,Nova Bus,NOVA BUS,13,137827590.33,0.7444,8004707323.02,43.2319,true,true
19,Ocean Contractors,OCEAN CONTRACTORS,191,126863660.12,0.6852,8131570983.14,43.9171,true,true
20,Lindsay Construction,LINDSAY CONSTRUCTION,27,115282801.13,0.6226,8246853784.27,44.5397,true,true
21,Fresenius Kabi Canada Ltd.,FRESENIUS KABI CANADA,5,113781407.00,0.6145,8360635191.27,45.1542,true,true
22,MUNICIPAL READY MIX LTD.,MUNICIPAL READY MIX,113,110249463.36,0.5954,8470884654.63,45.7497,true,true
23,ABERDEEN PAVING LTD.,ABERDEEN PAVING,185,109774217.79,0.5929,8580658872.42,46.3425,true,true
24,Zutphen Contractors Inc.,ZUTPHEN CONTRACTORS,55,105616908.70,0.5704,8686275781.12,46.9130,true,true
25,Bird Mechanical Ltd,BIRD MECHANICAL,42,105228450.91,0.5683,8791504232.03,47.4813,true,true
26,Bird Construction Group,BIRD CONSTRUCTION GROUP,41,104213612.88,0.5628,8895717844.91,48.0441,true,true
27,CUMBERLAND PAVING AND CONTRACTING LTD.,CUMBERLAND PAVING AND CONTRACTING,82,99936844.98,0.5397,8995654689.89,48.5839,true,true
28,Please see information below.,PLEASE SEE INFORMATION BELOW,7,99874260.00,0.5394,9095528949.89,49.1233,true,true
29,Joneljim Concrete Construction (1994) Limited,JONELJIM CONCRETE CONSTRUCTION 1994,69,98071720.10,0.5297,9193600669.99,49.6529,true,true
30,MARCO MARITIMES LTD.,MARCO MARITIMES,7,94587858.55,0.5109,9288188528.54,50.1638,true,true
31,CUMBERLAND PAVING & CONTRACTING LTD.,CUMBERLAND PAVING & CONTRACTING,84,91603434.30,0.4947,9379791962.84,50.6585,true,true
32,ATLANTICA MECHANICAL CONTRACTORS INC,ATLANTICA MECHANICAL CONTRACTORS,92,89545622.10,0.4836,9469337584.94,51.1421,true,true
33,ARCP,ARCP,102,84422692.55,0.4560,9553760277.49,51.5981,true,true
34,Cumberland Paving,CUMBERLAND PAVING,93,82273479.50,0.4443,9636033756.99,52.0424,true,true
35,Bell Canada,BELL CANADA,34,77670853.76,0.4195,9713704610.75,52.4619,true,true
36,SteriMax Inc.,STERIMAX,3,76129804.61,0.4112,9789834415.36,52.8731,true,true
37,Sandoz Canada Inc.,SANDOZ CANADA,2,73841850.00,0.3988,9863676265.36,53.2719,true,true
38,Industrial Cold Milling,INDUSTRIAL COLD MILLING,81,73830022.04,0.3987,9937506287.40,53.6706,true,true
39,MARCO GROUP LIMITED,MARCO GROUP,5,72561599.00,0.3919,10010067886.40,54.0625,true,true
40,Northern Contracting Ltd.,NORTHERN CONTRACTING,121,69628424.89,0.3761,10079696311.29,54.4386,true,true
41,Becton Dickinson Canada Inc.,BECTON DICKINSON CANADA,6,69237399.50,0.3739,10148933710.79,54.8125,true,true
42,Balodis Incorporated,BALODIS,32,66671408.15,0.3601,10215605118.94,55.1726,true,true
43,Roscoe Construction,ROSCOE CONSTRUCTION,60,60651249.41,0.3276,10276256368.35,55.5002,true,true
44,RCS CONSTRUCTION,RCS CONSTRUCTION,23,60632985.85,0.3275,10336889354.20,55.8276,true,true
45,NORTHERN CONSTRUCTION INC.,NORTHERN CONSTRUCTION,32,60294196.85,0.3256,10397183551.05,56.1533,true,true
46,Compugen Inc.,COMPUGEN,6,60097268.42,0.3246,10457280819.47,56.4778,true,true
47,Dora Construction,DORA CONSTRUCTION,41,59355313.31,0.3206,10516636132.78,56.7984,true,true
48,PENNECON HEAVY CIVIL LTD,PENNECON HEAVY CIVIL,1,56825845.00,0.3069,10573461977.78,57.1053,true,false
49,Black and McDonald,BLACK AND MCDONALD,18,56000219.85,0.3024,10629462197.63,57.4078,true,true
50,EFR Disposal Ltd.,EFR DISPOSAL,10,55669890.28,0.3007,10685132087.91,57.7084,true,true
51,Black & McDonald Limited,BLACK & MCDONALD,116,54518996.99,0.2944,10739651084.90,58.0029,true,true
52,See Memorandum for award information,SEE MEMORANDUM FOR AWARD INFORMATION,2,53419298.85,0.2885,10793070383.75,58.2914,true,true
53,Flynn Canada,FLYNN CANADA,35,53246508.00,0.2876,10846316891.75,58.5789,true,true
54,Paladin Security Group Ltd,PALADIN SECURITY GROUP,4,51642647.91,0.2789,10897959539.66,58.8579,true,true
55,Carecor Health Services,CARECOR HEALTH SERVICES,1,51124125.00,0.2761,10949083664.66,59.1340,true,false
56,Royal Bank of Canada,ROYAL BANK OF CANADA,3,50640001.00,0.2735,10999723665.66,59.4075,true,true
57,CHAPMAN BROTHERS CONSTRUCTION LTD.,CHAPMAN BROTHERS CONSTRUCTION,26,49177644.75,0.2656,11048901310.41,59.6731,true,true
58,Pomerleau Inc,POMERLEAU,11,49056686.80,0.2649,11097957997.21,59.9380,true,true
59,Mid Valley Construction (1997) Limited,MID VALLEY CONSTRUCTION 1997,66,48277938.09,0.2607,11146235935.30,60.1988,true,true
60,Bond and Coolen Contracting Ltd,BOND AND COOLEN CONTRACTING,10,48241835.00,0.2605,11194477770.30,60.4593,true,true
61,Gary Parker Excavating Ltd,GARY PARKER EXCAVATING,48,47559785.72,0.2569,11242037556.02,60.7162,true,true
62,Compass Group Canada Ltd.,COMPASS GROUP CANADA,4,44203116.02,0.2387,11286240672.04,60.9549,true,true
63,Ellis Don,ELLIS DON,5,43274504.00,0.2337,11329515176.04,61.1886,true,true
64,Nova Truck Centres,NOVA TRUCK CENTRES,25,42040119.98,0.2271,11371555296.02,61.4157,true,true
65,RDL CONSTRUCTION LTD.,RDL CONSTRUCTION,35,41329466.97,0.2232,11412884762.99,61.6389,true,true
66,Harbour Construction Company Limited,HARBOUR CONSTRUCTION,36,41071633.26,0.2218,11453956396.25,61.8607,true,true
67,GREENFIELD CONTRUCTION LTD.,GREENFIELD CONTRUCTION,5,40912428.24,0.2210,11494868824.49,62.0817,true,true
68,Atlantic Bus Corporation,ATLANTIC BUS,1,40000000.00,0.2160,11534868824.49,62.2977,true,false
69,ELLISDON CORPORATION,ELLISDON,15,38947340.49,0.2103,11573816164.98,62.5080,true,true
70,CBCL Limited,CBCL,238,38919331.94,0.2102,11612735496.92,62.7182,true,true
