"year","driver_toxicology_results","frequency","percent_annual","percent_total_all_years","month","sex"
"2015","Total driver deaths","36","100.0",,,
"2016","Total driver deaths","45","100.0",,,
"2017","Total driver deaths","37","100.0",,,
"2018","Total driver deaths","50","100.0",,,
"2019","Total driver deaths","51","100.0",,,
"2020","Total driver deaths","41","100.0",,,
"2021","Total driver deaths","57","100.0",,,
"2022","Total driver deaths","58","100.0",,,
"2023","Total driver deaths","41","100.0",,,
"2024","Total driver deaths","79","100.0",,,
,"Total driver deaths","36",,"7.3","Jan",
,"Total driver deaths","27",,"5.4","Feb",
,"Total driver deaths","28",,"5.7","Mar",
,"Total driver deaths","23",,"4.6","Apr",
,"Total driver deaths","37",,"7.5","May",
,"Total driver deaths","48",,"9.7","Jun",
,"Total driver deaths","44",,"8.9","Jul",
,"Total driver deaths","67",,"13.5","Aug",
,"Total driver deaths","52",,"10.5","Sep",
,"Total driver deaths","52",,"10.5","Oct",
,"Total driver deaths","37",,"7.5","Nov",
,"Total driver deaths","44",,"8.9","Dec",
,"Total driver deaths","393",,"79.4",,"Male"
,"Total driver deaths","102",,"20.6",,"Female"
"2015","Specified drugs not detected","19","52.8",,,
"2016","Specified drugs not detected","18","40.0",,,
"2017","Specified drugs not detected","10","27.0",,,
"2018","Specified drugs not detected","24","48.0",,,
"2019","Specified drugs not detected","20","39.2",,,
"2020","Specified drugs not detected","13","31.7",,,
"2021","Specified drugs not detected","16","28.1",,,
"2022","Specified drugs not detected","18","31.0",,,
"2023","Specified drugs not detected","11","26.8",,,
"2024","Specified drugs not detected","26","32.9",,,
,"Specified drugs not detected","12",,"6.9","Jan",
,"Specified drugs not detected","11",,"6.3","Feb",
,"Specified drugs not detected","5",,"2.9","Mar",
,"Specified drugs not detected","9",,"5.1","Apr",
,"Specified drugs not detected","16",,"9.1","May",
,"Specified drugs not detected","10",,"5.7","Jun",
,"Specified drugs not detected","17",,"9.7","Jul",
,"Specified drugs not detected","28",,"16.0","Aug",
,"Specified drugs not detected","18",,"10.3","Sep",
,"Specified drugs not detected","21",,"12.0","Oct",
,"Specified drugs not detected","10",,"5.7","Nov",
,"Specified drugs not detected","18",,"10.3","Dec",
,"Specified drugs not detected","125",,"71.4",,"Male"
,"Specified drugs not detected","50",,"28.6",,"Female"
"2015","Toxicology not available","4","11.1",,,
"2016","Toxicology not available","9","20.0",,,
"2017","Toxicology not available","4","10.8",,,
"2018","Toxicology not available","4","8.0",,,
"2019","Toxicology not available","10","19.6",,,
"2020","Toxicology not available","3","7.3",,,
"2021","Toxicology not available","12","21.1",,,
"2022","Toxicology not available","7","12.1",,,
"2023","Toxicology not available","5","12.2",,,
"2024","Toxicology not available","14","17.7",,,
,"Toxicology not available","9",,"6.4","Jan",
,"Toxicology not available","5",,"5.2","Feb",
,"Toxicology not available","4",,"5.7","Mar",
,"Toxicology not available","1",,"5.2","Apr",
,"Toxicology not available","4",,"7.8","May",
,"Toxicology not available","11",,"8.7","Jun",
,"Toxicology not available","8",,"8.5","Jul",
,"Toxicology not available","7",,"14.2","Aug",
,"Toxicology not available","7",,"10.6","Sep",
,"Toxicology not available","7",,"10.6","Oct",
,"Toxicology not available","3",,"8.0","Nov",
,"Toxicology not available","6",,"9.0","Dec",
,"Toxicology not available","55",,"76.4",,"Male"
,"Toxicology not available","17",,"23.6",,"Female"
"2015","One or more specified drug(s) detected","13","36.1",,,
"2016","One or more specified drug(s) detected","18","40.0",,,
"2017","One or more specified drug(s) detected","23","62.2",,,
"2018","One or more specified drug(s) detected","22","44.0",,,
"2019","One or more specified drug(s) detected","21","41.2",,,
"2020","One or more specified drug(s) detected","25","61.0",,,
"2021","One or more specified drug(s) detected","29","50.9",,,
"2022","One or more specified drug(s) detected","33","56.9",,,
"2023","One or more specified drug(s) detected","25","61.0",,,
"2024","One or more specified drug(s) detected","39","49.4",,,
,"One or more specified drug(s) detected","15",,"6.0","Jan",
,"One or more specified drug(s) detected","11",,"4.4","Feb",
,"One or more specified drug(s) detected","19",,"7.7","Mar",
,"One or more specified drug(s) detected","13",,"5.2","Apr",
,"One or more specified drug(s) detected","17",,"6.8","May",
,"One or more specified drug(s) detected","27",,"10.9","Jun",
,"One or more specified drug(s) detected","19",,"7.7","Jul",
,"One or more specified drug(s) detected","32",,"12.9","Aug",
,"One or more specified drug(s) detected","27",,"10.9","Sep",
,"One or more specified drug(s) detected","24",,"9.7","Oct",
,"One or more specified drug(s) detected","24",,"9.7","Nov",
,"One or more specified drug(s) detected","20",,"8.1","Dec",
,"One or more specified drug(s) detected","213",,"85.9",,"Male"
,"One or more specified drug(s) detected","35",,"14.1",,"Female"
"2015","Alcohol any concentration, no THC, cocaine or methamphetamine","5",,,,
"2016","Alcohol any concentration, no THC, cocaine or methamphetamine","4",,,,
"2017","Alcohol any concentration, no THC, cocaine or methamphetamine","8",,,,
"2018","Alcohol any concentration, no THC, cocaine or methamphetamine","6",,,,
"2019","Alcohol any concentration, no THC, cocaine or methamphetamine","9",,,,
"2020","Alcohol any concentration, no THC, cocaine or methamphetamine","5",,,,
"2021","Alcohol any concentration, no THC, cocaine or methamphetamine","9",,,,
"2022","Alcohol any concentration, no THC, cocaine or methamphetamine","10",,,,
"2023","Alcohol any concentration, no THC, cocaine or methamphetamine","15",,,,
"2024","Alcohol any concentration, no THC, cocaine or methamphetamine","13",,,,
,"Alcohol any concentration, no THC, cocaine or methamphetamine","8",,"9.5","Jan",
,"Alcohol any concentration, no THC, cocaine or methamphetamine","6",,"7.1","Feb",
,"Alcohol any concentration, no THC, cocaine or methamphetamine","7",,"8.3","Mar",
,"Alcohol any concentration, no THC, cocaine or methamphetamine","5",,"6.0","Apr",
,"Alcohol any concentration, no THC, cocaine or methamphetamine","4",,"4.8","May",
,"Alcohol any concentration, no THC, cocaine or methamphetamine","11",,"13.1","Jun",
,"Alcohol any concentration, no THC, cocaine or methamphetamine","5",,"6.0","Jul",
,"Alcohol any concentration, no THC, cocaine or methamphetamine","8",,"9.5","Aug",
,"Alcohol any concentration, no THC, cocaine or methamphetamine","6",,"7.1","Sep",
,"Alcohol any concentration, no THC, cocaine or methamphetamine","10",,"11.9","Oct",
,"Alcohol any concentration, no THC, cocaine or methamphetamine","10",,"11.9","Nov",
,"Alcohol any concentration, no THC, cocaine or methamphetamine","4",,"4.8","Dec",
,"Alcohol any concentration, no THC, cocaine or methamphetamine","77",,"91.7",,"Male"
,"Alcohol any concentration, no THC, cocaine or methamphetamine","7",,"8.3",,"Female"
"2015","Alcohol ≥0.8/mL, no THC, cocaine or methamphetamine","4",,,,
"2016","Alcohol ≥0.8/mL, no THC, cocaine or methamphetamine","4",,,,
