dimension,period,period_num,total_deaths,positive,not_detected,tox_unavailable,pct_positive
year,2015,2015,36,13,19,4,40.6
year,2016,2016,45,18,18,9,50.0
year,2017,2017,37,23,10,4,69.7
year,2018,2018,50,22,24,4,47.8
year,2019,2019,51,21,20,10,51.2
year,2020,2020,41,25,13,3,65.8
year,2021,2021,57,29,16,12,64.4
year,2022,2022,58,33,18,7,64.7
year,2023,2023,41,25,11,5,69.4
year,2024,2024,79,39,26,14,60.0
month,Jan,1,36,15,12,9,55.6
month,Feb,2,27,11,11,5,50.0
month,Mar,3,28,19,5,4,79.2
month,Apr,4,23,13,9,1,59.1
month,May,5,37,17,16,4,51.5
month,Jun,6,48,27,10,11,73.0
month,Jul,7,44,19,17,8,52.8
month,Aug,8,67,32,28,7,53.3
month,Sep,9,52,27,18,7,60.0
month,Oct,10,52,24,21,7,53.3
month,Nov,11,37,24,10,3,70.6
month,Dec,12,44,20,18,6,52.6
