project_de,km,county,project_ty,construct_,year_start,year_end,status,source
Acacia Valley Road: from South Old Post Road southerly 1.8 km,1.8,Digby,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Addington Forks Road: from St. Joseph's Road easterly,3.3,Antigonish,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Al Bennett Road South: from Route 359 northerly to Al Bennett Road,1.2,Kings,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Allen Frausel Road: from Monk Road easterly to Upper Branch Road,4.2,Lunenburg,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Allen Road: from Old Pictou Road to River John Road,1.6,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Andrews Head Road: from East Berlin Road southerly to end of listing,0.6,Queens,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Argyle Head Road: from Trunk 3 northerly to Crowelltown Road,4.0,Yarmouth,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Back Settlement Road: from Elgin Road easterly to end of listing,2.7,Pictou,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Bains Road: from Route 359 easterly to Black Hole Road,5.5,Kings,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Beaver Meadow Road: from Old Beaver Road to St. Josephs Road,2.1,Antigonish,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Beech Hill Road: from Route 333 to end of turning circle,1.0,Halifax,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Benacadie Glen Road: from Route 216 to Woods Road,0.96,Cape Breton,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Benacadie Road West: from Route 216 to end of listing,2.7,Cape Breton,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Big Brook Road: from Cenotaph Road northerly,3.0,Inverness,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Big Island Road: from end of listing easterly to Harmony Hill Road,5.7,Pictou,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Birch Grove Road: from Marconi Towers Road northerly,2.6,Cape Breton,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Bishopville Road: from end of Pavement westerly 2.0 km,2.0,Kings,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Black Point Road: from MacKenzie Road easterly 0.6 km,0.54,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Black River Road: from end of listing northerly 1.7 km,1.7,Kings,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Black River Road: from Gaspereau River Road southerly,6.4,Kings,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Bluff Road: from Trunk 1 westerly,1.6,Kings,Asphalt Projects for 2026-27,Maintenance Paving,2026-2027,2026-2027,Planned,roads
Boss Road: from end of maintained section to Route 302,0.6,Cumberland,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Brooklyn Road: from Mount Hanley to Highway 101,4.9,Annapolis,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Brook Road: from Mountain Road to River John Station Road,3.8,Pictou,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Brown Road: Culvert Replacement from Outram Road Easterly to Mount Hanley Road,0.0,Annapolis,Construction/Improvement Projects for 2025-26,Construction Local Road,2025-2026,2025-2026,Completed,roads
Browns Mill Road: from Piedmont Valley Road to Route 245,5.2,Pictou,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Brow of Mountain Road: from Route 359 easterly to Baxters Harbour Road,5.0,Kings,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Brow of Mountain West Road: from 2.3 km west of Long Point Road westerly 1.5 km,1.5,Kings,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Brow of Mountain West Road: from Morden Road to Victoria Road,3.6,Kings,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Butler Road: from Trunk 12 easterly to Meadow Lane,0.65,Kings,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Cameron Settlement Road: from end of chip seal westerly 5.0 km,5.0,Guysborough,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Campbelldale Road: from Grand Mira South Road easterly to French Loop,4.3,Cape Breton,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Campbell Hill Road: from Elmfield Road northerly to 100 metres south of Route 256,5.8,Pictou,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Canada Road: from end of maintained section northerly to south Road,1.8,Halifax,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Card Beach Road: from Route 215 northerly to end of listing,2.2,Hants,Asphalt Projects for 2026-27,Repaving Local Roads,2026-2027,2026-2027,Planned,roads
Cavanaugh Road: from Canaan Road to end of listing,1.6,Yarmouth,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
C Boudreau Road: from Trunk 1 to Trunk 1,3.7,Digby,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Clairmont Road: from Highway 101 northerly to Brooklyn Street,0.6,Kings,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
Conrad Road: from Eastern Shore Road to end of listing,0.4,Queens,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Conrod Beach Road: from East Chezzetcook Road easterly to Conrods Beach,2.7,Halifax,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Coolens Road: from Route 333 to end of turning circle,0.3,Halifax,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Cross Road: from Ostrea Lake Road to West Jeddore Road,3.2,Halifax,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Cross Road: from Rhines Road to King Road,3.1,Hants,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2026-2027,Started,roads
Crouse Settlement Road: from Camperdown School Road easterly to Sarty Road,4.1,Lunenburg,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Crowell Road: from Route 207 to Marjorie Drive,5.42,Halifax,Asphalt Projects for 2025-26,Repaving Local Roads,2025-2026,2025-2026,Completed,roads
Deep Cove Road: from Upper Blandford Road easterly to Route 329,2.0,Lunenburg,Gravel Road Projects for 2025-26,Gravel Road Program,2025-2026,2025-2026,Completed,roads
Dryden Lake Road: from Route 289 to Glengarry Road,8.6,Pictou,Gravel Road Projects for 2026-27,Gravel Road Program,2026-2027,2026-2027,Planned,roads
East Mines Station Road: from Middle Road northerly 500 metres,0.5,Colchester,Gravel Road Projects for 2026-27,Gravel Roads Program,2026-2027,2026-2027,Planned,roads
