area,area_type,year_label,year_start,residential_rate,commercial_rate,spread,rank_in_year,yoy_spread_change,is_outlier
TRENTON,Town,2009/2010,2009,1.99,5.49,3.5,1,,false
CLARK'S HARBOR,Town,2009/2010,2009,1.65,5.14,3.49,2,,false
MULGRAVE,Town,2009/2010,2009,1.37,4.5,3.13,3,,false
SPRINGHILL,Town,2009/2010,2009,2.25,5.38,3.13,3,,false
CITY OF SYDNEY,Cape Breton Regional,2009/2010,2009,2.19,5.31,3.12,5,,false
LOCKEPORT,Town,2009/2010,2009,2.21,5.28,3.07,6,,false
OXFORD,Town,2009/2010,2009,1.56,4.55,2.99,7,,false
CAPE BRETON MUN-Suburban,Cape Breton Regional,2009/2010,2009,1.61,4.49,2.88,8,,false
SYDNEY MINES,Cape Breton Regional,2009/2010,2009,1.91,4.67,2.76,9,,false
LOUISBOURG,Cape Breton Regional,2009/2010,2009,1.94,4.67,2.73,10,,false
DOMINION,Cape Breton Regional,2009/2010,2009,1.99,4.67,2.68,11,,false
NEW WATERFORD,Cape Breton Regional,2009/2010,2009,2.0,4.67,2.67,12,,false
GLACE BAY,Cape Breton Regional,2009/2010,2009,2.01,4.67,2.66,13,,false
AMHERST,Town,2009/2010,2009,1.67,4.31,2.64,14,,false
NORTH SYDNEY,Cape Breton Regional,2009/2010,2009,2.03,4.67,2.64,14,,false
PORT HAWKESBURY,Town,2009/2010,2009,1.8,4.26,2.46,16,,false
YARMOUTH,Town,2009/2010,2009,1.75,4.21,2.46,16,,false
BEDFORD,Halifax Regional,2009/2010,2009,1.28,3.71,2.43,18,,false
COUNTY SUBURBAN,Halifax Regional,2009/2010,2009,1.25,3.67,2.42,19,,false
DARTMOUTH,Halifax Regional,2009/2010,2009,1.29,3.71,2.42,19,,false
HALIFAX,Halifax Regional,2009/2010,2009,1.27,3.69,2.42,19,,false
HALIFAX URBAN CORE,Halifax Regional,2009/2010,2009,1.29,3.71,2.42,19,,false
COUNTY URBAN,Halifax Regional,2009/2010,2009,1.28,3.69,2.41,23,,false
TRURO,Town,2009/2010,2009,1.73,4.11,2.38,24,,false
MIDDLETON,Town,2009/2010,2009,1.8,4.17,2.37,25,,false
PICTOU,Town,2009/2010,2009,2.06,4.4,2.34,26,,false
NEW GLASGOW,Town,2009/2010,2009,1.77,4.02,2.25,27,,false
BRIDGEWATER,Town,2009/2010,2009,1.63,3.72,2.09,28,,false
WOLFVILLE,Town,2009/2010,2009,1.4,3.49,2.09,28,,false
BERWICK,Town,2009/2010,2009,1.59,3.62,2.03,30,,false
LUNENBURG,Town,2009/2010,2009,1.3,3.3,2.0,31,,false
WINDSOR,Town,2009/2010,2009,1.9,3.9,2.0,31,,false
COUNTY RURAL,Halifax Regional,2009/2010,2009,1.23,3.22,1.99,33,,false
DIGBY,Town,2009/2010,2009,1.92,3.89,1.97,34,,false
KENTVILLE,Town,2009/2010,2009,1.29,3.23,1.94,35,,false
PARRSBORO,Town,2009/2010,2009,2.04,3.93,1.89,36,,false
EAST HANTS,Rural Municipality,2009/2010,2009,0.87,2.67,1.8,37,,false
BRIDGETOWN,Town,2009/2010,2009,1.85,3.63,1.78,38,,false
SHELBURNE,Town,2009/2010,2009,2.04,3.81,1.77,39,,false
GUYSBOROUGH,Rural Municipality,2009/2010,2009,0.59,2.35,1.76,40,,false
CANSO,Town,2009/2010,2009,2.35,4.08,1.73,41,,false
STELLARTON,Town,2009/2010,2009,1.82,3.55,1.73,41,,false
HANTSPORT,Town,2009/2010,2009,1.63,3.35,1.72,43,,false
MAHONE BAY,Town,2009/2010,2009,1.18,2.83,1.65,44,,false
WESTVILLE,Town,2009/2010,2009,2.13,3.75,1.62,45,,false
BARRINGTON,Rural Municipality,2009/2010,2009,1.06,2.63,1.57,46,,false
STEWIACKE,Town,2009/2010,2009,1.7,3.24,1.54,47,,false
