"area","area_type","year","residential","commercial"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2025/2026","1.5945","4.7846"
"CITY OF SYDNEY","Cape Breton Regional","2025/2026","1.936","5.0733"
"DOMINION","Cape Breton Regional","2025/2026","1.736","4.9261"
"GLACE BAY","Cape Breton Regional","2025/2026","1.7624","4.9525"
"LOUISBOURG","Cape Breton Regional","2025/2026","1.7919","4.982"
"NEW WATERFORD","Cape Breton Regional","2025/2026","1.7492","4.9393"
"NORTH SYDNEY","Cape Breton Regional","2025/2026","1.7746","4.9647"
"SYDNEY MINES","Cape Breton Regional","2025/2026","1.6596","4.8497"
"BEDFORD","Halifax Regional","2025/2026","1.115","3.362"
"COUNTY RURAL","Halifax Regional","2025/2026","0.965","2.965"
"COUNTY SUBURBAN","Halifax Regional","2025/2026","1.082","3.362"
"COUNTY URBAN","Halifax Regional","2025/2026","1.115","3.362"
"DARTMOUTH","Halifax Regional","2025/2026","1.115","3.362"
"HALIFAX","Halifax Regional","2025/2026","1.115","3.362"
"LIVERPOOL","Region of Queens","2025/2026","1.885","2.995"
"QUEENS COUNTY","Region of Queens","2025/2026","1.04","2.14"
"WEST HANTS","West Hants Regional Municipality","2025/2026","0.7831","0.98"
"WINDSOR","West Hants Regional Municipality","2025/2026","0.7831","0.98"
"HANTSPORT","West Hants Regional Municipality","2025/2026","0.7831","0.98"
"ANNAPOLIS","Rural Municipality","2025/2026","1.025","1.8"
"ANTIGONISH","Rural Municipality","2025/2026","0.85","1.43"
"ARGYLE","Rural Municipality","2025/2026","1.13","2.29"
"BARRINGTON","Rural Municipality","2025/2026","1.1","2.61"
"CHESTER","Rural Municipality","2025/2026","0.685","1.5"
"CLARE","Rural Municipality","2025/2026","1.1","2.13"
"COLCHESTER","Rural Municipality","2025/2026","0.885","2.28"
"CUMBERLAND","Rural Municipality","2025/2026","1.17","2.74"
"DIGBY","Rural Municipality","2025/2026","1.3","1.85"
"EAST HANTS","Rural Municipality","2025/2026","0.795","2.57"
"GUYSBOROUGH","Rural Municipality","2025/2026","0.77","2.74"
"INVERNESS","Rural Municipality","2025/2026","1.05","1.91"
"KINGS","Rural Municipality","2025/2026","0.853","2.287"
"LUNENBURG","Rural Municipality","2025/2026","0.81","1.957"
"PICTOU","Rural Municipality","2025/2026","0.815","1.825"
"RICHMOND","Rural Municipality","2025/2026","0.85","2.15"
"SHELBURNE","Rural Municipality","2025/2026","1.26","1.82"
"ST. MARY'S","Rural Municipality","2025/2026","0.98","2.29"
"VICTORIA","Rural Municipality","2025/2026","1.15","2.09"
"YARMOUTH","Rural Municipality","2025/2026","1.18","2.17"
"AMHERST","Town","2025/2026","1.67","4.47"
"ANNAPOLIS ROYAL","Town","2025/2026","1.76","3.26"
"ANTIGONISH","Town","2025/2026","1.3","2.9"
"BERWICK","Town","2025/2026","1.608","3.92"
"BRIDGEWATER","Town","2025/2026","1.85","4.07"
"CLARK'S HARBOUR","Town","2025/2026","1.68","5.58"
"DIGBY","Town","2025/2026","1.95","4.28"
"KENTVILLE","Town","2025/2026","1.4262","3.2962"
"LOCKEPORT","Town","2025/2026","2.4","5.41"
"LUNENBURG","Town","2025/2026","1.376","3.358"
"MAHONE BAY","Town","2025/2026","1.324","3.264"
"MIDDLETON","Town","2025/2026","1.82","4.3"
"MULGRAVE","Town","2025/2026","1.2375","4.5257"
"NEW GLASGOW","Town","2025/2026","1.84","4.45"
"OXFORD","Town","2025/2026","1.7874","4.2804"
"PICTOU","Town","2025/2026","1.69","4.34"
"PORT HAWKESBURY","Town","2025/2026","1.58","4.16"
"SHELBURNE","Town","2025/2026","1.99","3.86"
"STELLARTON","Town","2025/2026","1.88","4.3"
"STEWIACKE","Town","2025/2026","1.58","3.45"
"TRENTON","Town","2025/2026","2.04","4.1"
"TRURO","Town","2025/2026","1.9025","4.5475"
"WESTVILLE","Town","2025/2026","2.13","3.95"
"WOLFVILLE","Town","2025/2026","1.4655","3.5655"
"YARMOUTH","Town","2025/2026","1.71","4.35"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2024/2025","1.602","4.4935"
"CITY OF SYDNEY","Cape Breton Regional","2024/2025","1.9435","5.0808"
"DOMINION","Cape Breton Regional","2024/2025","1.7435","4.9336"
"GLACE BAY","Cape Breton Regional","2024/2025","1.7699","4.96"
"LOUISBOURG","Cape Breton Regional","2024/2025","1.7994","4.8495"
"NEW WATERFORD","Cape Breton Regional","2024/2025","1.7567","4.9468"
"NORTH SYDNEY","Cape Breton Regional","2024/2025","1.7821","4.9722"
"SYDNEY MINES","Cape Breton Regional","2024/2025","1.6671","4.8572"
"BEDFORD","Halifax Regional","2024/2025","1.11","3.83"
"COUNTY RURAL","Halifax Regional","2024/2025","0.971","2.907"
"COUNTY SUBURBAN","Halifax Regional","2024/2025","1.077","3.83"
"COUNTY URBAN","Halifax Regional","2024/2025","1.11","3.83"
"DARTMOUTH","Halifax Regional","2024/2025","1.11","3.83"
"HALIFAX","Halifax Regional","2024/2025","1.11","3.83"
"LIVERPOOL","Region of Queens","2024/2025","1.895","2.995"
"QUEENS COUNTY","Region of Queens","2024/2025","1.04","2.14"
"WEST HANTS","West Hants Regional Municipality","2024/2025","0.6972","0.98"
"WINDSOR","West Hants Regional Municipality","2024/2025","0.6972","0.98"
"HANTSPORT","West Hants Regional Municipality","2024/2025","0.6972","0.98"
"ANNAPOLIS","Rural Municipality","2024/2025","1.025","1.8"
"ANTIGONISH","Rural Municipality","2024/2025","0.85","1.43"
"ARGYLE","Rural Municipality","2024/2025","1.11","2.29"
"BARRINGTON","Rural Municipality","2024/2025","1.07","2.56"
"CHESTER","Rural Municipality","2024/2025","0.685","1.5"
"CLARE","Rural Municipality","2024/2025","1.04","2.07"
