"fiscal_year","_of_services_rendered","amount_paid","persons_insured","beneficiaries","_of_services_per_insured_person","paid_per_insured_person","_of_services_per_beneficiary","paid_per_beneficiary"
"2008-2009","166985","3862361","84400","38669","2.0","45.76","4.3","99.88"
"2009-2010","162460","3892382","89260","38516","1.8","43.61","4.2","101.06"
"2010-2011","161083","3906419","89100","37612","1.8","43.84","4.3","103.86"
"2011-2012","161107","3942373","90078","37828","1.8","43.77","4.3","104.22"
"2012-2013","160767","4026471","89560","37911","1.8","44.96","4.2","106.21"
"2013-2014","215470","5262008","124751","52606","1.7","42.18","4.1","100.03"
"2014-2015","236863","6045840","132800","58119","1.8","45.53","4.1","104.03"
"2015-2016","273147","6810366","132400","62475","2.1","51.44","4.4","109.01"
"2016-2017","199957","6381381","133644","58931","1.5","47.75","3.4","108.29"
"2017-2018","185840","6249392","132967","56025","1.4","47.00","3.3","111.55"
"2018-2019","173825","6132934","135700","53212","1.3","45.19","3.3","115.25"
"2019-2020","166531","6405982","136647","49776","1.2","46.88","3.3","128.70"
"2020-2021","139943","5357904","136790","41788","1.0","39.17","3.3","128.22"
"2021-2022","153959","6118156","136941","41998","1.1","44.68","3.7","145.68"
"2022-2023","149844","6226154","160909","39823","0.9","38.69","3.8","156.35"
"2023-2024","176675","9838018","162896","43927","1.1","60.39","4.0","223.96"
