figure,value
paid_per_beneficiary_2008-2009,99.88
paid_per_beneficiary_2009-2010,101.06
paid_per_beneficiary_2010-2011,103.86
paid_per_beneficiary_2011-2012,104.22
paid_per_beneficiary_2012-2013,106.21
paid_per_beneficiary_2013-2014,100.03
paid_per_beneficiary_2014-2015,104.03
paid_per_beneficiary_2015-2016,109.01
paid_per_beneficiary_2016-2017,108.29
paid_per_beneficiary_2017-2018,111.55
paid_per_beneficiary_2018-2019,115.25
paid_per_beneficiary_2019-2020,128.70
paid_per_beneficiary_2020-2021,128.22
paid_per_beneficiary_2021-2022,145.68
paid_per_beneficiary_2022-2023,156.35
paid_per_beneficiary_2023-2024,223.96
coverage_rate_pct_2008-2009,45.82
coverage_rate_pct_2009-2010,43.15
coverage_rate_pct_2010-2011,42.21
coverage_rate_pct_2011-2012,41.99
coverage_rate_pct_2012-2013,42.33
coverage_rate_pct_2013-2014,42.17
coverage_rate_pct_2014-2015,43.76
coverage_rate_pct_2015-2016,47.19
coverage_rate_pct_2016-2017,44.10
coverage_rate_pct_2017-2018,42.13
coverage_rate_pct_2018-2019,39.21
coverage_rate_pct_2019-2020,36.43
coverage_rate_pct_2020-2021,30.55
coverage_rate_pct_2021-2022,30.67
coverage_rate_pct_2022-2023,24.75
coverage_rate_pct_2023-2024,26.97
total_amount_paid,90458141
total_beneficiaries,749216
overall_paid_per_beneficiary,120.74
slope_per_year,5.163765
intercept,-10285.924015
projected_paid_per_beneficiary_2024-2025,165.54
projected_paid_per_beneficiary_2025-2026,170.70
latest_paid_per_beneficiary,223.96
change_pct_first_to_latest,124.23
