"start_date","end_date","pay_plan_type","pay_plan","pay_plan_level","biweekly_pay_rate","hourly_pay_rate"
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 01","1","1373.57",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 01","2","1404.29",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 01","3","1435.03",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 02","1","1544.50",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 02","2","1604.35",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 02","3","1674.22",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 02","4","1744.01",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 02","5","1813.83",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 03","1","1641.53",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 03","2","1709.92",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 03","3","1778.38",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 03","4","1846.93",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 03","5","1925.13",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 04","1","1804.23",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 04","2","1881.08",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 04","3","1958.04",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 04","4","2042.62",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 04","5","2127.22",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 04","6","2211.89",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 05","1","2090.10",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 05","2","2150.71",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 05","3","2214.12",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 06","1","1881.10",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 06","2","1958.04",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 06","3","2042.62",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 06","4","2127.22",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 06","5","2211.89",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 06","6","2296.54",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 07","1","2050.85",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 07","2","2134.17",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 07","3","2228.02",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 07","4","2321.71",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Bargaining Unit","ACC 07","5","2415.51",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Excluded","CA 01","1","2310.06",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Excluded","CA 02","1","2490.54",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Excluded","CA 02","2","2580.76",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Excluded","CA 02","3","2661.99",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Excluded","CA 03","1","2671.01",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Excluded","CA 03","2","2761.24",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Excluded","CA 03","3","2842.45",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Excluded","CA 04","1","2851.48",
"2012-04-01T00:00:00.000","2013-03-31T00:00:00.000","Excluded","CA 04","2","2941.71",
