"census_division","commercial_short_term_rental","whole_home_primary_residence","traditional_tourist_accommodation"
"Annapolis CD","23","33","92"
"Antigonish CD","30","27","78"
"Cape Breton CD","74","75","89"
"Colchester CD","52","26","88"
"Cumberland CD","37","52","154"
"Digby CD","36","36","111"
"Guysborough CD","17","28","44"
"Halifax CD","225","485","496"
"Hants CD","40","33","88"
"Inverness CD","154","90","220"
"Kings CD","96","63","129"
"Lunenburg CD","206","177","249"
"Pictou CD","34","36","103"
"Queens CD","48","33","102"
"Richmond CD","27","24","37"
"Shelburne CD","36","29","66"
"Total","1221","1335","2384"
"Victoria CD","47","63","179"
"Yarmouth CD","39","25","59"
